Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.002472401,35.238,31.102
1.001250744,35.22,31.104
2.002501011,35.224,31.104
3.001278877,35.246,31.104
4.002529621,35.25,31.104
5.001307487,35.246,31.106
6.002558231,35.242,31.106
7.001336575,35.286,31.106
8.002587318,35.228,31.106
9.001365662,35.272,31.108
10.002616882,35.222,31.108
11.001395702,35.28,31.108
12.002646446,35.31,31.108
13.001425743,35.268,31.108
14.002676010,35.27,31.108
15.001454830,35.286,31.108
16.002706051,35.258,31.11
17.001485348,35.242,31.11
18.002736568,35.234,31.11
19.001514912,35.298,31.11
20.000294209,35.278,31.11
21.001546383,35.276,31.112
22.000325680,35.262,31.112
23.001576900,35.31,31.112
24.000356674,35.29,31.112
25.001608372,35.324,31.114
26.000387669,35.316,31.114
27.001640320,35.312,31.114
28.000420094,35.284,31.116
29.001672268,35.32,31.116
30.000452042,35.318,31.116
31.001704216,35.34,31.116
32.000483990,35.358,31.116
33.001736641,35.352,31.116
34.000516415,35.29,31.118
35.001769066,35.308,31.118
36.000548840,35.292,31.118
37.001801491,35.32,31.118
38.000582218,35.326,31.12
39.001834869,35.332,31.12
40.000615120,35.368,31.12
41.001867771,35.346,31.12
42.000648499,35.354,31.122
43.001901627,35.378,31.122
44.000682354,35.31,31.122
45.001935482,35.344,31.122
46.000716209,35.322,31.124
47.001969337,35.352,31.124
48.000750542,35.342,31.124
49.002003670,35.368,31.124
50.000785828,35.342,31.124
51.002038479,35.35,31.124
52.000819683,35.352,31.124
53.002072811,35.352,31.126
54.000854015,35.35,31.126
55.002107143,35.344,31.126
56.000888824,35.37,31.126
57.002141953,35.364,31.126
58.000923157,35.378,31.126
59.002177238,35.302,31.126
60.000958443,35.348,31.126
61.002212048,35.37,31.128
62.000993252,35.354,31.128
63.002247334,35.354,31.128
64.001029491,35.346,31.128
64.999810696,35.418,31.128
66.001064301,35.382,31.128
66.999846458,35.384,31.13
68.001100063,35.4,31.13
68.999882221,35.358,31.13
70.001136303,35.384,31.13
70.999917984,35.342,31.13
72.001172066,35.342,31.13
72.999953747,35.404,31.13
74.001207829,35.348,31.13
74.999989510,35.41,31.132
76.001244068,35.374,31.132
77.000026226,35.422,31.132
78.001280308,35.4,31.132
79.000062943,35.396,31.132
80.001317501,35.352,31.134
81.000099182,35.382,31.134
82.001353741,35.374,31.134
83.000136375,35.432,31.134
84.001390934,35.402,31.134
85.000173569,35.416,31.134
86.001428604,35.374,31.134
87.000211239,35.37,31.134
88.001465797,35.396,31.134
89.000248432,35.348,31.136
90.001502991,35.414,31.136
91.000285625,35.408,31.136
92.001541138,35.416,31.136
93.000323772,35.436,31.136
94.001578808,35.418,31.136
95.000361443,35.394,31.136
96.001616478,35.398,31.136
97.000399113,35.382,31.136
98.001654625,35.42,31.138
99.000437737,35.404,31.138
100.001692772,35.41,31.138
101.000476360,35.43,31.138
102.001731396,35.414,31.138
103.000514507,35.414,31.138
104.001770496,35.416,31.14
105.000554085,35.456,31.14
105.999337196,35.402,31.14
107.000593185,35.412,31.14
107.999376297,35.422,31.14
109.000631332,35.426,31.14
109.999414921,35.4,31.14
111.000670910,35.446,31.14
111.999454021,35.442,31.14
113.000710011,35.424,31.14
113.999493122,35.466,31.14
115.000749111,35.45,31.142
115.999533176,35.438,31.142
117.000788689,35.474,31.142
117.999572754,35.458,31.142
119.000828743,35.524,31.142
119.999612808,35.414,31.144
121.000869274,35.45,31.144
121.999653339,35.468,31.144
123.000908852,35.458,31.144
123.999693394,35.438,31.144
125.000949383,35.462,31.144
125.999733448,35.418,31.144
127.000989914,35.474,31.144
127.999773979,35.49,31.146
129.001030445,35.44,31.146
129.999814510,35.482,31.146
131.001070976,35.436,31.146
131.999855518,35.422,31.146
133.001111984,35.442,31.146
133.999896049,35.456,31.146
135.001152515,35.498,31.146
135.999937057,35.5,31.146
137.001194477,35.468,31.148
137.999979019,35.482,31.148
139.001235485,35.482,31.148
140.000020504,35.458,31.148
141.001277447,35.468,31.148
142.000061989,35.45,31.15
143.001319408,35.496,31.15
144.000103951,35.506,31.15
145.001361370,35.418,31.15
146.000145912,35.472,31.15
146.998930454,35.506,31.15
148.000187397,35.466,31.15
148.998972416,35.504,31.15
150.000229359,35.51,31.15
150.999014854,35.466,31.15
152.000271797,35.48,31.15
152.999056339,35.52,31.152
154.000314236,35.502,31.152
