Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.002472401,0.8229494,0.9885102,30.8934
1.001250744,0.2558702,0.9975962,31.30982
2.002501011,0.1649505,0.9918305,30.8556
3.001278877,2.365474,0.9888022,30.7047
4.000056744,1.345435,0.9997373,31.23345
5.001307487,0.7704143,0.9845459,31.30982
6.000086308,2.637834,0.993556,30.70038
7.001336575,6.194005,0.9893962,30.34172
8.000115395,1.783231,0.988385,30.38893
9.001365662,0.9710166,0.9798874,29.85746
10.000144482,17.16071,0.9886242,30.40102
11.001395702,24.6184,1.007946,28.17835
12.000174522,33.88704,0.999532,30.92807
13.001425743,34.97209,0.9902424,36.78354
14.000204086,34.92824,0.9963598,43.24362
15.001454830,29.41782,0.9870505,47.76419
16.000234127,2.473682,0.9920219,49.1809
17.001485348,0.3485311,0.9944991,48.94268
18.000263691,0.1996852,0.9971883,48.81008
19.001514912,0.1170835,0.9868405,48.42832
20.000294209,24.53246,1.005259,49.6101
21.001546383,45.21363,1.012614,50.56929
22.000325680,45.06602,0.9898277,48.72607
23.001576900,43.20286,0.9850257,41.97883
24.000356674,28.72866,0.9972203,34.01553
25.001608372,2.28213,0.993372,31.06428
26.000387669,0.6649561,0.9967839,31.34119
27.001640320,1.072637,1.078871,31.10349
28.000420094,0.2747991,0.9912623,30.65625
29.001672268,0.3497441,0.9886152,30.75159
30.000452042,40.40489,0.9988758,27.71478
31.001704216,40.25929,0.9888642,31.35481
32.000483990,43.85725,0.9715528,37.67917
33.001736641,36.7013,0.9991118,44.68736
34.000516415,14.43326,0.9934677,47.80276
35.001769066,3.466022,0.9994502,48.29519
36.000548840,0.5237426,0.9843918,48.39688
37.001801491,2.259814,0.9930084,48.26126
38.000582218,0.2041642,0.9919134,48.11924
39.001834869,34.71851,0.989338,49.65567
40.000615120,43.05026,0.9936802,50.41197
41.001867771,41.83532,0.986145,47.51611
42.000648499,42.34472,0.9876858,41.1425
43.001901627,28.93049,0.9937494,33.69607
44.000682354,0.8542252,0.9940513,30.7122
45.001935482,0.8681256,0.9949298,31.24289
46.000716209,0.6979141,0.9965801,31.4467
47.001969337,0.3227017,1.002265,30.43228
48.000750542,23.45323,0.9851668,31.28357
49.002003670,49.52905,0.9973221,27.68184
50.000785828,40.98155,1.006109,32.18424
50.999566555,41.87937,0.9967238,39.73586
52.000819683,32.15744,1.00033,45.71646
52.999600410,1.193259,0.9891478,48.36934
54.000854015,0.1886987,0.9965537,48.28503
54.999635220,0.7858867,0.9994023,48.89805
56.000888824,0.1834249,0.9929856,48.26033
