Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.4864073,-0.02751514,0.5364461,-0.08341153,-0.03535952,0.9786094,-10.25124,2.854659,-29.00285,996.9109
1.001250744,0.1963609,-0.01685203,0.1631807,-0.07893334,-0.03343982,0.9939061,-10.25283,2.855242,-29.4454,996.9223
2.000028610,-0.05361366,0.0422587,0.1185173,-0.07747027,-0.0353041,0.9852658,-10.24211,2.485487,-28.99982,996.9259
3.001278877,-0.05938143,2.334225,0.3785934,-0.08087433,-0.03825737,0.9847464,-10.63087,3.220663,-28.625,996.9228
4.000056744,0.2625962,-1.087986,-0.7466763,-0.08081889,-0.0383179,0.9957282,-9.890106,3.227081,-29.44996,996.9122
5.001307487,0.3829373,0.03439463,-0.6676183,-0.07442719,-0.04248948,0.9808088,-10.25283,2.855242,-29.4454,996.922
6.000086308,1.926158,-0.9634582,-1.523099,-0.09289208,-0.02395255,0.988914,-9.516661,3.229167,-29.00895,996.9114
7.001336575,-0.3732729,1.943995,5.869177,-0.1190324,-0.08865225,0.9782008,-9.515299,3.228668,-28.62961,996.9158
8.000115395,0.801469,-1.07705,1.173679,-0.1260844,-0.01377672,0.9802132,-9.524431,3.59784,-28.63264,996.9162
9.001365662,0.1213552,0.3446183,-0.899658,-0.1281773,-0.04085125,0.9706086,-9.150986,3.599927,-28.19163,996.9114
10.000144482,-0.5587585,-0.1885073,17.15057,-0.1238316,-0.03212845,0.9803119,-8.754683,2.496161,-29.00598,996.915
11.001395702,-4.577613,-4.33504,23.79745,-0.1029072,-0.008702248,1.002641,-2.691948,-4.354458,-27.70941,996.9116
12.000174522,-1.795329,-1.669412,33.79824,-0.06820679,-0.02554758,0.9968748,-2.113167,-12.78063,-28.08443,996.9191
13.001425743,-3.093728,-0.07003496,34.83491,-0.08192568,-0.03344384,0.9862807,-7.806055,-20.88147,-29.25847,996.9384
14.000204086,-3.279214,0.04843738,34.77393,-0.07549211,-0.03338073,0.9929348,-17.60799,-25.68925,-30.00053,996.9387
15.001454830,-2.784585,0.04843738,29.28569,-0.07855327,-0.02950479,0.9834773,-28.00525,-23.91708,-30.4154,996.9335
16.000234127,0.4923264,-0.01079878,-2.42417,-0.08098324,-0.03005323,0.988254,-31.7075,-22.09746,-30.41541,996.9198
17.001485348,0.1831838,-0.1885073,-0.2288725,-0.08085281,-0.03780527,0.9904858,-30.96515,-22.09163,-30.79782,996.915
18.000263691,-0.06413033,-0.1885073,0.01504949,-0.08427941,-0.03835594,0.9928798,-31.34326,-21.78715,-30.41947,996.8939
19.001514912,-0.002301808,0.1076736,-0.045931,-0.08094316,-0.0343774,0.9829143,-30.9622,-22.09271,-29.97593,996.8909
20.000294209,-2.475443,-0.01079878,24.40725,-0.07610655,-0.08761282,0.9985377,-31.3478,-21.78548,-31.68391,996.8997
21.001546383,-3.464699,-3.328024,44.95768,-0.03799854,-0.03193168,1.011397,-38.16336,-14.14424,-30.01251,996.9125
22.000325680,-3.83567,-0.7216328,44.89669,-0.06386773,-0.05493529,0.9862363,-38.41465,-3.930989,-29.71688,996.9147
23.001576900,-2.537271,0.04843738,43.12826,-0.06007685,-0.04662753,0.9820856,-29.79357,3.453489,-29.37071,996.9081
24.000356674,-2.351786,0.9962162,28.6149,-0.06756378,-0.03616769,0.9942713,-16.94661,5.391273,-28.9966,996.912
25.001608372,-0.1259589,-0.6623967,-2.180248,-0.08603455,-0.02142914,0.9894073,-11.39285,3.953671,-28.62798,996.8962
26.000387669,0.4923264,-0.425452,0.1370105,-0.08966248,-0.04085365,0.9919021,-12.13656,3.948334,-28.6249,996.8901
27.001640320,-0.3732729,0.9962162,0.1370105,-0.07598708,-0.0710972,1.07384,-11.74644,3.212658,-28.62039,996.8865
28.000420094,0.05952671,-0.07003496,0.2589715,-0.1033831,-0.08020734,0.9825883,-11.39126,3.953088,-28.18542,996.8751
29.001672268,-0.06413033,0.2261459,0.2589715,-0.1030322,-0.03907388,0.9824549,-10.64,3.589835,-28.62803,996.8594
