Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.05114521,-0.1246151,0.04861575,-0.09169018,-0.03891809,0.9862207,-15.73444,-23.82885,-30.5926,997.0956
0.998690128,-0.443483,-0.06537897,-0.01236475,-0.08870216,-0.04033617,0.9885647,-16.09716,-24.20069,-30.58804,997.0892
1.999851227,-0.1961689,-0.06537897,0.7803817,-0.09409761,-0.04186914,0.988084,-15.72372,-24.19861,-30.14702,997.0914
2.998540878,0.1129737,-0.1246151,-0.5611893,-0.08824153,-0.03934269,0.9852396,-16.09557,-24.20127,-30.14548,997.0814
3.999702930,-0.6352282,-1.130824,0.4281916,-0.08668137,-0.04321538,0.9899295,-15.73444,-23.82885,-30.5926,997.0743
4.998393059,-1.80997,-1.012352,13.05116,-0.08969623,-0.0408168,0.9852175,-17.97607,-23.47519,-30.96573,997.0753
5.999554634,-1.500828,-0.7161713,13.05116,-0.06699765,-0.04052102,0.9956139,-24.59838,-23.89195,-30.93528,997.0612
7.000717163,-0.8825423,0.2316075,14.88057,-0.06731414,-0.02448062,0.9816107,-28.6451,-23.18252,-30.92467,997.0597
7.999407291,-0.1406,-1.190061,17.31979,-0.06146407,-0.01861841,0.9879063,-31.61436,-20.98781,-31.37333,997.075
9.000569820,-2.180941,0.3500798,13.41704,-0.07310637,-0.03040599,0.9867743,-35.01434,-18.85832,-31.37713,997.0645
9.999259949,-1.006199,-0.4199904,13.59998,-0.06944399,-0.04247839,0.992722,-37.63754,-15.55401,-31.39385,997.0687
11.000422478,-0.9443708,-0.005337186,14.63665,-0.07141659,-0.03965181,1.000907,-39.18578,-13.04259,-30.96582,997.0801
11.999113083,-1.006199,-0.1830457,12.25841,-0.07463746,-0.02704067,0.9863719,-39.29248,-8.674561,-30.62228,997.0792
13.000276089,1.714256,0.2908437,-2.681814,-0.07781715,-0.04450697,0.9860383,-38.94184,-7.932466,-31.45176,997.0798
13.998966694,1.281456,-1.249297,-4.023385,-0.06847865,-0.006226687,1.002038,-38.90236,-9.410235,-30.61777,997.0812
15.000130177,-0.3260856,-0.3015181,0.3672111,-0.06673661,-0.05650089,0.9986354,-39.67347,-8.308057,-30.62377,997.0818
15.998821259,-1.253513,-0.2422819,2.257607,-0.06445466,-0.01672192,0.9865267,-40.00721,-9.787995,-30.16757,997.0933
16.999985218,-1.006199,-0.06457336,12.31939,-0.06719783,-0.03316844,0.9780934,-39.31829,-7.567628,-30.1888,997.0919
17.998676300,-1.253513,0.1723713,14.63665,-0.06958099,-0.03662159,0.9832892,-38.6477,-4.669862,-30.65813,997.0944
18.999840260,-1.068028,0.05389899,13.78292,-0.06463669,-0.03561683,0.9904473,-36.49875,-1.331306,-30.69458,997.0939
19.998532295,-1.253513,-0.1238095,14.39273,-0.06071554,-0.03458532,0.9899705,-34.02013,1.209602,-30.72576,997.0931
20.999696255,-1.253513,-0.005337186,14.51469,-0.06314518,-0.03608533,0.9918629,-30.7886,3.447622,-30.31494,997.0889
21.998388767,-1.129856,-0.005337186,14.45371,-0.06267184,-0.03700816,0.9851566,-26.40656,4.217543,-30.33919,997.0933
22.999553204,-1.253513,0.05389899,14.57567,-0.06861188,-0.03373572,0.9890724,-21.97928,5.664724,-30.36924,997.0922
23.998246193,-1.253513,0.5277883,14.69763,-0.06271797,-0.03600658,0.9789689,-17.19504,5.328715,-29.56407,997.0883
24.999410629,-1.068028,-0.005337186,14.45371,-0.06369825,-0.03459987,0.9842549,-12.37874,3.57863,-29.56918,997.0905
26.000575066,-1.129856,-0.005337186,14.02684,-0.06510197,-0.03708081,0.9913753,-8.292547,1.391426,-28.7458,997.0964
26.999268532,-1.068028,0.05389899,14.1488,-0.07003489,-0.03619561,0.9923732,-4.55234,-1.844432,-27.91232,997.1056
28.000433445,-0.8207138,0.1131352,13.8439,-0.06515791,-0.03559293,0.9847199,-3.328707,-6.204959,-27.88114,997.1083
28.999126911,-0.6352282,0.1723713,10.24605,-0.06474185,-0.03122159,0.9828953,-2.85792,-10.20165,-27.8499,997.1159
30.000292301,-0.07877151,-0.1238095,0.0623086,-0.06667538,-0.02986447,0.994393,-2.841246,-10.93941,-28.28641,997.1098
30.998985291,0.1685426,-0.1238095,-0.0596524,-0.06909952,-0.03327288,0.9914719,-2.841246,-10.93941,-28.28641,997.1055
32.000150681,-0.1406,-0.06457336,0.1232891,-0.06412254,-0.03610861,0.9933,-2.4678,-10.93733,-27.84539,997.1021
32.998844624,-0.01694299,-0.1238095,0.2452501,-0.06660363,-0.03517442,0.9923763,-2.097532,-10.93408,-28.28948,997.1047
34.000010490,-0.8825423,-0.1830457,10.48997,-0.06999873,-0.03623508,0.9995352,-2.441992,-12.04426,-28.27887,997.1126
34.998704433,-1.068028,0.05389899,13.90488,-0.06222702,-0.03219262,0.9905036,-4.584696,-15.68996,-28.61922,997.1181
35.999870300,-0.8825423,-0.1830457,14.27076,-0.06462364,-0.03848469,0.9841818,-5.256943,-18.64809,-29.0345,997.1168
36.998564243,-1.006199,0.1723713,13.8439,-0.06667487,-0.03129183,0.9900666,-8.843361,-21.56567,-29.37501,997.13
37.999730587,-1.191685,-0.005337186,13.96586,-0.06464683,-0.03417894,0.9928638,-13.18269,-24.18037,-30.15753,997.1253
38.998424530,-1.191685,0.1131352,14.20978,-0.06570699,-0.03173381,0.9852776,-16.44473,-25.24876,-31.02048,997.1209
39.999591351,-1.068028,-0.1830457,13.11213,-0.06264275,-0.03751553,0.989444,-21.20617,-25.65276,-30.55517,997.1126
40.998285770,-1.068028,-0.005337186,14.20978,-0.06316463,-0.0355885,0.9894853,-25.3135,-24.94427,-30.16496,997.1083
41.999452591,-0.9443708,-0.005337186,14.1488,-0.06315415,-0.03797795,0.9841845,-29.75312,-23.55911,-31.35959,997.0928
42.998147488,-1.37717,-0.06457336,14.20978,-0.0665811,-0.03757704,0.9894628,-33.83636,-21.37299,-31.36107,997.0779
43.999314308,-0.9443708,-0.06457336,13.59998,-0.06162217,-0.03706384,0.9980435,-37.173,-19.24356,-30.9858,997.0888
