Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,32.136,30.504
1.001162052,32.154,30.504
1.999851227,32.132,30.504
3.001012802,32.164,30.506
3.999702930,32.13,30.506
5.000864983,32.196,30.506
5.999554634,32.15,30.506
7.000717163,32.122,30.506
7.999407291,32.168,30.508
9.000569820,32.222,30.508
9.999259949,32.16,30.51
11.000422478,32.178,30.51
11.999113083,32.202,30.512
13.000276089,32.206,30.512
13.998966694,32.198,30.514
15.000130177,32.206,30.514
15.998821259,32.21,30.516
16.999985218,32.176,30.516
18.001148224,32.274,30.518
18.999840260,32.206,30.518
20.001004219,32.222,30.52
20.999696255,32.242,30.522
22.000860691,32.218,30.522
22.999553204,32.28,30.524
24.000718117,32.232,30.524
24.999410629,32.264,30.526
26.000575066,32.224,30.526
26.999268532,32.204,30.526
28.000433445,32.2,30.528
28.999126911,32.274,30.528
30.000292301,32.266,30.53
30.998985291,32.278,30.53
32.000150681,32.238,30.532
32.998844624,32.312,30.532
34.000010490,32.304,30.534
34.998704433,32.286,30.534
35.999870300,32.302,30.534
36.998564243,32.304,30.536
37.999730587,32.356,30.536
39.000897408,32.294,30.538
39.999591351,32.318,30.538
41.000757694,32.37,30.538
41.999452591,32.344,30.54
43.000619888,32.336,30.54
43.999314308,32.35,30.54
45.000481606,32.32,30.542
45.999176979,32.38,30.544
47.000344753,32.338,30.544
47.999040127,32.346,30.546
49.000207901,32.352,30.546
49.998903751,32.416,30.548
51.000072479,32.36,30.548
51.998768330,32.352,30.55
52.999937057,32.388,30.55
53.998634338,32.386,30.552
54.999802589,32.422,30.554
55.998499870,32.398,30.556
56.999669075,32.41,30.556
57.998367310,32.456,30.558
58.999536514,32.384,30.558
60.000706196,32.474,30.56
60.999404430,32.462,30.562
62.000574112,32.478,30.562
62.999272823,32.418,30.562
64.000442505,32.45,30.564
64.999141216,32.458,30.564
66.000311852,32.434,30.564
66.999010563,32.444,30.566
68.000180721,32.452,30.566
68.998879433,32.502,30.568
70.000050545,32.484,30.568
70.998750210,32.484,30.57
71.999920845,32.464,30.57
72.998620033,32.496,30.57
73.999791622,32.478,30.572
74.998490810,32.46,30.572
75.999662399,32.492,30.572
76.998362064,32.506,30.574
77.999534130,32.494,30.574
78.998234272,32.476,30.574
79.999405861,32.55,30.576
80.998106480,32.5,30.578
81.999279022,32.536,30.578
83.000451565,32.502,30.578
83.999152184,32.588,30.58
85.000325680,32.568,30.582
85.999026775,32.592,30.584
87.000199795,32.574,30.584
87.998901367,32.59,30.586
89.000075340,32.576,30.586
89.998776913,32.598,30.588
90.999950886,32.586,30.59
91.998653412,32.566,30.592
92.999828339,32.618,30.592
93.998530865,32.604,30.594
94.999705315,32.648,30.594
95.998407841,32.576,30.596
96.999583244,32.598,30.596
97.998286247,32.638,30.596
98.999461174,32.608,30.598
99.998165131,32.598,30.598
100.999340057,32.634,30.598
101.998043537,32.626,30.6
102.999219418,32.63,30.6
103.997923374,32.672,30.602
104.999099255,32.636,30.602
105.997803211,32.66,30.602
106.998979092,32.682,30.604
108.000154972,32.614,30.604
108.998859406,32.728,30.604
110.000036240,32.696,30.606
110.998740673,32.676,30.606
111.999917507,32.682,30.608
112.998621941,32.704,30.608
113.999799252,32.704,30.61
114.998504162,32.714,30.61
115.999681473,32.734,30.61
116.998386860,32.692,30.612
117.999564648,32.71,30.614
118.998270035,32.754,30.614
119.999448776,32.724,30.616
120.998154640,32.736,30.616
121.999332905,32.75,30.618
122.998039246,32.762,30.618
123.999217510,32.768,30.62
124.997924805,32.738,30.622
125.999104023,32.764,30.622
126.997810841,32.754,30.624
127.998990059,32.742,30.624
128.997697830,32.794,30.626
129.998877048,32.77,30.626
130.997584820,32.824,30.628
131.998764992,32.814,30.628
132.999944687,32.788,30.63
133.998652935,32.826,30.63
134.999832630,32.822,30.63
135.998541355,32.818,30.63
136.999721050,32.788,30.632
137.998429775,32.814,30.632
138.999610424,32.828,30.634
139.998319149,32.856,30.634
140.999499321,32.848,30.634
141.998209000,32.832,30.636
142.999389172,32.824,30.636
143.998098850,32.834,30.636
144.999279976,32.856,30.638
145.997989178,32.836,30.638
146.999170303,32.84,30.64
147.997879505,32.894,30.64
148.999061584,32.886,30.64
149.997771263,32.856,30.642
150.998953342,32.85,30.642
151.997663498,32.854,30.644
152.998846054,32.862,30.646
153.997556686,32.91,30.646
154.998739243,32.958,30.648
155.997449398,32.9,30.648
156.998631954,32.866,30.65
157.997343540,32.892,30.65
158.998526573,32.914,30.652
159.997238159,32.938,30.654
160.998421669,32.936,30.656
161.999605656,32.928,30.656
162.998317719,32.908,30.656
163.999501705,32.948,30.658
164.998213291,32.93,30.658
165.999398232,32.884,30.658
166.998109818,32.956,30.66
167.999294758,32.956,30.66
168.998007298,32.936,30.66
169.999191761,33.006,30.662
170.997904301,32.914,30.662
171.999088764,32.958,30.664
172.997802258,32.922,30.664
173.998986721,32.904,30.664
174.997700214,32.992,30.664
175.998884678,32.994,30.666
176.997597694,32.956,30.666
177.998783112,32.982,30.666
178.997496128,33.018,30.666
179.998681545,32.99,30.668
180.997395515,32.99,30.668
181.998580933,33.002,30.668
182.997294903,33.038,30.67
183.998480797,32.99,30.67
184.997193813,32.994,30.67
185.998380661,33.03,30.67
186.997094154,32.978,30.672
187.998281002,33.034,30.672
188.996995449,33.002,30.674
189.998182297,33.002,30.674
190.996896267,33.056,30.674
191.998083115,33.026,30.676
192.999270439,33.054,30.678
193.997984886,33.04,30.678
194.999173164,33.056,30.68
195.997888088,33.068,30.68
196.999076366,33.088,30.682
197.997791290,33.026,30.682
198.998979568,33.116,30.682
199.997695446,33.058,30.684
200.998883247,33.086,30.684
201.997599602,33.056,30.684
202.998787880,33.1,30.686
203.997504234,33.06,30.686
204.998692036,33.14,30.688
205.997408867,33.086,30.688
206.998597145,33.098,30.688
207.997313976,33.07,30.69
208.998503208,33.096,30.69
209.997219563,33.104,30.69
210.998408794,33.09,30.69
211.997126102,33.164,30.692
212.998314857,33.096,30.692
213.997032166,33.154,30.692
214.998221874,33.124,30.694
215.996939182,33.126,30.694
216.998128414,33.152,30.694
217.996846676,33.114,30.696
218.998036385,33.146,30.696
219.996754169,33.124,30.696
220.997944355,33.132,30.698
221.996662617,33.14,30.698
222.997853279,33.112,30.7
223.996571064,33.136,30.702
224.997762680,33.162,30.702
225.996480942,33.204,30.702
226.997671604,33.198,30.704
227.998862743,33.156,30.704
228.997581959,33.188,30.706
229.998774052,33.208,30.708
230.997493267,33.178,30.708
231.998685360,33.214,30.71
232.997405052,33.236,30.71
233.998597145,33.204,30.712
234.997316837,33.202,30.712
235.998508930,33.23,30.712
236.997229576,33.212,30.714
237.998421192,33.236,30.714
238.997141838,33.194,30.714
239.998334408,33.266,30.716
240.997055054,33.244,30.716
241.998247623,33.242,30.716
242.996968269,33.238,30.716
243.998160839,33.246,30.718
244.996881485,33.234,30.718
245.998074532,33.258,30.72
246.996795177,33.304,30.72
247.997988701,33.256,30.72
248.996709824,33.31,30.72
249.997902870,33.302,30.72
250.996623516,33.268,30.722
251.997817516,33.25,30.722
252.996538639,33.25,30.724
253.997732639,33.28,30.724
254.996454716,33.274,30.724
255.997648716,33.284,30.726
256.996370316,33.296,30.726
257.997564316,33.334,30.728
258.996286869,33.354,30.728
259.997481823,33.338,30.728
260.996204376,33.292,30.73
261.997398853,33.34,30.732
262.996121407,33.308,30.732
263.997316360,33.35,30.732
264.998511791,33.35,30.734
265.997235775,33.334,30.734
266.998431206,33.338,30.736
267.997154713,33.332,30.736
268.998350620,33.356,30.736
269.997074127,33.358,30.738
270.998270035,33.326,30.74
271.996994019,33.34,30.74
272.998190403,33.368,30.742
273.996914387,33.396,30.742
274.998110771,33.388,30.742
275.996834755,33.356,30.742
276.998031616,33.39,30.744
277.996756077,33.35,30.744
278.997952461,33.306,30.744
279.996677399,33.366,30.744
280.997874737,33.364,30.746
281.996599197,33.39,30.746
282.997796535,33.394,30.746
283.996520996,33.368,30.746
284.997718334,33.396,30.748
285.996443272,33.4,30.748
286.997640610,33.396,30.748
287.996366024,33.398,30.75
288.997563362,33.374,30.75
289.996289253,33.402,30.752
290.997487068,33.428,30.752
291.996212959,33.434,30.752
292.997410774,33.456,30.754
293.996136665,33.424,30.754
294.997335434,33.41,30.754
295.996061802,33.442,30.756
296.997260571,33.448,30.758
297.995986938,33.432,30.758
298.997186184,33.502,30.76
299.995913506,33.474,30.76
300.997112751,33.456,30.762
301.995840073,33.444,30.762
302.997039318,33.466,30.762
303.995766640,33.45,30.764
304.996966362,33.504,30.764
305.995693684,33.476,30.766
306.996893883,33.512,30.766
307.995621681,33.488,30.766
308.996821404,33.504,30.768
309.995549202,33.502,30.768
310.996749878,33.546,30.77
311.997950077,33.488,30.77
312.996677876,33.526,30.77
313.997878551,33.51,30.77
314.996606827,33.488,30.77
315.997807503,33.536,30.772
316.996535301,33.51,30.772
317.997735977,33.474,30.772
318.996465206,33.522,30.772
319.997665882,33.514,30.774
320.996394634,33.574,30.774
321.997595787,33.538,30.774
322.996325016,33.518,30.776
323.997526169,33.484,30.776
324.996255398,33.54,30.778
325.997456551,33.57,30.778
326.996186733,33.572,30.778
327.997388363,33.584,30.78
328.996118069,33.532,30.78
329.997320652,33.612,30.782
330.996050358,33.578,30.782
331.997252941,33.624,30.782
332.995983601,33.596,30.784
333.997186184,33.606,30.784
334.995916843,33.576,30.786
335.997119904,33.606,30.786
336.995850563,33.596,30.788
337.997053623,33.586,30.788
338.995785236,33.602,30.788
339.996988297,33.594,30.79
340.995719433,33.612,30.79
341.996922970,33.606,30.79
342.995654106,33.64,30.79
343.996858120,33.624,30.792
344.995589256,33.63,30.792
345.996793270,33.638,30.794
346.995524883,33.704,30.794
347.996728897,33.628,30.794
348.995460987,33.68,30.794
349.996664524,33.632,30.796
350.995397568,33.616,30.796
