Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.1432071,0.9912381,41.84846
0.998690128,0.4484467,0.9933556,42.19502
1.999851227,0.8073117,0.9934372,41.73309
2.998540878,0.5858544,0.9899654,41.87504
3.999702930,1.36588,0.9946565,41.84846
5.000864983,12.95738,0.9917752,42.81472
5.999554634,13.15667,0.998688,46.1833
7.000717163,14.90852,0.9842205,48.10723
7.999407291,17.3612,0.9899915,49.23658
9.000569820,13.59765,0.9899457,50.65733
9.999259949,13.64362,0.9960541,51.42067
11.000422478,14.66708,1.004234,51.61896
11.999113083,12.301,0.9895612,50.56552
13.000276089,3.196152,0.990105,50.6814
13.998966694,4.403464,1.004395,50.3924
15.000130177,0.5762716,1.002456,50.8018
15.998821259,2.593604,0.9887715,51.05354
16.999985218,12.36058,0.98096,50.1454
17.998676300,14.69124,0.9864281,49.55172
18.999840260,13.82434,0.993193,47.70837
19.998532295,14.44774,0.9924334,45.85744
20.999696255,14.56872,0.9945257,43.34535
21.998388767,14.4978,0.9878415,40.44207
22.999553204,14.62957,0.9920232,37.91396
24.000718117,14.6043,0.9930799,34.61356
24.999410629,14.49311,0.9869206,32.25486
26.000575066,14.07228,0.9942024,29.95035
26.999268532,14.18916,0.9954997,28.34119
28.000433445,13.86867,0.9875149,28.75656
28.999126911,10.26717,0.9855199,29.79695
30.000292301,0.1594243,0.9970732,30.46086
30.998985291,0.2174714,0.9944337,30.46086
32.000150681,0.197834,0.9960223,30.01801
32.998844624,0.2752517,0.9952306,30.40145
34.000010490,10.52862,1.002638,30.83378
34.998704433,13.94594,0.9929783,32.95837
35.999870300,14.2992,0.9870518,34.90543
36.998564243,13.88149,0.9928024,37.499
37.999730587,14.01661,0.9955531,40.84055
38.998424530,14.26011,0.9879759,43.2458
39.999591351,13.15683,0.9921346,45.18168
40.998285770,14.24987,0.9921378,46.61454
41.999452591,14.18029,0.9869397,49.23113
42.998147488,14.27651,0.9924121,50.84507
43.999314308,13.63288,1.000631,52.07943
44.998009682,14.02201,0.9944142,51.19653
45.999176979,13.10008,0.9899744,52.06104
47.000344753,0.9636853,0.9875052,51.09109
47.999040127,0.08411021,0.9931629,51.19963
49.000207901,0.1395425,0.9940988,50.86432
49.998903751,0.2198752,0.9964569,51.14626
51.000072479,5.370646,0.9845334,50.74056
51.998768330,13.94584,0.9919773,50.42996
52.999937057,14.44208,0.9964803,48.92844
53.998634338,13.74347,0.9836937,48.27797
54.999802589,14.14363,0.995869,45.90403
55.998499870,14.12378,0.9861369,43.16493
56.999669075,14.25001,0.9866018,40.82423
57.998367310,14.25581,0.9844311,37.66853
58.999536514,14.07748,0.9870084,34.49258
59.998234272,14.35182,0.9925061,31.87031
60.999404430,14.30302,0.9969021,30.30256
61.998102188,14.5587,1.003263,28.80152
62.999272823,13.15069,0.9977003,28.83449
63.997970581,2.215428,0.9892177,29.50764
64.999141216,0.200349,0.9918301,29.22199
65.997839928,0.2126009,0.9981039,30.079
66.999010563,0.1005773,0.9948624,29.30725
68.000180721,0.3929677,0.9832702,30.11156
68.998879433,12.78591,0.9976858,30.7265
70.000050545,14.48462,0.9990321,32.70944
70.998750210,13.95023,0.9909132,36.04092
71.999920845,14.24547,0.9965467,38.24429
72.998620033,14.37159,0.996175,40.59742
73.999791622,13.80501,0.9937298,43.25661
74.998490810,14.42382,0.9950444,45.25071
75.999662399,14.16607,0.9993929,47.1123
76.998362064,13.94794,0.988637,48.83446
77.999534130,14.30251,0.9934089,50.44478
78.998234272,13.90069,0.9941322,51.58567
79.999405861,13.90054,0.9829565,51.52699
80.998106480,11.31731,0.9925453,51.35769
81.999279022,0.3571694,0.9923809,51.50196
82.997979641,0.1288235,0.99145,51.63659
83.999152184,0.144575,0.9923753,51.09163
84.997853756,0.09207726,0.9973417,51.30742
85.999026775,11.35837,0.9936222,50.89278
86.997727871,14.12832,0.9880626,50.18365
87.998901367,14.18468,0.9841384,48.41531
88.997603416,13.80744,0.9905424,47.20612
89.998776913,14.61527,0.9979625,45.36382
90.999950886,14.747,0.9911768,42.18149
91.998653412,14.742,0.9961801,39.5908
92.999828339,14.68518,0.990916,36.01815
93.998530865,14.57426,0.9890159,33.87761
94.999705315,14.24537,0.9971245,31.30025
95.998407841,14.30619,0.9984158,29.24202
96.999583244,14.05098,0.9893496,28.83736
97.998286247,11.79926,0.9898722,29.44724
98.999461174,1.897337,0.9942789,29.1075
99.998165131,0.3115722,0.998927,29.18835
100.999340057,0.01781332,0.9940625,28.60353
101.998043537,0.2123406,0.9946421,29.52564
102.999219418,8.694626,1.009644,29.75543
103.997923374,13.70311,0.9975688,30.99669
104.999099255,14.92354,0.9906561,33.08248
105.997803211,13.90625,0.9903618,36.11031
106.998979092,14.6105,0.997133,38.1073
107.997683048,13.81975,0.9884051,41.15245
108.998859406,14.48869,0.9984336,43.63735
109.997564316,14.36756,0.9926684,45.93014
110.998740673,14.56362,0.9886053,47.9284
111.997445107,14.44704,0.9927574,49.25887
112.998621941,14.69563,0.9908169,51.35004
113.997327328,14.36399,1.005586,51.16914
114.998504162,12.45875,0.9914159,51.2522
115.999681473,1.380917,0.994592,51.27652
116.998386860,0.9766131,0.9888884,51.3469
117.999564648,1.362858,0.994966,51.19689
118.998270035,0.3115722,0.9947249,51.12362
119.999448776,5.756278,1.002665,51.41983
120.998154640,13.93191,0.9960805,50.78224
121.999332905,14.31171,0.9798766,50.04805
122.998039246,13.59737,0.9834845,47.82568
123.999217510,14.66708,0.9906648,45.87769
124.997924805,14.42786,0.9832132,43.58381
125.999104023,14.12381,0.9904876,41.26934
126.997810841,14.49071,0.9932799,38.20893
127.998990059,14.02246,0.9918121,36.11405
128.997697830,14.47051,0.993153,33.21906
129.998877048,14.99404,0.9913968,30.27596
130.997584820,14.37163,0.989157,28.57074
131.998764992,12.77265,0.9909633,28.17963
132.997472763,0.75102,0.9908842,28.82899
133.998652935,0.3756028,0.9926146,28.59981
134.997360706,0.2616895,0.9940693,28.75527
135.998541355,0.2228216,0.9934919,28.69256
136.997249126,5.321183,0.998735,29.17861
137.998429775,13.74702,0.9977155,30.24144
138.997138500,15.02847,0.9959354,32.70626
139.998319149,13.99776,0.9915948,34.41443
140.997027397,14.48568,0.9934942,37.73129
141.998209000,14.73638,0.9902268,40.39404
142.999389172,13.872,0.9973005,42.44432
143.998098850,14.41976,0.9903112,45.11102
144.999279976,14.26511,0.9971632,47.05492
145.997989178,14.06303,0.9917408,48.47293
146.999170303,14.65974,0.9987714,50.08652
147.997879505,14.59876,0.9929739,50.99073
148.999061584,12.57952,0.9901335,51.42516
149.997771263,1.271241,0.9877484,51.228
150.998953342,0.1887033,0.9953709,51.06264
151.997663498,0.1555288,0.9951379,51.57333
152.998846054,0.2303012,0.9961162,51.228
153.997556686,0.3383911,0.9905405,51.57333
154.998739243,12.89485,0.9895959,51.0529
155.997449398,13.8559,1.003279,49.90931
156.998631954,14.05577,0.9975963,49.02833
157.997343540,14.31255,0.99629,47.55686
158.998526573,14.25175,0.9868255,45.12781
159.997238159,14.38121,0.9903362,42.35255
160.998421669,14.54159,0.9910152,40.06398
161.997133732,14.61949,0.9881482,37.06021
162.998317719,14.43244,0.9976592,34.46442
163.997029781,14.32054,0.9837182,31.16645
164.998213291,14.49326,0.9949247,29.7059
165.996926308,14.18039,0.9884476,28.02963
166.998109818,9.672421,0.9955621,28.02524
167.996822834,0.9914613,0.9979639,28.06097
168.998007298,0.2463168,0.9940746,28.42779
169.996719837,0.1467498,0.9967767,28.7782
170.997904301,0.141845,0.9943868,28.51272
171.999088764,11.98182,1.000989,29.49226
172.997802258,14.55912,1.002635,30.40985
173.998986721,13.75076,0.9964787,33.09083
174.997700214,14.61527,0.9892883,35.31379
175.998884678,13.68944,0.9964774,38.36769
176.997597694,14.06343,0.9980891,40.45028
177.998783112,14.36283,0.9861903,42.9749
178.997496128,14.2377,0.9957883,45.48172
179.998681545,13.94139,0.9910516,47.7803
180.997395515,14.50319,0.9869888,49.18036
181.998580933,14.61484,0.9902748,50.20647
182.997294903,13.87607,0.9907437,51.55566
183.998480797,12.23068,0.9994488,51.30472
184.997193813,0.2737917,0.9947088,51.43471
185.998380661,0.1594243,0.9967006,51.42919
186.997094154,0.0938199,0.9920041,51.62534
187.998281002,0.2174314,0.988551,51.14406
188.996995449,10.90309,0.9891012,51.24511
189.998182297,14.4978,0.9882018,50.31393
190.996896267,13.95126,0.9927559,50.08258
191.998083115,14.2054,0.9942459,48.44182
192.996798038,14.72062,0.9918206,45.86819
193.997984886,13.98661,0.9947463,43.85457
194.996700287,14.72462,0.9883826,41.76538
195.997888088,13.93297,0.9951518,38.65422
196.996603489,14.90431,0.9936019,35.68247
197.997791290,13.93301,0.9893827,32.54837
198.996507168,14.96769,0.996012,30.3876
199.997695446,14.31385,0.9953374,28.63855
200.996411324,12.4988,0.9916819,28.08294
201.997599602,0.7823096,0.9994342,27.90508
202.996315479,0.5947112,0.9953119,28.40995
203.997504234,0.3045061,0.9973082,27.83417
204.998692036,0.1584051,1.002416,27.53643
205.997408867,8.725904,0.9972008,28.49511
206.998597145,13.87456,1.000329,29.44449
207.997313976,14.10506,0.9960186,31.3865
208.998503208,14.29803,0.9935649,33.27171
209.997219563,14.48077,0.9898747,36.87264
210.998408794,14.37631,1.000791,39.13925
211.997126102,14.55005,0.9910845,41.46885
212.998314857,13.69403,0.9983775,44.17896
213.997032166,14.79301,0.9924076,46.48634
214.998221874,14.25031,0.9998066,48.53367
215.996939182,14.23014,1.001862,49.50726
216.998128414,15.05659,0.9899391,50.34912
217.996846676,12.22154,0.9917965,51.66101
218.998036385,3.458764,0.9952071,50.82952
219.996754169,0.4997843,0.9879063,51.78861
220.997944355,0.8524559,0.9910238,51.84693
221.996662617,0.2880138,0.9921544,51.55489
222.997853279,5.6807,0.9968075,51.87412
223.996571064,13.58653,0.987201,51.09588
224.997762680,14.47709,0.9927084,50.58892
225.996480942,14.22805,0.9927064,49.4479
226.997671604,14.63604,0.996327,47.32076
227.996390820,13.81524,0.9914417,45.11947
228.997581959,14.68329,0.9881514,43.39787
229.996302128,14.24547,0.9913567,40.21547
230.997493267,13.86831,0.9899597,38.08185
231.996213436,15.18209,0.995404,34.88519
232.997405052,14.13306,0.9857476,32.45736
233.996125221,15.22855,0.985397,29.22216
234.997316837,13.07694,0.9905284,28.14028
235.996037006,3.092337,0.9917049,28.24137
236.997229576,0.2478276,0.9926872,28.24137
237.995949268,0.2174314,0.994786,28.42109
238.997141838,0.2151253,0.9936703,28.24137
239.998334408,0.3968847,0.9915808,28.40186
240.997055054,12.5828,1.001613,28.57251
241.998247623,14.48376,0.996176,30.17171
242.996968269,14.30664,0.9934881,32.46225
243.998160839,13.80789,0.9941577,34.53711
244.996881485,14.60637,0.9912841,37.34222
245.998074532,13.82926,0.9938219,39.79033
246.996795177,14.41625,0.9940216,42.27005
247.997988701,14.35387,0.9940216,45.38852
248.996709824,14.12835,0.9882913,47.32568
249.997902870,13.81971,0.9927502,48.80365
250.996623516,14.36293,0.9829419,50.72249
251.997817516,14.14647,0.9953517,51.41604
252.996538639,11.36566,0.9980338,51.52586
253.997732639,0.0938199,0.9884308,51.16628
254.996454716,0.09895375,0.994782,51.83544
255.997648716,0.1144045,0.9934851,51.70764
256.996370316,0.1249705,0.99802,51.70764
257.997564316,10.82152,0.9968361,51.4259
258.996286869,14.79301,0.9839398,50.95692
259.997481823,14.06343,0.9952304,50.1198
260.996204376,14.18218,0.990952,49.35807
261.997398853,14.23361,0.9943421,46.70127
262.996121407,14.13424,0.9963373,45.18505
263.997316360,14.30736,0.9884598,42.06974
264.996039867,14.2377,0.9872587,39.70296
265.997235775,14.27053,0.9888126,37.24331
266.995958805,14.35899,0.9828181,34.22811
267.997154713,14.36006,0.9948462,31.66448
268.995878220,15.0251,0.9949453,29.33784
269.997074127,12.39677,0.9949453,27.56738
270.995798111,1.482237,0.997754,28.22687
271.996994019,0.2543816,0.9856365,28.18041
272.995718479,0.07896328,0.9977519,27.74734
273.996914387,0.1994973,1.001965,28.22687
274.995638847,9.470833,0.9797013,28.70928
275.996834755,13.81975,0.9916487,29.02853
276.995559692,14.29434,0.9962122,30.90263
277.996756077,14.1492,0.9912209,33.09083
278.995480537,13.95081,0.9964616,35.84269
279.996677399,14.24987,0.9922003,37.66352
280.997874737,14.75199,0.9965407,40.60664
281.996599197,13.88076,0.9914805,43.4425
282.997796535,14.59555,0.9967231,45.45038
283.996520996,13.87255,0.9923891,48.06793
284.997718334,14.49321,0.9920391,49.50947
285.996443272,14.61518,0.9936475,50.50157
286.997640610,12.53928,0.9924461,51.98193
287.996366024,1.01186,0.9916072,51.32895
288.997563362,0.1980325,0.9937789,51.13128
289.996289253,0.1675405,0.9943317,51.52586
290.997487068,0.56653,0.9914501,51.52586
291.996212959,5.197145,0.997152,51.8907
292.997410774,13.28224,0.9903675,51.02647
293.996136665,14.19905,0.9908968,51.00383
294.997335434,14.31112,0.9835578,50.36362
295.996061802,14.37808,0.9824927,47.92676
296.997260571,14.10228,0.9943917,46.20014
297.995986938,14.54552,0.9853802,44.20219
298.997186184,14.47376,0.9997765,41.47186
299.995913506,14.4247,0.9904978,38.46046
300.997112751,14.49054,0.9908192,35.21397
301.995840073,14.47743,0.993948,32.38464
302.997039318,13.4418,0.9927269,30.89334
303.995766640,12.91821,0.9872087,27.77833
304.996966362,0.6499776,0.9948168,27.74677
305.995693684,0.3218288,0.9911243,28.18931
306.996893883,0.1512841,0.9936144,28.18931
307.995621681,0.3133333,0.9957065,28.00345
308.996821404,4.708136,0.9867735,28.51429
309.995549202,13.6802,1.001445,28.24708
310.996749878,15.41263,0.9885376,29.18636
311.995478153,15.41106,0.9892423,31.66429
312.996677876,14.00674,0.9961636,34.08155
313.995406628,13.59888,0.9927172,36.4287
314.996606827,13.86484,0.9915524,39.02142
315.995335102,14.78586,0.9932457,41.54332
316.996535301,14.55184,0.9954036,44.25699
317.995264053,14.4324,0.9892758,46.9674
318.996465206,13.52225,1.001226,48.10483
319.995193958,14.09619,0.9878535,49.71634
320.996394634,14.01781,0.9924457,51.15229
321.995123863,9.47919,0.996447,51.21312
322.996325016,0.6536517,0.9958827,51.32056
323.995054245,0.2427666,0.9909205,51.59948
324.996255398,0.2047362,0.9964761,50.82913
325.994984627,0.1440025,0.9871491,50.49099
326.996186733,11.48343,0.9940508,51.20329
327.997388363,14.4324,0.9930333,50.99284
328.996118069,14.33179,0.9869706,50.11923
329.997320652,14.21621,0.9984147,49.19392
330.996050358,14.25463,0.9982063,47.32076
331.997252941,14.9235,0.9980267,45.42659
332.995983601,14.42796,0.9961785,42.94492
333.997186184,14.31596,0.9974328,40.32288
334.995916843,14.66708,0.9989914,37.40451
