Time (s),W,X,Y,Z
98.999461174,0.5449872,-0.0227557,-0.03292064,0.8354729
99.998165131,0.5457147,-0.02052754,-0.03288789,0.835057
100.999340057,0.5453851,-0.01914765,-0.03261389,0.8353159
101.998043537,0.5453961,-0.01843083,-0.03251597,0.8353285
102.999219418,0.5584405,-0.01742822,-0.03361322,0.8266428
103.997923374,0.6430253,-0.01513155,-0.03707055,0.7625896
104.999099255,0.7334582,-0.01186941,-0.03949991,0.6759924
105.997803211,0.811716,-0.007958611,-0.04113612,0.5796459
106.998979092,0.8778272,-0.003426177,-0.0418458,0.4735866
107.997683048,0.9302746,0.001340412,-0.04191193,0.3598033
108.998859406,0.9674616,0.006355503,-0.0413166,0.2426896
109.997564316,0.990327,0.01133723,-0.04009314,0.1189288
110.998740673,0.9974321,0.01636207,-0.03801858,-0.006628252
111.997445107,0.9888658,0.02099307,-0.03576489,-0.1305841
112.998621941,0.9647818,0.02540025,-0.03255676,-0.2532171
113.997327328,0.9256011,0.02936923,-0.02910394,-0.3717265
114.998504162,0.8746235,0.03250447,-0.02530776,-0.479546
115.999681473,0.837772,0.03340527,-0.02217304,-0.5414411
116.998386860,0.8399287,0.03300211,-0.01996531,-0.5382005
117.999564648,0.8405395,0.0319212,-0.01778374,-0.537388
118.998270035,0.8404342,0.03125065,-0.01713973,-0.5376129
119.999448776,0.8391579,0.03211385,-0.01620689,-0.5395809
120.998154640,0.7843939,0.03553387,-0.01454863,-0.6163439
121.999332905,0.7002384,0.03817761,-0.01168235,-0.7104224
122.998039246,0.607602,0.03980188,-0.008035495,-0.7910743
123.999217510,0.5028951,0.04088308,-0.003539323,-0.8614177
124.997924805,0.3926702,0.04113445,0.001095641,-0.9169212
125.999104023,0.2739641,0.0406993,0.00596292,-0.9591034
126.997810841,0.1540791,0.03965712,0.01069583,-0.985495
127.998990059,0.02829255,0.03817082,0.01552061,-0.9970603
128.997697830,-0.0930916,0.03592794,0.01994061,-0.9931129
129.998877048,-0.2196892,0.03316369,0.02425331,-0.9729729
130.997584820,-0.3381241,0.02997127,0.02808714,-0.9384096
131.998764992,-0.4523224,0.02629643,0.03137955,-0.8890196
132.997472763,-0.5217121,0.02318485,0.03250013,-0.8502061
133.998652935,-0.517706,0.02083329,0.03144061,-0.8527519
134.997360706,-0.5170833,0.01955109,0.03111291,-0.853172
135.998541355,-0.5170699,0.01871298,0.03103418,-0.8532016
136.997249126,-0.5204002,0.01771334,0.03149387,-0.8511791
137.998429775,-0.600259,0.01596858,0.03477783,-0.7967762
138.997138500,-0.6952458,0.01298469,0.03782663,-0.7153053
139.998319149,-0.7800131,0.009385429,0.03938577,-0.6217459
140.999499321,-0.8507542,0.005049788,0.04026021,-0.5207674
141.998209000,-0.9100168,0.0003523676,0.04071613,-0.4084594
142.999389172,-0.9531403,-0.004307484,0.0403203,-0.2941209
143.998098850,-0.9820432,-0.009201301,0.03920664,-0.1749205
144.999279976,-0.9962912,-0.01404982,0.0376046,-0.04919417
145.997989178,-0.994991,-0.01860143,0.03556756,0.07077751
146.999170303,-0.9782431,-0.02305265,0.03297278,0.1950627
147.997879505,-0.9453977,-0.02703832,0.02977763,0.3181714
148.999061584,-0.9004722,-0.03031554,0.02634601,0.4291438
149.997771263,-0.8556981,-0.03141068,0.02358007,0.5127044
150.998953342,-0.8584339,-0.03099494,0.02108911,0.5082455
151.997663498,-0.8587968,-0.03075712,0.01937361,0.5077149
152.998846054,-0.8587918,-0.0304672,0.01809377,0.5077883
153.997556686,-0.8588772,-0.03033977,0.01772784,0.5076643
154.998739243,-0.8192004,-0.0336521,0.01582225,0.5693465
155.997449398,-0.7453738,-0.03633245,0.01322591,0.6629862
156.998631954,-0.6566481,-0.03874071,0.009964923,0.7508934
157.997343540,-0.5605175,-0.03977685,0.005973948,0.8251242
158.998526573,-0.4507722,-0.04055593,0.001394783,0.8898232
159.997238159,-0.3359502,-0.04056792,-0.003441431,0.9392058
160.998421669,-0.2145577,-0.03990746,-0.008315052,0.9741309
161.997133732,-0.08925499,-0.03870075,-0.01326542,0.9934725
162.998317719,0.03655364,-0.03675847,-0.01777461,0.9968072
163.997029781,0.1603114,-0.03453435,-0.02203403,0.9845049
164.998213291,0.2821183,-0.03151023,-0.0259962,0.9567488
165.996926308,0.3980444,-0.02804049,-0.02951096,0.9146208
166.998109818,0.4938308,-0.02467582,-0.03194395,0.8666772
167.996822834,0.495405,-0.02240975,-0.03086461,0.8658792
168.998007298,0.4946625,-0.02072789,-0.03030922,0.866365
169.996719837,0.4948812,-0.01965078,-0.03024259,0.8662675
170.997904301,0.4949514,-0.01917906,-0.03023948,0.8662382
171.999088764,0.5425082,-0.0175224,-0.03279983,0.8372154
172.997802258,0.6376455,-0.01527667,-0.03584236,0.7671492
173.998986721,0.7272763,-0.01218086,-0.0381348,0.6827111
174.997700214,0.806394,-0.008162846,-0.03958682,0.5871308
175.998884678,0.8734825,-0.003684694,-0.04029988,0.4816826
176.997597694,0.9253204,0.0009947692,-0.04028852,0.3725397
177.998783112,0.964427,0.005927248,-0.03982894,0.2547289
178.997496128,0.9885107,0.01078754,-0.03867453,0.1336494
179.998681545,0.9974501,0.01541661,-0.03696987,0.01080607
180.997395515,0.9910932,0.01992367,-0.03475858,-0.1129463
181.998580933,0.9690201,0.02420875,-0.03194515,-0.2366876
182.997294903,0.9339005,0.02786998,-0.02857625,-0.35052
183.998480797,0.8865384,0.03095836,-0.02498364,-0.4572689
184.997193813,0.869791,0.03047134,-0.02242532,-0.4885284
185.998380661,0.8689312,0.03041833,-0.02044453,-0.4901457
186.997094154,0.8689672,0.03012497,-0.01925186,-0.4901486
187.998281002,0.8689823,0.03017782,-0.01858011,-0.4901444
188.996995449,0.8535757,0.03200671,-0.01714511,-0.5164474
189.998182297,0.7886497,0.03550559,-0.01535536,-0.6108706
190.996896267,0.7058852,0.03785375,-0.01236288,-0.7048177
191.998083115,0.6152894,0.03953109,-0.008584618,-0.785118
192.996798038,0.5109292,0.04056945,-0.004155561,-0.856689
193.997984886,0.4014792,0.04084188,0.0003065136,-0.9131122
194.996700287,0.283063,0.04056221,0.005195227,-0.9564678
195.997888088,0.1612939,0.03958861,0.01000427,-0.9843498
196.996603489,0.03748691,0.03806927,0.01483323,-0.9967714
197.997791290,-0.08713168,0.03598429,0.01933684,-0.9936634
198.996507168,-0.2099141,0.03330158,0.02362102,-0.9751394
199.997695446,-0.3301417,0.03023512,0.02756785,-0.9412544
200.996411324,-0.4392706,0.0266807,0.03072099,-0.895552
201.997599602,-0.4732187,0.02421703,0.03014712,-0.8781779
202.998787880,-0.4744647,0.02209583,0.03016666,-0.8775607
203.997504234,-0.4744918,0.02091875,0.03004269,-0.8775792
204.998692036,-0.4745871,0.02010731,0.02990141,-0.8775514
205.997408867,-0.487595,0.01918237,0.03089542,-0.8703772
206.998597145,-0.5792375,0.01708919,0.03465762,-0.812169
207.997313976,-0.6763374,0.01435744,0.03714861,-0.7332185
208.998503208,-0.7609245,0.0107373,0.03888689,-0.6449763
209.997219563,-0.8361151,0.006428212,0.04008089,-0.5439592
210.998408794,-0.898138,0.00170433,0.04051068,-0.433972
211.997126102,-0.9458236,-0.003261468,0.04014062,-0.3168966
212.998314857,-0.9775594,-0.008122815,0.03938765,-0.1984642
213.997032166,-0.9946169,-0.01295013,0.03786271,-0.07591867
214.998221874,-0.9961676,-0.01756793,0.03580882,0.05183686
215.996939182,-0.9822956,-0.02210093,0.03342415,0.1735437
216.998128414,-0.951791,-0.0262694,0.03030328,0.2985184
217.996846676,-0.9092563,-0.02948536,0.02694414,0.410226
218.998036385,-0.8830982,-0.02968473,0.02420061,0.4640028
219.996754169,-0.8846114,-0.0297108,0.02242051,0.4611994
220.997944355,-0.8850817,-0.02878759,0.01971295,0.460479
221.996662617,-0.8848207,-0.02925289,0.01894636,0.4609832
222.997853279,-0.8828471,-0.02974234,0.01799872,0.464758
223.996571064,-0.8336426,-0.03333229,0.01669229,0.5479764
224.997762680,-0.7601622,-0.03626934,0.01432047,0.6459572
225.996480942,-0.67465,-0.03791885,0.01091044,0.7347913
226.997671604,-0.5772582,-0.03932611,0.00669708,0.8135166
227.996390820,-0.4701093,-0.03989626,0.00215807,0.8797889
228.997581959,-0.3605989,-0.03988261,-0.002488646,0.9300535
229.996302128,-0.2386062,-0.0394643,-0.00733853,0.9685471
230.997493267,-0.1186782,-0.03821286,-0.01182118,0.9904258
231.996213436,0.008458532,-0.03655109,-0.01664858,0.9974682
232.997405052,0.1322748,-0.03412801,-0.02095721,0.9886997
233.996125221,0.2565259,-0.03153453,-0.02513283,0.9639481
234.997316837,0.3720325,-0.02800269,-0.02851452,0.9255389
235.996037006,0.4614788,-0.02522901,-0.03000604,0.88438
236.997229576,0.4559401,-0.02254526,-0.02954473,0.8873359
237.998421192,0.4554976,-0.02110744,-0.02945002,0.8876017
238.997141838,0.4557124,-0.02012759,-0.02920997,0.8875222
239.998334408,0.4557066,-0.01971967,-0.02925333,0.8875329
240.997055054,0.5205734,-0.01816659,-0.03243474,0.8510281
241.998247623,0.6195802,-0.01586244,-0.03557038,0.7818128
242.996968269,0.7138277,-0.01252058,-0.03767191,0.6967796
243.998160839,0.792354,-0.008563871,-0.0389537,0.6059803
244.996881485,0.8615068,-0.004212156,-0.03967978,0.5028336
245.998074532,0.9178217,0.0003860336,-0.03992152,0.3906882
246.996795177,0.9584216,0.005226015,-0.0392383,0.2765659
247.997988701,0.9855966,0.01001773,-0.03857292,0.1537488
248.996709824,0.9971247,0.01472422,-0.03686518,0.02817845
249.997902870,0.9934877,0.01891926,-0.03451409,-0.08978216
250.996623516,0.9751846,0.02317208,-0.03172505,-0.2099984
251.997817516,0.9409274,0.02708846,-0.02866078,-0.3312523
252.996538639,0.8989701,0.02988583,-0.02511817,-0.4323844
253.997732639,0.8899592,0.02941042,-0.02263805,-0.4508025
