Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,
0,0.1761092,0.9917431,36.91109,,,,,,
0.998791218,0.08039792,0.9882667,36.92866,,,,,,
2.000055313,1.255144,0.9789953,37.41811,,9.65962,,0.3249878,,0.2289294
2.998847961,13.43558,0.9938444,38.1784,,13.61731,,13.56652,,14.49079
4.000112534,14.17572,0.9897683,39.6842,,14.31572,,13.68723,,14.10462
4.998905182,14.24457,0.9894687,41.39552,,13.86336,,13.57418,,13.92923
6.000170231,13.68222,1.003257,42.34146,,14.62916,,13.98367,,14.22869
6.998963356,13.9844,0.9950172,44.22512,,14.22915,,14.4181,,14.10593
8.000229359,14.17544,0.9938959,45.41753,,12.0582,,12.64743,,12.03235
8.999023437,3.665961,0.9925383,46.03728,,13.19607429,,11.74315969,,11.87436277
10.00028944,0.2253499,0.9814227,46.93158,,,,,,
10.99908304,0.2765705,0.9946784,46.22633,,12.27119891,,,,
11.9978776,9.65962,1.016197,46.62394,,,,,,
12.99914503,13.61731,1.001693,47.63387,,,,,,
13.99793959,14.31572,0.9881313,48.50726,,,,,,
14.99920702,13.86336,0.999248,49.28579,,,,,,
15.99800205,14.62916,0.992518,49.52659,,,,,,
16.99927044,14.22915,0.9949449,49.80538,,,,,,
17.99806738,12.0582,0.9950893,48.38413,,,,,,
18.99933672,0.215221,0.9862896,48.08305,,,,,,
19.99813366,0.1126023,0.9958285,48.40041,,,,,,
20.999403,0.3249878,0.9963777,48.57346,,,,,,
21.99820042,13.56652,0.9940409,47.2729,,,,,,
22.99946928,13.68723,0.9938177,45.15746,,,,,,
23.9982667,13.57418,1.003839,42.58206,,,,,,
24.99953508,13.98367,0.9883667,40.36562,,,,,,
25.9983325,14.4181,0.9923396,39.0532,,,,,,
26.99960136,12.64743,0.9947182,37.42325,,,,,,
27.99839687,8.202182,0.9830775,35.61995,,,,,,
28.99966574,0.3318393,0.9955239,35.8878,,,,,,
29.99846172,0.2971111,0.9964201,35.51355,,,,,,
30.99973011,0.2289294,0.9911352,35.8878,,,,,,
31.99852562,14.49079,1.008898,34.95268,,,,,,
32.99979353,14.10462,0.9918888,34.18216,,,,,,
33.99858856,13.92923,0.9898254,34.11497,,,,,,
34.99985647,14.22869,0.994477,34.49248,,,,,,
35.99865151,14.10593,0.9936478,34.74063,,,,,,
36.99991894,12.03235,0.9939104,35.28018,,,,,,
37.99871492,0.3999299,0.9759015,36.91943,,,,,,
