Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,35.64,31.188
0.998791218,35.642,31.192
2.000055313,35.692,31.198
2.998847961,35.698,31.202
4.000112534,35.642,31.204
4.998905182,35.696,31.206
6.000170231,35.702,31.208
6.998963356,35.75,31.21
8.000229359,35.756,31.212
8.999023437,35.748,31.214
10.000289440,35.72,31.214
10.999083042,35.724,31.214
12.000350475,35.79,31.216
12.999145031,35.782,31.218
14.000411510,35.798,31.218
14.999207020,35.78,31.22
16.000474930,35.796,31.222
16.999270439,35.882,31.226
18.000539780,35.82,31.228
18.999336720,35.888,31.23
20.000605583,35.798,31.232
20.999403000,35.83,31.232
21.998200417,35.85,31.232
22.999469280,35.864,31.234
23.998266697,35.852,31.234
24.999535084,35.826,31.234
25.998332500,35.856,31.232
26.999601364,35.812,31.232
27.998396873,35.806,31.232
28.999665737,35.832,31.23
29.998461723,35.814,31.23
30.999730110,35.832,31.228
31.998525620,35.798,31.226
32.999793530,35.776,31.226
33.998588562,35.812,31.226
34.999856472,35.824,31.226
35.998651505,35.766,31.226
36.999918938,35.798,31.224
37.998714924,35.81,31.226
38.999982834,35.812,31.226
39.998777866,35.784,31.226
41.000045776,35.834,31.226
41.998841763,35.852,31.226
43.000110626,35.796,31.226
43.998905659,35.776,31.226
45.000173569,35.826,31.226
45.998969555,35.808,31.224
47.000237465,35.784,31.226
47.999033451,35.816,31.224
49.000300407,35.864,31.224
49.999096394,35.796,31.224
50.997891903,35.796,31.222
51.999159813,35.8,31.222
52.997954845,35.81,31.222
53.999222755,35.78,31.22
54.998018265,35.782,31.22
55.999286175,35.814,31.22
56.998082161,35.778,31.22
57.999350071,35.798,31.22
58.998145103,35.76,31.22
59.999413013,35.834,31.22
60.998208523,35.852,31.218
61.999476433,35.778,31.218
62.998271465,35.776,31.218
63.999538898,35.79,31.216
64.998333454,35.782,31.216
65.999599934,35.78,31.214
66.998394012,35.788,31.212
67.999659538,35.792,31.212
68.998453617,35.754,31.21
69.999719620,35.742,31.208
70.998512268,35.698,31.206
71.999777317,35.744,31.206
72.998570442,35.726,31.204
73.999835014,35.682,31.202
74.998627663,35.722,31.202
75.999892235,35.672,31.2
76.998684406,35.648,31.2
77.999948978,35.726,31.2
78.998741627,35.716,31.2
79.997534275,35.692,31.2
80.998798847,35.712,31.2
81.997590542,35.69,31.198
82.998855114,35.682,31.198
83.997647285,35.698,31.198
84.998911858,35.714,31.198
85.997703552,35.696,31.198
86.998968124,35.672,31.196
87.997760296,35.682,31.196
88.999024868,35.658,31.196
89.997816563,35.67,31.196
90.999080658,35.65,31.196
91.997872353,35.682,31.194
92.999136448,35.642,31.194
93.997928143,35.694,31.194
94.999192238,35.702,31.194
95.997984886,35.696,31.192
96.999248505,35.668,31.192
97.998040676,35.692,31.192
98.999305248,35.698,31.192
99.998096943,35.66,31.192
100.999361038,35.732,31.192
101.998152733,35.678,31.192
102.999416828,35.658,31.19
103.998208046,35.654,31.19
104.999471188,35.632,31.19
105.998262405,35.652,31.188
106.999526024,35.622,31.186
107.998316288,35.708,31.186
108.999578953,35.642,31.186
109.998368740,35.604,31.184
110.997159481,35.626,31.182
111.998421192,35.61,31.182
112.997211456,35.57,31.18
113.998473167,35.596,31.18
114.997262955,35.624,31.18
115.998525143,35.572,31.18
116.997314453,35.606,31.178
117.998576164,35.628,31.178
118.997365952,35.622,31.178
119.998628139,35.612,31.18
120.997417927,35.572,31.18
121.998680115,35.556,31.18
122.997469902,35.592,31.18
123.998731613,35.596,31.18
124.997520924,35.604,31.178
125.998783112,35.566,31.178
126.997572899,35.584,31.178
127.998834610,35.584,31.178
128.997624874,35.58,31.178
129.998886585,35.596,31.176
130.997675896,35.59,31.176
131.998937607,35.584,31.176
132.997727871,35.608,31.176
133.998989582,35.612,31.176
134.997779369,35.602,31.176
135.999042034,35.602,31.178
136.997831821,35.652,31.178
137.999095440,35.636,31.178
138.997885704,35.636,31.18
139.999148369,35.6,31.18
140.997939110,35.644,31.18
141.999202251,35.62,31.182
142.997992992,35.594,31.18
143.999255180,35.626,31.18
144.998045444,35.648,31.18
145.996835232,35.618,31.178
146.998096943,35.596,31.178
147.996886253,35.572,31.176
148.998148441,35.596,31.176
149.996937752,35.592,31.176
150.998198986,35.576,31.174
151.996988297,35.592,31.174
152.998249531,35.594,31.172
153.997038364,35.564,31.174
154.998300552,35.612,31.176
155.997089863,35.564,31.176
156.998351097,35.594,31.176
157.997140408,35.58,31.174
158.998402119,35.58,31.176
159.997191906,35.626,31.178
160.998455524,35.658,31.18
161.997245789,35.648,31.184
162.998508930,35.608,31.184
163.997299671,35.656,31.184
164.998562336,35.612,31.184
165.997353554,35.636,31.184
166.998616219,35.67,31.184
167.997407436,35.636,31.184
168.998670101,35.662,31.184
169.997461319,35.648,31.184
170.998724461,35.632,31.184
171.997515678,35.654,31.184
172.998778820,35.628,31.184
173.997570038,35.68,31.186
174.998834610,35.714,31.188
175.997628212,35.8,31.19
176.998893738,35.762,31.194
177.997688770,35.74,31.196
178.996483326,35.802,31.198
179.997750282,35.772,31.202
180.996545792,35.788,31.204
181.997813702,35.834,31.206
182.996608734,35.778,31.206
183.997875214,35.788,31.206
184.996669769,35.744,31.206
185.997937202,35.742,31.206
186.996731281,35.742,31.206
187.997997761,35.768,31.206
188.996791840,35.748,31.204
189.998058319,35.718,31.204
190.996851921,35.808,31.204
191.998117924,35.774,31.204
192.996911526,35.738,31.202
193.998177052,35.74,31.202
194.996971130,35.75,31.202
195.998237133,35.716,31.2
