Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
48.997828484,-0.802904,-0.5946192,-0.0210661,0.5947928,-0.8012211,-0.05408902,0.01540677,-0.05596458,0.9915632
49.999096394,-0.8025573,-0.5951078,-0.02041306,0.5952233,-0.8008143,-0.05533681,0.01670948,-0.05656544,0.9915086
50.997891903,-0.8026952,-0.5949138,-0.02066979,0.5950335,-0.8009108,-0.05598399,0.01687761,-0.05724154,0.9914674
51.999159813,-0.9024043,-0.4297525,-0.01791549,0.4300309,-0.9005541,-0.05835354,0.009034589,-0.0603695,0.9913844
52.997954845,-0.9798555,-0.1993079,-0.004854295,0.1992329,-0.9780193,-0.06030106,0.007311913,-0.06005263,0.9914178
53.999222755,-0.9989858,0.04401446,0.009127264,-0.04447908,-0.9972559,-0.05902275,0.006495489,-0.05937003,0.9914641
54.998018265,-0.9587454,0.2828794,0.02254158,-0.2837122,-0.9571922,-0.05478701,0.006022809,-0.05893611,0.9914929
55.999286175,-0.8607396,0.5069014,0.03519825,-0.5080838,-0.8594631,-0.04718267,0.006236958,-0.05853393,0.9915153
56.998082161,-0.7210411,0.6900347,0.04550163,-0.691494,-0.7201446,-0.03661083,0.007376432,-0.05793392,0.9915427
57.999350071,-0.6231136,0.7787135,0.05284823,-0.7803602,-0.6228752,-0.02282391,0.01501699,-0.05557298,0.9915917
58.998145103,-0.624426,0.7775337,0.05477624,-0.7792833,-0.624244,-0.02241969,0.01663304,-0.05680159,0.9914963
59.999413013,-0.6247423,0.7771956,0.05597525,-0.778999,-0.6246311,-0.02156299,0.01807742,-0.05719614,0.9914488
60.998208523,-0.6182737,0.7823534,0.05555283,-0.784198,-0.6178927,-0.02578261,0.0140145,-0.05961924,0.9913719
61.999476433,-0.4216434,0.9026347,0.05971989,-0.9045539,-0.421427,-0.01671283,0.009914035,-0.06121679,0.9913241
62.998271465,-0.1884968,0.9773695,0.06119113,-0.979251,-0.1886336,-0.003507648,0.007934833,-0.06077579,0.9913688
63.999538898,0.05850648,0.9928937,0.06000026,-0.994683,0.0579931,0.0103407,0.006607564,-0.0605252,0.991394
64.998333454,0.3037059,0.9465327,0.05518676,-0.9481206,0.3028063,0.02426485,0.006091008,-0.05997717,0.9914304
65.999599934,0.5286406,0.8414062,0.04758561,-0.8427307,0.5273914,0.03689595,0.005807338,-0.0599331,0.9914346
66.998394012,0.7031052,0.7019839,0.03707816,-0.7029283,0.7015693,0.04707344,0.006930231,-0.05952034,0.9914523
67.999659538,0.7576852,0.6429462,0.02605618,-0.6433151,0.7559766,0.05293655,0.01429785,-0.05724312,0.9915076
68.998453617,0.7572859,0.6434562,0.0250942,-0.6437395,0.7554835,0.05480667,0.0162777,-0.05803901,0.9914306
69.999719620,0.7569308,0.643903,0.02438498,-0.6441264,0.7550799,0.05583948,0.01751945,-0.05835874,0.9913909
70.998512268,0.7886794,0.6042784,0.02770952,-0.6047959,0.7867946,0.05589575,0.01192165,-0.06123746,0.9913005
71.997305393,0.9106731,0.3968562,0.01711352,-0.3971401,0.9087416,0.05995635,0.008212263,-0.06180773,0.9913031
72.998570442,0.9790363,0.1677064,0.003779245,-0.1676178,0.9771309,0.06151377,0.00663306,-0.06127176,0.9913478
73.997363091,0.990263,-0.07653301,-0.009910543,0.07699313,0.9884607,0.06005058,0.005251462,-0.06063591,0.9913952
74.998627663,0.940752,-0.3183197,-0.02383945,0.3191735,0.9391473,0.05524062,0.004901499,-0.05996516,0.9914375
75.997419834,0.8344171,-0.5386007,-0.03584324,0.5397751,0.8330659,0.0477539,0.004274787,-0.05955585,0.991465
76.998684406,0.6988959,-0.7056718,-0.04597769,0.7071381,0.6979766,0.03650514,0.006507695,-0.05834572,0.9915251
77.997477055,0.6660641,-0.7365569,-0.05104258,0.738198,0.6656191,0.0279438,0.01361074,-0.05657692,0.9915551
78.998741627,0.6672378,-0.7353525,-0.05296779,0.7370948,0.6668618,0.02727961,0.01549294,-0.05753028,0.9914728
79.997534275,0.6675807,-0.7349594,-0.05406404,0.7367532,0.6672676,0.02651772,0.0168248,-0.05781899,0.9914342
80.998798847,0.5921498,-0.7972407,-0.0550255,0.7990774,0.5915326,0.02882024,0.009791275,-0.06133957,0.991318
81.997590542,0.379732,-0.9181541,-0.05908711,0.9200256,0.3794267,0.01687832,0.007145673,-0.06103362,0.9913594
82.998855114,0.1431271,-0.9839523,-0.06035371,0.9857869,0.1431825,0.003550438,0.005369771,-0.06021911,0.9914199
83.997647285,-0.1006978,-0.9901234,-0.05873909,0.9918529,-0.1002441,-0.01051446,0.004736425,-0.05948446,0.9914675
84.998911858,-0.3404381,-0.9363487,-0.05389245,0.9378873,-0.3396,-0.02418453,0.004540334,-0.05889544,0.9915031
85.997703552,-0.5561137,-0.8280144,-0.04621792,0.8292913,-0.5549496,-0.03612725,0.004436081,-0.0584944,0.9915277
86.998968124,-0.715985,-0.6958746,-0.0347644,0.6967051,-0.714545,-0.04584919,0.007206093,-0.05708576,0.991593
87.997760296,-0.726508,-0.685239,-0.02808686,0.685667,-0.7249001,-0.05024988,0.01421567,-0.05578384,0.9915913
88.999024868,-0.7262637,-0.6855244,-0.02740365,0.6858895,-0.724577,-0.05182693,0.01581834,-0.05645149,0.9915294
89.997816563,-0.7257943,-0.6860407,-0.0268597,0.6863536,-0.7240473,-0.05303657,0.01708574,-0.05694206,0.9914807
90.999080658,-0.8148559,-0.5779274,-0.0275903,0.5785086,-0.8130503,-0.05491946,0.009432,-0.06073227,0.9913587
91.997872353,-0.9322643,-0.3608378,-0.01491176,0.3610706,-0.9304388,-0.05867168,0.007371626,-0.06008649,0.991415
92.999136448,-0.9929065,-0.1186922,-0.0009941102,0.1185368,-0.9911089,-0.05993519,0.006152672,-0.05962684,0.991451
93.997928143,-0.9912069,0.1314057,0.01349445,-0.1319734,-0.9895208,-0.05797292,0.00570881,-0.05924837,0.9914765
94.999192238,-0.9275965,0.3719257,0.02734193,-0.3728848,-0.9261292,-0.0523767,0.005769173,-0.0588015,0.9915023
95.997984886,-0.8136403,0.5789403,0.03950568,-0.5802436,-0.8125268,-0.04304781,0.007067917,-0.05799876,0.9915414
96.999248505,-0.7215671,0.6892574,0.04885969,-0.690825,-0.7211275,-0.02924338,0.01496355,-0.05494121,0.9916277
97.998040676,-0.7235227,0.687073,0.05080163,-0.6887609,-0.7230819,-0.02988778,0.01608156,-0.05670511,0.9915107
98.999305248,-0.7238343,0.686644,0.05216574,-0.6883997,-0.7234527,-0.02927018,0.01752443,-0.0571918,0.9914586
99.998096943,-0.7179487,0.6928229,0.05141703,-0.6945919,-0.7173102,-0.0331883,0.01376136,-0.05963052,0.9913744
100.999361038,-0.5423418,0.836417,0.05643791,-0.838267,-0.5418325,-0.02521572,0.009330172,-0.06110661,0.9913363
101.998152733,-0.3203832,0.9429591,0.05999148,-0.9448345,-0.3202455,-0.01207497,0.007649284,-0.06071467,0.9913747
102.999416828,-0.08030496,0.9917939,0.06077033,-0.9936315,-0.08056857,0.00197584,0.006673375,-0.06043511,0.991399
103.998208046,0.1617037,0.9811262,0.05837913,-0.9828442,0.1610586,0.01570051,0.00582449,-0.06017229,0.9914202
104.996999264,0.3971819,0.9110711,0.05265176,-0.9125758,0.3961728,0.02890753,0.005317992,-0.05982952,0.9914435
105.998262405,0.5975064,0.7939266,0.0435027,-0.7950945,0.5961732,0.04046252,0.006062875,-0.05910112,0.9914832
106.997053146,0.6626126,0.7406781,0.03357431,-0.7413165,0.6610006,0.04822521,0.01345888,-0.05719934,0.9915218
107.998316288,0.6617236,0.7415206,0.03258997,-0.7420684,0.6600007,0.05038062,0.01579222,-0.05788713,0.9914479
108.997107029,0.6613504,0.7418743,0.03213488,-0.7423753,0.659566,0.05155904,0.01700423,-0.05832531,0.9914018
109.998368740,0.6972728,0.7078614,0.03600007,-0.7086827,0.6954541,0.05174695,0.01151069,-0.06197786,0.9912601
110.997159481,0.8501397,0.5139536,0.02521188,-0.5145131,0.8482808,0.05683249,0.007763664,-0.06168709,0.9913141
111.998421192,0.9526789,0.2812292,0.01196073,-0.2814296,0.9508036,0.06010396,0.005508927,-0.06103439,0.9913695
112.997211456,0.9926006,0.03600411,-0.002883081,-0.03576319,0.9907771,0.06045268,0.005059822,-0.06030951,0.991416
113.998473167,0.970345,-0.2117693,-0.01716712,0.2124151,0.9686649,0.05735622,0.004556167,-0.05969663,0.9914553
114.997262955,0.8877968,-0.4451392,-0.03058332,0.446165,0.8863563,0.05085696,0.004587901,-0.05916689,0.9914869
115.998525143,0.7776326,-0.6177127,-0.04158153,0.6190689,0.7765939,0.04090387,0.00718959,-0.05788316,0.991547
116.997314453,0.7658277,-0.6319957,-0.04668957,0.6335711,0.7651402,0.03526014,0.01364327,-0.05689512,0.9915367
117.998576164,0.7661769,-0.6314335,-0.04850776,0.633103,0.7655597,0.03451871,0.01555534,-0.05746804,0.9914759
118.997365952,0.7664104,-0.6310642,-0.0495903,0.6327885,0.7658401,0.0340239,0.01673063,-0.05776599,0.9914392
119.998628139,0.7041147,-0.7001544,-0.0501206,0.7018746,0.7032527,0.03632299,0.01001856,-0.06108242,0.991331
120.997417927,0.5130652,-0.8505592,-0.05574932,0.8523532,0.5124977,0.02527688,0.007284483,-0.060777,0.9913738
121.998680115,0.2932363,-0.9496387,-0.05895789,0.9514502,0.2930293,0.01244774,0.005673502,-0.05998992,0.9914318
122.997469902,0.0522722,-0.9932958,-0.05944838,0.9950616,0.05246029,-0.001489943,0.004815347,-0.05927177,0.9914799
123.998731613,-0.1963033,-0.9761274,-0.05674334,0.9777653,-0.1957152,-0.01568534,0.004411584,-0.05870583,0.9915153
124.997520924,-0.4325479,-0.8980628,-0.05057865,0.8994745,-0.4315801,-0.02916345,0.004547777,-0.05820674,0.9915438
125.998783112,-0.6110055,-0.7889096,-0.04086849,0.7899333,-0.6096867,-0.04068033,0.007338703,-0.05719499,0.9915856
126.997572899,-0.6302194,-0.7740285,-0.03477447,0.7746812,-0.6286711,-0.04622902,0.01408565,-0.05610687,0.9915748
127.998834610,-0.6299757,-0.7742612,-0.03397601,0.774842,-0.628341,-0.04796493,0.01595726,-0.05657181,0.9915204
128.997624874,-0.6295229,-0.7746432,-0.03362064,0.7751849,-0.6278323,-0.049041,0.01705203,-0.05696135,0.9914803
129.998886585,-0.6990159,-0.7127721,-0.0360944,0.7136067,-0.6973,-0.04996713,0.01060402,-0.06072129,0.9913477
130.997675896,-0.8516793,-0.5225105,-0.0249944,0.5230482,-0.8498935,-0.05558165,0.007910382,-0.06042736,0.9913903
131.998937607,-0.9529764,-0.3022854,-0.01193087,0.302449,-0.9511569,-0.0591245,0.006586792,-0.05995553,0.9914286
