Time (s),W,X,Y,Z
98.999305248,0.3711187,0.01880909,-0.02333573,0.926283
99.998096943,0.3751201,0.0176225,-0.02509575,0.924647
100.999361038,0.4779924,0.01877169,-0.02463833,0.8758947
101.998152733,0.582557,0.02087337,-0.02246226,0.8101325
102.996943951,0.6775097,0.02301435,-0.01996612,0.7325846
103.998208046,0.7617295,0.02490149,-0.01724846,0.6445761
104.996999264,0.8353956,0.0265554,-0.01416507,0.5457435
105.998262405,0.8932955,0.02786414,-0.01047801,0.4447076
106.997053146,0.9113012,0.02892143,-0.005518327,0.4065601
107.998316288,0.9110319,0.0297102,-0.00460954,0.4071177
108.997107029,0.9109148,0.03015769,-0.0041526,0.4073514
109.998368740,0.9206969,0.03088009,-0.006649685,0.3846391
110.997159481,0.9613115,0.03082236,-0.004537608,0.2674645
111.998421192,0.987623,0.03066412,-0.001633165,0.1424275
112.997211456,0.9976896,0.03026046,0.001990324,0.01798337
113.998473167,0.9921202,0.02949563,0.005473957,-0.1068884
114.997262955,0.9711314,0.02832363,0.009054188,-0.22945
115.998525143,0.9424062,0.02620606,0.01293792,-0.3280914
116.997314453,0.9393148,0.02452726,0.01605767,-0.3368325
117.998576164,0.939409,0.02447995,0.01704878,-0.3365245
118.997365952,0.9394725,0.02442591,0.01764845,-0.3363198
119.998628139,0.9226922,0.02639163,0.01629448,-0.3798745
120.997417927,0.8694368,0.02474415,0.0181249,-0.4896596
121.998680115,0.8038101,0.02252947,0.02010158,-0.5912743
122.997469902,0.7250788,0.0199226,0.0221575,-0.685566
123.998731613,0.6336879,0.01697227,0.0241266,-0.770842
124.997520924,0.5324848,0.01363573,0.02588169,-0.8439383
125.998783112,0.440919,0.00936377,0.02733336,-0.8952001
126.997572899,0.4299504,0.005743599,0.02841033,-0.9005166
127.998834610,0.4301013,0.00500282,0.02902414,-0.9004294
128.997624874,0.4303689,0.004600907,0.0294356,-0.9002904
129.998886585,0.3878711,0.006931528,0.03009919,-0.9193638
130.997675896,0.2722876,0.004449073,0.03021142,-0.9599764
131.998937607,0.1533296,0.001354983,0.03019258,-0.9860042
132.997727871,0.03190224,-0.002130253,0.02971285,-0.9973578
133.998989582,-0.09041212,-0.00575306,0.02896049,-0.9937714
134.997779369,-0.2086186,-0.009447362,0.02772215,-0.975832
135.996569633,-0.3023996,-0.01317612,0.02585761,-0.9509678
136.997831821,-0.3090543,-0.01620398,0.02432992,-0.9488196
137.996622562,-0.3088543,-0.01708234,0.02436331,-0.9488685
138.997885704,-0.3085334,-0.01760027,0.02428639,-0.9489653
139.996676445,-0.3708782,-0.01642919,0.02636842,-0.9263433
140.997939110,-0.4844953,-0.01854715,0.02445276,-0.8723245
141.996729374,-0.5899278,-0.0208315,0.02220563,-0.8047894
142.997992992,-0.6860989,-0.02304547,0.01959375,-0.7245557
143.996782780,-0.7709872,-0.02506449,0.01670719,-0.6334818
144.998045444,-0.841387,-0.02685904,0.01314687,-0.5364712
145.996835232,-0.8823092,-0.02826855,0.007097056,-0.4661637
146.998096943,-0.8812067,-0.02917842,0.006601121,-0.4681962
147.996886253,-0.8810534,-0.02976417,0.005962342,-0.4684561
148.998148441,-0.8809354,-0.03012872,0.005800303,-0.4686567
149.996937752,-0.9218191,-0.03057606,0.00771206,-0.3819463
150.998198986,-0.9619811,-0.03074257,0.004784837,-0.265051
151.996988297,-0.9872178,-0.03066217,0.001390617,-0.145212
152.998249531,-0.9975965,-0.03018452,-0.002111434,-0.0226553
