Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,
106.999815,13.54864,0.9868957,51.59343,,,,,,
107.9984622,0.7423898,0.9969693,50.55729,,,,,,
108.9995813,0.1985524,0.9894969,50.59142,,,,,,
109.9982295,0.1947331,0.9897669,49.83358,,,,,,
110.9993496,0.04680121,0.985761,50.12394,,,,,,
111.9979973,0.4933971,0.9870349,50.35679,,,,,,
112.9991174,13.61396,0.998162,49.40046,,,,,,
113.997766,14.95245,0.9861234,47.82506,,,,,,
114.9988866,14.20899,0.986239,45.45225,,,,,,
115.9975357,14.34354,0.9949942,42.72291,,,,,,
116.9986568,14.81795,0.9963311,40.49319,,,,,,
117.9997783,12.63636,0.9949534,37.53762,,,,,,
118.9984279,2.496677,0.9983329,35.98583,,,,,,
119.9995494,0.2282203,0.9911321,36.24522,,,,,,
120.9981999,0.3273799,0.985535,35.66669,,,,,,
121.9993219,0.9568877,0.9950929,35.76378,,,,,,
122.9979725,6.930217,0.9937431,35.98583,,,,,,
123.999095,14.16579,0.9828694,34.24847,,,,,,
124.9977455,14.46516,0.9904125,31.23264,,,,,,
125.9988689,14.39167,0.9978719,29.60401,,,,,,
126.99752,14.16103,0.9825227,29.65859,,,,,,
127.9986434,14.47511,0.9897166,30.43911,,,,,,
128.9972944,12.32056,0.9937932,31.45754,,,,,,
129.9984183,2.801927,0.9922633,32.5988,,,,,,
130.9995418,0.2880043,0.9946054,32.20843,,,,,,
131.9981937,0.1089863,0.9963282,33.01491,,,,,,
132.9993176,0.164499,0.9890391,32.08068,,,,,,
133.9979701,9.173648,1.009528,32.8034,,,,,,
134.999094,14.34822,0.9930475,34.65644,,,,,,
135.9977465,14.7242,0.9911497,37.75725,,,,,,
136.9988713,13.84395,0.9823371,40.37917,,,,,,
137.9975238,14.34854,0.9938278,42.66838,,,,,,
138.9986491,14.22193,0.9905693,45.38453,,,,,,
139.9973025,10.97636,0.9977457,47.47418,,,,,,
140.9984269,1.070188,0.9967123,47.93722,,,,,,
141.9995523,0.164894,0.9879103,48.16293,,,,,,
142.9982052,0.3204099,0.9944817,47.70728,,,,,,
143.9993315,0.1232738,0.9938095,47.55124,,,,,,
144.9979854,9.691226,1.000549,48.63649,,,,,,
145.9991107,13.67002,0.9873611,49.41364,,,,,,
146.9977651,13.99695,0.9956256,50.71492,,,,,,
147.9988909,14.09251,0.9973428,51.67047,,,,,,
148.9975457,14.95036,0.9831693,52.34946,,,,,,
149.998672,14.03952,0.9919057,52.10916,,,,,,
150.9973273,12.26219,0.9921188,50.61882,,,,,,
151.9984541,1.318711,0.9859637,50.76509,,,,,,
152.9971094,0.3872507,0.9862425,50.87049,,,,,,
153.9982367,0.08388083,0.9880691,50.76509,,,,,,
154.9993644,0.1238004,0.9946206,50.49192,,,,,,
155.9980202,9.892953,0.9912762,50.20103,,,,,,
156.9991484,14.70558,0.9837419,49.3787,,,,,,
157.9978046,15.02232,0.9976177,47.31158,,,,,,
158.9989333,13.96608,0.9859241,45.19948,,,,,,
159.9975901,14.88643,0.9939867,42.56849,,,,,,
160.9987187,14.29814,0.9896334,39.7909,,,,,,
161.997376,11.51944,0.9875716,36.82344,,,,,,
162.9985051,0.7810638,0.9873011,37.02626,,,,,,
163.9971628,0.2579198,0.9910575,36.13355,,,,,,
164.9982929,0.2116139,0.9943908,36.82344,,,,,,
165.9969506,0.1873852,0.9844257,36.68977,,,,,,
166.9980807,11.64508,0.9885845,36.37206,,,,,,
167.9992113,15.07324,0.9960495,33.34015,,,,,,
168.997869,14.45253,0.9903362,30.55052,,,,,,
169.9989996,14.70401,0.9917651,29.68458,,,,,,
170.9976592,14.85005,0.9900529,29.51311,,,,,,
171.9987898,14.46825,0.9916839,30.26195,,,,,,
172.9974489,9.869083,0.9912683,31.6237,,,,,,
173.99858,0.5226716,0.9990173,31.61769,,,,,,
174.9972396,0.243847,0.9985792,32.11697,,,,,,
175.9983706,0.1768124,0.9941422,31.61769,,,,,,
176.9970298,0.1870295,0.9959773,31.69618,,,,,,
177.9981618,13.44322,0.996428,32.68296,,,,,,
178.9968219,14.65721,0.9900129,35.76401,,,,,,
179.9979534,15.02228,1.004275,38.55959,,,,,,
180.9990854,14.58392,0.9940852,40.66908,,,,,,
181.997746,14.64578,0.9958025,43.49168,,,,,,
182.998878,13.1138,0.9907694,45.98804,,,,,,
183.9975386,1.446056,0.9925262,47.77815,,,,,,
184.9986711,0.1325011,0.9956678,47.57117,,,,,,
185.9973316,0.1917019,0.9889917,46.83603,,,,,,
186.9984651,0.177066,0.9940293,47.57117,,,,,,
187.9971256,6.137768,0.9966968,47.77815,,,,,,
188.9982591,13.90471,0.9914687,49.26804,,,,,,
189.9969201,15.07788,1.002132,50.13271,,,,,,
190.9980536,13.96349,0.9956406,51.18258,,,,,,
191.9967155,14.82569,1.003633,52.15885,,,,,,
192.997849,15.1301,0.991991,51.83793,,,,,,
193.9989829,12.51471,0.9915442,50.61597,,,,,,
194.9976449,0.3983894,0.9959286,51.28708,,,,,,
195.9987798,0.3947429,0.9876059,50.94567,,,,,,
196.9974422,0.1160458,0.9883356,51.25942,,,,,,
197.9985766,0.2085371,0.9894516,50.72986,,,,,,
198.9972396,12.07125,0.990149,50.87049,,,,,,
199.9983745,15.2618,0.9872529,49.14398,,,,,,
200.9970379,14.88674,0.9997472,47.62677,,,,,,
201.9981732,14.70997,0.9893436,45.47238,,,,,,
202.9968371,14.58542,0.9957671,42.77717,,,,,,
203.997973,13.85269,0.9887522,40.65804,,,,,,
204.9966369,0.8129131,0.9918855,38.53801,,,,,,
205.9977736,0.1830972,0.9875223,37.9603,,,,,,
206.9964376,0.1520982,0.9829111,38.32161,,,,,,
207.9975739,0.607034,0.9970799,38.53801,,,,,,
208.9987106,0.4050766,0.9921581,37.83853,,,,,,
209.997376,14.01913,0.9884556,36.14023,,,,,,
210.9985132,14.81764,0.9911894,33.38012,,,,,,
211.9971781,14.10015,0.9953433,30.71361,,,,,,
212.9983153,14.7737,0.984642,29.23377,,,,,,
213.9969816,14.28126,0.9939829,29.3981,,,,,,
214.9981189,12.27707,0.9914559,29.73178,,,,,,
215.9967847,3.104392,0.9937625,30.2297,,,,,,
216.9979224,0.4771351,0.9932111,30.26172,,,,,,
217.9965892,0.1468058,0.9994698,30.3707,,,,,,
218.9977269,0.4643612,0.9936222,30.26172,,,,,,
219.9963937,0.223131,0.9943631,30.12482,,,,,,
220.9975324,0.2191285,0.9904892,30.61018,,,,,,
221.9986706,0.1059677,0.9933468,30.26172,,,,,,
222.9973373,0.07079348,0.9912446,30.75459,,,,,,
223.998476,0.352294,0.9933349,30.43878,,,,,,
224.9971433,4.137137,1.023115,30.39284,,,,,,
225.9982824,1.294411,0.9923601,30.51059,,,,,,
226.9969497,4.6156,0.9967977,30.65485,,,,,,
227.9980888,1.586219,1.005093,30.2285,,,,,,
228.996757,2.289015,0.9935719,30.67305,,,,,,
229.9978962,0.1425341,0.9925112,30.43315,,,,,,
230.9965639,0.2284421,0.9880751,30.43315,,,,,,
231.997704,0.3203427,0.9968847,30.43315,,,,,,
