Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.000000000,0.187447,0.9771423,0.04525306,-0.9764045,0.189679,-0.05130689,-0.05906949,-0.03451134,0.9909048
1.001088619,0.1875869,0.9771245,0.04504784,-0.9763846,0.1898036,-0.05121721,-0.05894652,-0.03431936,0.9909188
1.999706268,0.1873221,0.9771641,0.04530434,-0.9763904,0.1895793,-0.05194224,-0.05969897,-0.03444578,0.990869
3.000796318,0.2670453,0.9578796,0.05106474,-0.957136,0.2695816,-0.05151242,-0.06349515,-0.03506428,0.9906123
3.999414921,0.4588138,0.8799795,0.07271146,-0.8784155,0.4631965,-0.06298235,-0.0896504,-0.03487892,0.9886021
5.000505447,0.6828885,0.7175968,0.08583751,-0.7159298,0.687815,-0.0545129,-0.09878118,-0.02412493,0.9880547
5.999125481,0.7755194,0.6159769,0.08465631,-0.6149806,0.7798377,-0.04058878,-0.0916144,-0.02051692,0.9888234
7.000216961,0.8859239,0.4413981,0.08710102,-0.4412801,0.8899733,-0.02172713,-0.08769738,-0.01917876,0.9892041
7.998837471,0.9563274,0.2534099,0.08959432,-0.2539434,0.9603435,-0.005643306,-0.08807051,-0.01739467,0.9892043
8.999929905,0.9887743,0.03766615,0.08656157,-0.04070502,0.9918604,0.03348788,-0.08517479,-0.03687272,0.9889241
10.001023293,0.980993,-0.1375097,0.0733668,0.1344333,0.98311,0.04524415,-0.07886251,-0.03479117,0.989521
10.999645233,0.9754491,-0.176352,0.06384154,0.1736743,0.9769633,0.04523757,-0.07080263,-0.03330418,0.9901794
12.000739098,0.9761411,-0.1747137,0.05740327,0.1722427,0.9772075,0.04540963,-0.0644395,-0.0347091,0.990564
12.999361515,0.9764032,-0.1742321,0.05431139,0.1718931,0.9772865,0.04502885,-0.06131319,-0.03490011,0.9907551
14.000456810,0.9765455,-0.1739067,0.05276228,0.1716256,0.9773359,0.04497116,-0.05976675,-0.03513118,0.990841
14.999080181,0.9590288,-0.2541791,0.04943274,0.2516471,0.959558,0.05201567,-0.06102738,-0.03774763,0.9906686
16.000175953,0.8760258,-0.4672563,0.0399672,0.4643548,0.8760947,0.06464726,-0.06557783,-0.03842128,0.9903532
16.998800755,0.740286,-0.6629861,0.02624884,0.6599326,0.7397885,0.07394743,-0.06876512,-0.0377966,0.9901618
17.999897003,0.5578309,-0.8235495,0.009188639,0.8205739,0.556686,0.07912223,-0.07054514,-0.03698841,0.9900675
19.000994205,0.3391286,-0.9358792,-0.009488836,0.9332086,0.3373466,0.07936545,-0.07128384,-0.03615975,0.990045
19.999620438,0.1006197,-0.990787,-0.02817481,0.9885666,0.098244,0.07534661,-0.07203233,-0.03580887,0.9900039
21.000719070,-0.1116371,-0.9897951,-0.04302469,0.9881168,-0.1143911,0.06757878,-0.07190819,-0.0353161,0.9900304
21.999345303,-0.1578207,-0.9835538,-0.04510659,0.9823065,-0.1604072,0.06067136,-0.06698274,-0.03505611,0.9903841
23.000444889,-0.1568626,-0.9837644,-0.0437637,0.9825894,-0.1593003,0.05891698,-0.06500362,-0.03407347,0.9905494
23.999072552,-0.1565247,-0.983786,-0.04445589,0.9827714,-0.1589341,0.05681371,-0.0630207,-0.0351072,0.9906413
25.000172615,-0.1552577,-0.9840299,-0.04339047,0.9829773,-0.1576032,0.05687893,-0.06287476,-0.03412785,0.9906845
25.998801231,-0.2288072,-0.9693717,-0.05257957,0.9686334,-0.2315762,0.0542166,-0.06477334,-0.03883897,0.9903899
26.999902248,-0.4452468,-0.8909613,-0.06482059,0.8907683,-0.448283,0.04304801,-0.06742086,-0.03884931,0.9902133
27.998531818,-0.6501579,-0.7545172,-0.07509351,0.7549096,-0.6533946,0.02914125,-0.0710396,-0.03796871,0.9899949
28.999633789,-0.8181286,-0.5682265,-0.08097926,0.5692984,-0.8213161,0.01158167,-0.07306388,-0.03678919,0.9898925
30.000735283,-0.9343824,-0.34604,-0.08211739,0.3477951,-0.9373147,-0.007542899,-0.07433344,-0.03570294,0.9898378
30.999366283,-0.9903574,-0.1141284,-0.07811426,0.1164869,-0.9928222,-0.02619912,-0.0745515,-0.03507572,0.9898438
32.000469208,-0.9920565,0.1038957,-0.07053954,-0.1011599,-0.9939962,-0.04120275,-0.07440988,-0.03371443,0.989902
32.999100685,-0.99067,0.1196798,-0.06470565,-0.1171404,-0.9922169,-0.04160824,-0.06919685,-0.03361343,0.9902819
34.000204563,-0.9908371,0.1201381,-0.0612119,-0.1176841,-0.9921305,-0.04212611,-0.06580663,-0.03451077,0.9904817
34.998836517,-0.991034,0.1196985,-0.05885207,-0.117305,-0.9921612,-0.04246063,-0.06348885,-0.03515164,0.9906096
35.999940872,-0.9911451,0.1194577,-0.05745796,-0.117108,-0.9921808,-0.0425464,-0.06210686,-0.03541682,0.9906876
36.998573780,-0.9669184,0.2489502,-0.0535676,-0.2461777,-0.9676476,-0.05325925,-0.06513245,-0.03825961,0.9903884
37.999678135,-0.877175,0.477361,-0.04315096,-0.4742103,-0.8774226,-0.06653924,-0.06971444,-0.03780703,0.9900948
38.998311996,-0.7271263,0.6845969,-0.02782092,-0.6812899,-0.7267389,-0.07649613,-0.07273903,-0.03653348,0.989926
