Time (s),W,X,Y,Z
0.000000000,-0.7705153,0.005449454,0.03384831,-0.6338443
1.001088619,-0.7705604,0.005482324,0.03373985,-0.6337949
1.999706268,-0.7704731,0.005677179,0.03407105,-0.6338814
3.000796318,-0.7959246,0.005166363,0.03598328,-0.6015066
3.999414921,-0.8540136,0.00822687,0.04752906,-0.5147444
5.000505447,-0.9172653,0.008282221,0.05031769,-0.3907067
5.999125481,-0.9421949,0.005325826,0.0467713,-0.3266197
7.000216961,-0.9710621,0.0006560789,0.04500186,-0.2272456
7.998837471,-0.9890171,-0.002970466,0.04490944,-0.1282468
8.999929905,-0.9970335,-0.01764249,0.04306183,-0.01965109
10.001023293,-0.9950337,-0.0201087,0.03824727,0.06832505
10.999645233,-0.9936469,-0.01976098,0.03387626,0.08806605
12.000739098,-0.993813,-0.02015438,0.03065033,0.0872791
12.999361515,-0.99388,-0.02010528,0.02908414,0.08706415
14.000456810,-0.9939149,-0.02014819,0.02830449,0.08691193
14.999080181,-0.9894443,-0.02268023,0.02790963,0.1278056
16.000175953,-0.9681449,-0.02661496,0.02725445,0.240566
16.998800755,-0.9323332,-0.02996355,0.02547747,0.3547333
17.999897003,-0.8819479,-0.03291312,0.02260161,0.4660489
18.998522282,-0.817678,-0.03532749,0.01889998,0.5713362
19.999620438,-0.7408799,-0.03750793,0.01479913,0.6679064
21.000719070,-0.665347,-0.03866211,0.0108528,0.7431881
21.999345303,-0.647862,-0.03693977,0.00844167,0.7585953
23.000444889,-0.6482922,-0.03585977,0.008190719,0.7582822
23.999072552,-0.6484456,-0.03543894,0.007157426,0.7581813
25.000172615,-0.6489546,-0.035059,0.00750603,0.75776
25.998801231,-0.6198288,-0.03753277,0.004918199,0.7816696
26.999902248,-0.5252209,-0.03898233,0.001237698,0.8480859
27.998531818,-0.4162893,-0.04030248,-0.002434551,0.9064771
28.999633789,-0.2988279,-0.04046715,-0.006622018,0.9516554
30.000735283,-0.1766957,-0.03984258,-0.01101321,0.981681
30.999366283,-0.05789839,-0.03832834,-0.01538369,0.9957759
32.000469208,0.05146236,-0.03637763,-0.0188018,0.9961439
32.999100685,0.0594551,-0.03361701,-0.01888485,0.9957942
34.000204563,0.05970456,-0.03188762,-0.01923946,0.9958294
34.998836517,0.05949634,-0.03071195,-0.01948346,0.995874
35.999940872,0.05938489,-0.03001426,-0.01957104,0.9959002
36.998573780,0.1250673,-0.02998314,-0.02311728,0.9897234
37.999678135,0.2460904,-0.02918866,-0.02698549,0.9666886
38.998311996,0.3683766,-0.02712079,-0.03048383,0.9269637
39.999417305,0.4781818,-0.02402848,-0.03323411,0.8753787
41.000523090,0.5845439,-0.02014258,-0.03584123,0.8082362
41.999156952,0.6795266,-0.01610365,-0.03770637,0.7301987
43.000263691,0.7476516,-0.01304979,-0.03783327,0.6603357
43.998898506,0.744381,-0.01068403,-0.03630894,0.6641477
45.000004768,0.7437441,-0.009224443,-0.03530374,0.6649369
45.998640060,0.7437032,-0.008410926,-0.03476262,0.6650218
46.999747276,0.7437569,-0.007954806,-0.0345817,0.6649767
47.998382568,0.7956989,-0.005141777,-0.03725808,0.6017277
48.999490738,0.8635752,-0.001699415,-0.03941819,0.4993084
50.000598431,0.9199935,0.002559939,-0.04013832,0.3855154
50.999234200,0.9602916,0.006775374,-0.03986796,0.2698746
52.000342846,0.9859582,0.01131989,-0.03883453,0.151254
52.998979568,0.9970343,0.01574716,-0.03711604,0.03041018
54.000088215,0.996499,0.01788102,-0.03484471,-0.04564698
54.998724937,0.9968504,0.01802842,-0.03221637,-0.03942019
55.999834061,0.996928,0.01833755,-0.03031039,-0.03882369
56.998471737,0.9969493,0.01861307,-0.02966057,-0.03864978
57.999581337,0.9969527,0.01885053,-0.02930032,-0.03872031
58.998219013,0.9901767,0.02294481,-0.02915964,-0.1216589
59.999329090,0.9679554,0.02695536,-0.02840209,-0.2411571
61.000438690,0.9291555,0.03035191,-0.02625491,-0.3628872
61.999077320,0.8783808,0.03326981,-0.02301846,-0.4726924
63.000187874,0.8127628,0.0361192,-0.01939072,-0.5782419
63.998827457,0.7360948,0.03794194,-0.01530936,-0.6731407
64.999938488,0.6743694,0.03807804,-0.01267541,-0.7350122
65.998577595,0.6787713,0.03630149,-0.01024356,-0.7310777
66.999689102,0.6792416,0.03557353,-0.008877101,-0.7306944
67.998329163,0.6794756,0.03497127,-0.008016284,-0.7305158
68.999440670,0.6795383,0.03459779,-0.007592927,-0.7304798
69.998081684,0.6136336,0.03776679,-0.004615186,-0.7865328
70.999194145,0.5086163,0.03989504,-0.001186092,-0.8581049
72.000306606,0.3960023,0.04088096,0.002873722,-0.9154947
72.998948097,0.2758458,0.04086737,0.007419176,-0.9585466
74.000061035,0.149736,0.03982055,0.01207782,-0.9861417
74.998702526,0.02692675,0.03812445,0.01630791,-0.9970874
75.999815464,-0.01960802,0.03549681,0.01674763,-0.9973478
76.998457432,-0.02048891,0.03309327,0.01789964,-0.9973928
77.999571323,-0.01976973,0.03176051,0.01820672,-0.9974451
78.998214245,-0.01949936,0.03096937,0.01846225,-0.9974706
79.999328136,-0.04065598,0.03063782,0.02019111,-0.9968092
80.997970581,-0.1542621,0.03071096,0.02426911,-0.9855449
81.999085903,-0.2775394,0.02925226,0.02772937,-0.9581101
83.000200272,-0.3957095,0.02649829,0.03120451,-0.9156232
83.998843670,-0.5095714,0.023083,0.03408892,-0.8574787
84.999958992,-0.6097216,0.01901528,0.03618627,-0.7894277
85.998602390,-0.6948577,0.01501237,0.03770266,-0.7156491
86.999718189,-0.7161536,0.01299421,0.03612544,-0.6944623
87.998361111,-0.7150588,0.01109667,0.03529361,-0.6956649
88.999477386,-0.714907,0.01004516,0.0347584,-0.695864
89.998121738,-0.7147059,0.009412213,0.03443244,-0.6960955
90.999237537,-0.7302294,0.007904101,0.03542913,-0.679761
91.997882366,-0.801582,0.005022153,0.03820904,-0.5938087
92.998998165,-0.8689474,0.001467993,0.03972647,-0.4898751
94.000114918,-0.9233713,-0.00280383,0.04011748,-0.377354
94.998760223,-0.9636298,-0.007287911,0.03983556,-0.2576922
95.999876499,-0.9886685,-0.01208685,0.03863198,-0.1323771
96.998521805,-0.9973561,-0.01603673,0.03662867,-0.01760406
97.999639034,-0.9976042,-0.01630056,0.03382433,-0.001921001
98.998285294,-0.9976557,-0.01686833,0.03200395,-0.001387343
99.999402523,-0.9976887,-0.01716481,0.03079633,-0.001409466
100.998048306,-0.9977003,-0.01734307,0.03030498,-0.001666646
101.999166012,-0.9969384,-0.02024302,0.03014146,0.03772592
102.997812271,-0.9853646,-0.02405783,0.02992214,0.1555963
103.998930454,-0.9569572,-0.02799672,0.02831826,0.2815581
105.000049114,-0.9121698,-0.03122339,0.02555509,0.4036657
105.998695850,-0.8522797,-0.03426216,0.02197933,0.5182567
106.999814987,-0.7783818,-0.03665303,0.01788308,0.6237677
107.998462200,-0.713336,-0.03662401,0.01512184,0.6972872
108.999581337,-0.7168164,-0.03563613,0.0124341,0.6938136
109.998229504,-0.7172254,-0.03488942,0.01094972,0.6934539
110.999349594,-0.7173047,-0.03434494,0.009902774,0.6934148
111.997997284,-0.7173187,-0.03408854,0.009426469,0.6934195
112.999117374,-0.6567698,-0.03703703,0.006558066,0.7509103
113.997766018,-0.556024,-0.03936369,0.003275981,0.8281937
114.998886585,-0.447138,-0.04046785,-0.0006266256,0.8916599
115.997535706,-0.3335447,-0.04046113,-0.00491154,0.9400609
116.998656750,-0.2122822,-0.03981544,-0.009474854,0.9746225
117.999778271,-0.09008241,-0.03827648,-0.0138672,0.993406
118.998427868,-0.02885369,-0.03594156,-0.01524017,0.9971314
119.999549389,-0.03268127,-0.03389246,-0.01592883,0.9970743
120.998199940,-0.03282644,-0.03266392,-0.01639297,0.9971031
121.999321938,-0.03314097,-0.03168922,-0.01654563,0.9971215
122.997972488,-0.02469278,-0.03143236,-0.01783749,0.9973524
123.999094963,0.07904449,-0.0317704,-0.02177424,0.9944326
124.997745514,0.2022634,-0.03083408,-0.02564597,0.9767849
125.998868942,0.3234099,-0.02866571,-0.02909821,0.9435918
126.997519970,0.437266,-0.02544059,-0.03201466,0.8965232
127.998643398,0.5459561,-0.02147838,-0.03461237,0.8348055
128.999766350,0.6417951,-0.01754471,-0.03659973,0.7635963
129.998418331,0.679607,-0.01529181,-0.03552344,0.7302508
130.999541759,0.679159,-0.01307001,-0.03469659,0.7307503
131.998193741,0.6789897,-0.01188859,-0.03418308,0.730952
132.999317646,0.678858,-0.01116193,-0.03368086,0.731109
133.997970104,0.6915506,-0.009984236,-0.03443092,0.719097
134.999094009,0.7661688,-0.007087435,-0.03746868,0.638873
135.997746468,0.8409116,-0.003488957,-0.03932229,0.5365977
136.998871326,0.9017443,0.000610218,-0.04006439,0.4264731
137.997523785,0.9467112,0.004942033,-0.03986018,0.3142489
138.998649120,0.9784445,0.009551037,-0.03901491,0.1940641
139.997302532,0.9939476,0.01347525,-0.03746485,0.08432516
140.998426914,0.9964219,0.01404885,-0.03511073,0.04838138
141.999552250,0.9964755,0.01504563,-0.0331139,0.04838805
142.998205185,0.9965058,0.01534393,-0.03181908,0.04853768
143.999331474,0.9965176,0.01568564,-0.0310555,0.04868095
144.997985363,0.997242,0.01732117,-0.03104629,0.02952982
145.999110699,0.9945565,0.02131924,-0.03106407,-0.0778807
146.997765064,0.977753,0.02512617,-0.03006756,-0.1977158
147.998890877,0.9460641,0.0285181,-0.02779217,-0.316235
148.997545719,0.8985807,0.03180072,-0.02475964,-0.4330772
149.998672009,0.8359302,0.03454966,-0.02108782,-0.5442519
150.997327328,0.7686437,0.03652631,-0.01711057,-0.6357575
151.998454094,0.7418759,0.03521169,-0.01488901,-0.6669231
152.997109413,0.7416432,0.03463324,-0.0126814,-0.6672576
153.998236656,0.7417613,0.03404823,-0.01154942,-0.667177
