Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,29.552,30.002
1.001088619,29.594,30.006
1.999706268,29.626,30.01
3.000796318,29.634,30.012
3.999414921,29.606,30.016
5.000505447,29.698,30.02
5.999125481,29.686,30.022
7.000216961,29.734,30.026
8.001309395,29.702,30.028
8.999929905,29.73,30.032
10.001023293,29.732,30.034
10.999645233,29.726,30.038
12.000739098,29.792,30.04
12.999361515,29.788,30.044
14.000456810,29.832,30.046
14.999080181,29.842,30.05
16.000175953,29.826,30.052
17.001272678,29.92,30.054
17.999897003,29.88,30.058
19.000994205,29.926,30.06
19.999620438,29.926,30.064
21.000719070,29.914,30.068
21.999345303,29.954,30.072
23.000444889,29.966,30.074
23.999072552,29.958,30.078
25.000172615,30.012,30.082
25.998801231,30.018,30.084
26.999902248,29.99,30.088
28.001003742,30.04,30.09
28.999633789,30.062,30.092
30.000735283,30.054,30.096
30.999366283,30.05,30.098
32.000469208,30.09,30.1
32.999100685,30.106,30.102
34.000204563,30.17,30.106
34.998836517,30.148,30.108
35.999940872,30.146,30.11
37.001045704,30.194,30.114
37.999678135,30.182,30.116
39.000783443,30.182,30.118
39.999417305,30.222,30.118
41.000523090,30.18,30.12
41.999156952,30.202,30.122
43.000263691,30.194,30.124
43.998898506,30.19,30.126
45.000004768,30.234,30.128
45.998640060,30.232,30.13
46.999747276,30.26,30.132
48.000854492,30.236,30.134
48.999490738,30.244,30.136
50.000598431,30.294,30.138
50.999234200,30.27,30.138
52.000342846,30.274,30.14
52.998979568,30.278,30.142
54.000088215,30.316,30.144
54.998724937,30.338,30.144
55.999834061,30.38,30.146
56.998471737,30.316,30.148
57.999581337,30.34,30.148
59.000690937,30.346,30.15
59.999329090,30.324,30.152
61.000438690,30.328,30.154
61.999077320,30.382,30.154
63.000187874,30.362,30.156
63.998827457,30.372,30.158
64.999938488,30.414,30.16
65.998577595,30.41,30.16
66.999689102,30.422,30.162
67.998329163,30.35,30.164
68.999440670,30.432,30.166
70.000553608,30.44,30.168
70.999194145,30.45,30.168
72.000306606,30.444,30.17
72.998948097,30.44,30.172
74.000061035,30.476,30.174
74.998702526,30.454,30.174
75.999815464,30.512,30.176
76.998457432,30.476,30.178
77.999571323,30.476,30.178
78.998214245,30.49,30.18
79.999328136,30.506,30.18
81.000442505,30.514,30.182
81.999085903,30.512,30.184
83.000200272,30.476,30.186
83.998843670,30.508,30.186
84.999958992,30.496,30.188
85.998602390,30.514,30.188
86.999718189,30.564,30.19
87.998361111,30.56,30.19
88.999477386,30.508,30.192
89.998121738,30.572,30.192
90.999237537,30.58,30.194
92.000353813,30.536,30.196
92.998998165,30.584,30.198
94.000114918,30.612,30.198
94.998760223,30.53,30.198
95.999876499,30.57,30.2
96.998521805,30.582,30.202
97.999639034,30.55,30.202
98.998285294,30.602,30.204
99.999402523,30.592,30.206
100.998048306,30.59,30.206
101.999166012,30.61,30.208
103.000284195,30.598,30.208
103.998930454,30.6,30.21
105.000049114,30.664,30.212
105.998695850,30.64,30.212
106.999814987,30.646,30.214
107.998462200,30.624,30.214
108.999581337,30.654,30.216
109.998229504,30.702,30.218
110.999349594,30.706,30.22
111.997997284,30.71,30.222
112.999117374,30.7,30.222
114.000237942,30.702,30.224
114.998886585,30.694,30.226
116.000007629,30.71,30.228
116.998656750,30.746,30.23
117.999778271,30.7,30.23
118.998427868,30.754,30.232
119.999549389,30.756,30.234
120.998199940,30.778,30.236
121.999321938,30.79,30.236
122.997972488,30.756,30.238
123.999094963,30.796,30.238
124.997745514,30.764,30.24
125.998868942,30.84,30.242
126.999991894,30.77,30.242
127.998643398,30.75,30.244
128.999766350,30.86,30.244
129.998418331,30.806,30.246
130.999541759,30.826,30.246
131.998193741,30.878,30.248
132.999317646,30.818,30.248
