Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,
0,1.964964,0.9821106,29.07709,,,,,,
0.998673439,5.708009,0.9727693,29.30819,,,,,,
1.999820232,2.648879,0.9802899,29.65415,,,,,,
2.998496056,12.65084,0.9768195,29.65415,,,,,,
3.999645233,2.446935,0.996007,30.50505,,,,,,
4.998322964,5.140878,1.004529,30.50505,,,,,,
5.999475002,2.235033,1.00266,30.11844,,0.1978818,,0.3059126,,0.2639543
6.998155594,0.6602808,0.9928951,29.97045,,42.43913,,53.83083,,56.62303
7.999309063,0.8960099,0.9764212,30.50505,,46.99686,,30.69178,,25.5729
9.000463963,1.195443,0.98521,30.17357,,7.406696,,4.887503,,3.115232
9.999147892,56.5643,1.001197,26.04382,,24.26014195,,22.4290064,,21.39377908
11.00030518,27.77198,0.9957089,29.94025,,,,,,
11.99899101,3.740616,0.9936891,32.24223,,AVE =,22.69430914,,,
13.0001502,1.097182,0.9930118,32.24223,,,,,,
13.9988389,0.5956353,0.9913798,31.95535,,,,,,
15.00000048,0.1978818,0.9895019,31.95535,,,,,,
15.99869108,42.43913,0.9888152,33.96851,,,,,,
16.99985409,46.99686,0.9901693,43.00018,,,,,,
17.9985466,7.406696,0.9846685,47.69905,,,,,,
18.99971247,0.244554,0.9921246,47.24675,,,,,,
19.99840736,0.5510733,0.989712,47.52842,,,,,,
20.99957466,0.1774049,0.9928093,47.67244,,,,,,
21.99827147,0.3059126,0.9921679,47.72474,,,,,,
22.99944162,53.83083,0.9881756,48.54991,,,,,,
23.99814034,30.69178,0.9902653,49.45503,,,,,,
24.99931192,4.887503,1.001919,47.21531,,,,,,
25.99801254,0.5670763,0.994377,47.51901,,,,,,
26.99918652,0.1978818,0.9949445,46.95405,,,,,,
27.99788904,0.2731344,0.9907644,47.57296,,,,,,
28.99906492,0.2639543,0.986517,47.56586,,,,,,
30.00024223,56.62303,0.995965,44.11024,,,,,,
30.9989481,25.5729,1.000688,34.26955,,,,,,
32.00012684,3.115232,0.9919589,30.87216,,,,,,
32.99883461,0.22255,0.9875452,30.9154,,,,,,
34.00001621,0.2537009,0.989446,30.9154,,,,,,
34.99872589,0.1919843,0.9947392,31.5998,,,,,,
35.99990845,20.44144,0.9822906,30.62924,,,,,,
36.99861956,54.644,0.9877751,24.72429,,,,,,
37.9998045,21.81561,0.9865319,28.62473,,,,,,
38.99851847,0.4455068,0.9914962,30.53646,,,,,,
39.99970484,0.120928,0.9933658,29.8592,,,,,,
40.99842024,0.09096224,0.9884789,29.95215,,,,,,
41.99960804,0.1352791,0.9945678,30.83902,,,,,,
42.99832535,43.78197,0.9942909,32.49679,,,,,,
43.99951506,50.9785,0.9910313,41.66662,,,,,,
44.99823427,10.91762,0.9963643,46.21461,,,,,,
45.99942637,0.5717992,0.9925042,46.89444,,,,,,
46.99814701,0.2241507,0.993478,46.62689,,,,,,
47.99934006,0.1580134,0.9892954,45.734,,,,,,
48.99806261,0.1213977,0.9867626,46.59547,,,,,,
49.99925804,56.43288,0.9913151,49.04709,,,,,,
50.9979825,26.66024,0.9786691,48.97161,,,,,,
51.99917936,3.583564,0.996486,47.69632,,,,,,
52.99790573,0.2737036,0.9955482,48.00302,,,,,,
53.9991045,0.1156064,0.9960679,47.39055,,,,,,
54.9978323,0.2526461,0.9933358,48.60899,,,,,,
55.99903297,0.4387404,0.9989403,48.06772,,,,,,
56.99776268,56.39463,0.9816367,43.02456,,,,,,
57.99896479,24.76641,0.9888546,34.47583,,,,,,
58.99769592,0.4977461,0.9987401,32.27511,,,,,,
59.99890041,0.06788383,0.9908996,32.36309,,,,,,
60.99763298,0.27045,0.9874727,31.90016,,,,,,
61.9988389,0.1575909,0.9946331,31.94669,,,,,,
62.99757338,43.8429,0.9903462,30.92453,,,,,,
63.99878168,48.07845,1.002231,24.41476,,,,,,
64.99751759,12.40361,0.9962223,28.67706,,,,,,
65.99872685,1.376996,0.9905985,28.32753,,,,,,
66.99746466,0.1247321,0.9894105,28.44429,,,,,,
67.99867582,0.2171747,0.9930817,28.57358,,,,,,
68.99741507,0.2386515,0.9957567,29.04528,,,,,,
69.99862719,53.89719,0.9969548,31.53891,,,,,,
70.99736834,29.19114,1.00137,41.99367,,,,,,
71.99858236,3.294307,0.9974881,45.39165,,,,,,
72.99979734,0.296982,0.9979603,45.80571,,,,,,
73.99854088,0.1415873,0.9933338,45.80571,,,,,,
74.99975681,0.1586525,0.9910002,45.80571,,,,,,
75.99850178,0.200371,0.9898801,45.16494,,,,,,
76.99971962,0.1388077,0.9913116,45.85289,,,,,,
77.99846649,0.08865936,0.9970977,45.59161,,,,,,
78.99968576,0.162575,0.9965984,45.39165,,,,,,
79.99843359,0.1693543,0.9922744,46.2688,,,,,,
80.99965477,1.20084,0.9932014,46.02179,,,,,,
81.9984045,3.00162,0.9746158,44.23499,,,,,,
82.99962711,3.861258,0.9823951,45.41471,,,,,,
83.9983778,0.8486091,1.006856,44.57757,,,,,,
84.99960232,1.030435,0.9932639,45.03006,,,,,,
85.99835491,0.7443741,1.002051,44.61367,,,,,,
86.99958038,0.9067767,0.9937711,44.89331,,,,,,
87.99833441,0.615863,0.9864065,45.31372,,,,,,
88.99956083,0.5943848,0.9997131,44.83513,,,,,,
89.99831677,0.2890385,0.9942232,45.09918,,,,,,
90.99954462,0.1443492,0.9942673,44.6147,,,,,,
91.99830198,0.2416768,0.9916412,45.05099,,,,,,
