Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.1320265,0.991224,17.29421
1.001222134,0.08118773,0.9902263,17.91886
1.999971867,4.079051,1.014441,17.67775
3.001194000,34.97972,0.9873568,19.55432
3.999943256,35.09748,0.9995614,22.70776
5.001165867,35.40394,0.9870332,24.23982
5.999915600,35.64316,0.9957547,25.22794
7.001137733,28.86616,0.9999847,25.36089
7.999887466,0.8874872,0.9960005,24.91615
9.001109600,0.1495586,0.9945115,25.05571
9.999859333,0.2027346,0.9925951,25.4938
11.001081944,0.2919643,0.9935252,24.21549
11.999831676,41.36044,0.9917581,24.55664
13.001053810,99.54766,0.9804742,17.35996
13.999804497,29.18858,0.9820868,16.67405
15.001026154,3.870229,0.9969972,17.66698
15.999776840,0.2426776,0.9906868,17.28325
17.000998974,0.1670705,0.9912784,17.59836
17.999748707,0.1980183,0.9868816,17.34182
19.000971317,0.2314798,0.9978465,17.28325
19.999721050,99.90958,0.9366553,21.38924
21.000943661,53.76004,0.9878139,25.77747
21.999693871,14.29987,0.9897152,24.61267
23.000916481,0.5808662,0.993986,25.48425
23.999666214,0.3326261,0.990657,24.41203
25.000888824,0.1423685,0.9925819,24.26302
25.999638557,0.3056605,0.9940493,24.91786
27.000860691,75.77744,0.9471197,24.23571
27.999610424,95.17259,1.004693,16.67009
29.000832558,27.83932,0.9874634,16.23341
29.999583244,1.394726,0.9873328,17.28499
31.000804901,0.4177095,0.9940389,17.28499
31.999555111,0.4157607,0.9873799,17.43401
33.000776768,0.2748923,0.9897162,17.35636
33.999526501,5.103544,0.9873811,17.35636
35.000748634,100.5165,0.9955148,22.08256
35.999498367,38.96082,1.007747,25.53163
37.000720501,14.89058,0.9918461,25.1087
37.999470234,0.4805835,0.9883035,25.02116
39.000692368,0.1896634,0.9926137,25.06839
39.999441624,0.1441348,0.9882984,24.56569
41.000663280,0.1835064,1.000197,24.79053
41.999413490,75.53121,1.013444,24.07596
43.000635147,95.36489,0.9954411,16.25896
43.999384403,29.91068,0.9941298,15.88797
45.000606537,0.6214907,0.9892715,17.1546
45.999355793,0.19148,0.9906852,17.51882
47.000576973,0.139513,0.9935648,16.80207
47.999326229,0.06311367,0.9931216,17.56254
49.000547886,3.114618,0.9574684,17.19153
49.999297142,100.0417,0.9865984,22.17053
51.000518799,40.72919,0.9889294,25.5743
51.999268055,14.57736,1.003709,25.44434
53.000489235,0.4167334,0.9935831,24.83705
53.999237537,0.3839156,0.9935257,25.33656
55.000458717,0.2447597,0.9988328,25.77076
55.999208450,0.1241064,0.9921741,24.61252
57.000428677,76.62477,0.9988157,24.2093
57.999177456,95.4684,0.9987106,17.09837
59.000398636,28.45148,0.9864942,15.80151
59.999147415,3.935203,0.9921229,17.04179
61.000367641,0.4075775,0.9911364,16.80544
61.999116898,0.1972502,0.9907182,16.42052
63.000337601,0.1382535,0.9892368,16.75123
63.999086380,4.647193,0.9574788,16.61894
65.000306606,100.2393,0.9774901,21.83621
65.999055386,40.72932,0.9947237,25.38979
67.000276089,14.44626,0.9959462,24.51701
67.999023914,0.7687799,0.9930269,24.95534
69.000244617,0.16024,0.9954481,25.28433
69.998992920,0.2755615,0.9878673,25.40388
71.000213146,0.1802047,0.9968739,24.95534
