Time (s),Humidity (%)
0.002472401,28.72266
1.001222134,28.20801
2.002443790,27.58789
3.001194000,28.32617
4.002415657,28.04492
5.001165867,27.60059
6.002387524,27.06152
7.001137733,29.41406
8.002359390,28.77051
9.001109600,27.51855
10.002331257,28.6543
11.001081944,27.77637
12.002304077,26.47656
13.001053810,28.73535
14.002276421,27.63574
15.001026154,27.89355
16.002248764,27.51855
17.000998974,27.44824
18.002221584,28.72363
19.000971317,27.54199
20.002193928,26.92188
21.000943661,27.14453
22.002166271,27.36621
23.000916481,29.70703
24.002138138,27.55371
25.000888824,27.15625
26.002110481,28.44336
27.000860691,28.12695
28.002082348,28.43164
29.000832558,26.23047
30.002055168,28.87598
31.000804901,28.43066
32.002027035,27.24902
33.000776768,28.48926
34.001998901,28.13867
35.000748634,27.60059
36.001970291,29.05078
37.000720501,27.14355
38.001942158,27.2832
39.000692368,28.71094
40.001914024,28.62891
41.000663280,27.42383
42.001885414,28.03223
43.000635147,26.8623
44.001856327,29.54199
45.000606537,27.41211
46.001827717,28.72266
47.000576973,27.44727
48.001798630,28.00879
49.000547886,28.69922
50.001769543,26.37012
51.000518799,29.86914
52.001739979,29.48242
53.000489235,27.96094
54.001710415,29.35352
55.000458717,27.53906
56.001680374,27.3291
57.000428677,28.00781
58.001649857,27.78516
59.000398636,28.66211
60.001619339,28.00684
61.000367641,27.87793
62.001588821,28.61523
63.000337601,27.14063
64.001558304,28.9541
65.000306606,29.25781
66.001527309,26.66016
67.000276089,27.74902
68.001495838,27.12891
69.000244617,27.05762
70.001464844,26.8125
71.000213146,28.81348
72.001433372,27.11621
73.000181675,28.5791
74.001401901,28.60254
75.000149727,28.92969
76.001369953,27.43164
77.000117779,26.29688
78.001337528,27.00977
79.000085831,28.23828
80.001305580,27.11523
81.000053406,29.70117
82.001273155,29.05762
83.000020504,27.62988
84.001240730,28.63574
84.999988556,28.83496
86.001207829,27.93359
86.999955654,29.12695
88.001174927,27.30176
88.999922276,27.89844
90.001142025,26.91602
90.999889374,26.72852
92.001108646,29.10352
92.999855995,29.05664
94.001074791,27.10254
94.999821663,26.75098
96.001040936,27.55859
96.999788284,27.76855
98.001007557,28.38867
98.999753952,27.18359
100.000973225,28.6582
100.999719620,28.79883
102.000938892,28.81055
102.999685764,27.47559
104.000904083,27.03125
104.999651432,28.7627
106.000870228,25.73242
106.999616623,28.73926
108.000835419,27.06543
108.999581814,26.99512
110.000800133,27.94238
110.999547005,28.1416
112.000765324,27.69727
112.999511242,28.9834
114.000730038,26.91309
114.999476433,26.86621
116.000694752,27.50977
116.999441147,28.70313
118.000658989,26.77246
118.999404907,26.67871
120.000623703,27.20605
120.999369621,26.85449
122.000587463,28.58594
122.999333858,28.55078
124.000551701,30.36328
124.999297619,29.06543
126.000515461,27.01758
126.999261379,28.62012
128.000479698,28.30469
128.999225616,26.94727
130.000443459,29.13477
130.999189377,26.31543
132.000407219,29.20508
132.999153137,27.32129
134.000370979,27.77734
134.999116421,28.24512
136.000334263,28.01172
136.999080181,26.0459
138.000298023,27.2627
138.999043465,28.03516
140.000261307,27.53125
140.999007225,27.27441
142.000224113,26.86426
142.998970509,27.75391
144.000188351,26.99316
144.998933315,27.64844
146.000151157,26.92285
146.998896599,28.71289
148.000114441,26.8877
148.998859882,28.7832
150.000077724,27.36816
150.998823166,28.12793
152.000041008,27.25098
152.998785973,27.53125
154.000003815,28.06934
154.998749256,28.85352
155.999967098,26.18555
156.998712540,27.12207
157.999929905,29.69434
158.998674870,28.45508
159.999892235,28.52539
