Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.906363010,100,15372286728.0913,4.165625,-1.25,1
1.960993290,100,15372286728.0913,4.166875,0.3125,1
2.840074539,100,15372286728.0913,4.165,-0.3125,1
3.894945145,100,15372286728.0913,4.165,1.5625,1
4.949594498,100,15372286728.0913,4.165625,0.3125,1
5.828660965,100,15372286728.0913,4.165,-1.25,1
6.883349419,100,15372286728.0913,4.165625,1.25,1
7.938142776,100,15372286728.0913,4.165,-0.3125,1
8.993017673,100,15372286728.0913,4.165,0.625,1
9.871911526,100,15372286728.0913,4.166875,0,1
10.926722050,100,15372286728.0913,4.16375,0.625,1
11.981648922,100,15372286728.0913,4.16625,-0.3125,1
12.860527992,100,15372286728.0913,4.165625,0,1
13.915316105,100,15372286728.0913,4.165,1.25,1
14.970171928,100,15372286728.0913,4.164375,0,1
15.849090576,100,15372286728.0913,4.165625,1.875,1
16.903983116,100,15372286728.0913,4.165,-0.3125,1
17.958647251,100,15372286728.0913,4.165625,0,1
18.837618828,100,15372286728.0913,4.16625,0,1
19.892505646,100,15372286728.0913,4.165,0.625,1
20.947208881,100,15372286728.0913,4.165,0.9375,1
22.001990318,100,15372286728.0913,4.165625,-0.3125,1
22.881110191,100,15372286728.0913,4.165,0,1
23.935799122,100,15372286728.0913,4.165625,0.9375,1
24.990576744,100,15372286728.0913,4.165625,0,1
25.869553566,100,15372286728.0913,4.165,0,1
26.924338818,100,15372286728.0913,4.165625,0.9375,1
27.979228020,100,15372286728.0913,4.16375,0.3125,1
28.858156681,100,15372286728.0913,4.165625,0,1
29.912912846,100,15372286728.0913,4.165625,-0.625,1
30.967817307,100,15372286728.0913,4.164375,0,1
31.846729279,100,15372286728.0913,4.165,-0.3125,1
32.901493072,100,15372286728.0913,4.16375,0.625,1
33.956364632,100,15372286728.0913,4.165625,0.3125,1
34.835246563,100,15372286728.0913,4.166875,0,1
35.890175819,100,15372286728.0913,4.164375,-1.25,1
36.944833279,100,15372286728.0913,4.166875,0.625,1
37.999610901,100,15372286728.0913,4.165625,1.25,1
38.878707409,100,15372286728.0913,4.165,-0.625,1
39.933426857,100,15372286728.0913,4.16625,-0.3125,1
40.988175392,100,15372286728.0913,4.165625,-0.3125,1
41.867346764,100,15372286728.0913,4.165,0,1
42.921977520,100,15372286728.0913,4.165,-0.3125,1
43.976744175,100,15372286728.0913,4.16625,1.5625,1
44.855778217,100,15372286728.0913,4.164375,-1.25,1
45.910528183,100,15372286728.0913,4.165,1.25,1
46.965440750,100,15372286728.0913,4.165,0,1
47.844337940,100,15372286728.0913,4.16625,0.9375,1
