Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.002472401,34.192,30.908
1.001222134,34.2,30.908
2.002443790,34.222,30.908
3.001194000,34.214,30.91
4.002415657,34.214,30.91
5.001165867,34.226,30.91
6.002387524,34.264,30.91
7.001137733,34.168,30.91
8.002359390,34.224,30.91
9.001109600,34.218,30.912
10.002331257,34.214,30.912
11.001081944,34.246,30.912
12.002304077,34.22,30.912
13.001053810,34.208,30.912
14.002276421,34.232,30.912
15.001026154,34.2,30.912
16.002248764,34.21,30.912
17.000998974,34.272,30.912
18.002221584,34.264,30.912
19.000971317,34.224,30.912
20.002193928,34.23,30.912
21.000943661,34.21,30.912
22.002166271,34.242,30.912
23.000916481,34.252,30.912
24.002138138,34.212,30.912
25.000888824,34.24,30.91
26.002110481,34.216,30.91
27.000860691,34.206,30.91
28.002082348,34.282,30.91
29.000832558,34.192,30.91
30.002055168,34.262,30.91
31.000804901,34.264,30.91
32.002027035,34.23,30.91
33.000776768,34.202,30.91
34.001998901,34.246,30.91
35.000748634,34.16,30.91
36.001970291,34.218,30.91
37.000720501,34.242,30.908
38.001942158,34.23,30.908
39.000692368,34.196,30.908
40.001914024,34.256,30.908
41.000663280,34.22,30.908
42.001885414,34.232,30.908
43.000635147,34.204,30.908
44.001856327,34.226,30.908
45.000606537,34.208,30.908
46.001827717,34.25,30.906
47.000576973,34.202,30.906
48.001798630,34.214,30.906
49.000547886,34.244,30.906
50.001769543,34.178,30.906
51.000518799,34.2,30.906
52.001739979,34.172,30.904
53.000489235,34.21,30.904
54.001710415,34.206,30.904
55.000458717,34.174,30.904
56.001680374,34.19,30.902
57.000428677,34.198,30.902
58.001649857,34.162,30.902
59.000398636,34.18,30.902
60.001619339,34.144,30.902
61.000367641,34.188,30.902
62.001588821,34.186,30.902
63.000337601,34.176,30.9
64.001558304,34.146,30.9
65.000306606,34.182,30.9
66.001527309,34.14,30.9
67.000276089,34.15,30.9
68.001495838,34.212,30.898
69.000244617,34.164,30.898
70.001464844,34.144,30.898
71.000213146,34.16,30.898
72.001433372,34.12,30.896
73.000181675,34.172,30.896
74.001401901,34.18,30.896
75.000149727,34.196,30.896
76.001369953,34.134,30.896
77.000117779,34.124,30.894
78.001337528,34.15,30.894
79.000085831,34.192,30.894
80.001305580,34.104,30.894
81.000053406,34.132,30.894
82.001273155,34.158,30.894
83.000020504,34.16,30.892
84.001240730,34.162,30.892
84.999988556,34.15,30.892
86.001207829,34.178,30.892
86.999955654,34.092,30.892
88.001174927,34.126,30.892
88.999922276,34.162,30.89
90.001142025,34.134,30.89
90.999889374,34.108,30.89
92.001108646,34.134,30.89
92.999855995,34.146,30.89
94.001074791,34.116,30.888
94.999821663,34.102,30.888
96.001040936,34.088,30.888
96.999788284,34.148,30.888
98.001007557,34.09,30.888
98.999753952,34.084,30.888
100.000973225,34.14,30.888
100.999719620,34.104,30.886
102.000938892,34.16,30.886
102.999685764,34.122,30.886
104.000904083,34.104,30.886
104.999651432,34.098,30.886
106.000870228,34.086,30.886
106.999616623,34.076,30.884
108.000835419,34.102,30.884
108.999581814,34.118,30.884
110.000800133,34.066,30.884
110.999547005,34.078,30.884
112.000765324,34.132,30.884
112.999511242,34.092,30.884
114.000730038,34.088,30.882
114.999476433,34.058,30.882
116.000694752,34.076,30.882
116.999441147,34.062,30.882
118.000658989,34.098,30.882
118.999404907,34.072,30.882
120.000623703,34.108,30.882
120.999369621,34.08,30.88
122.000587463,34.062,30.88
122.999333858,34.094,30.88
124.000551701,34.098,30.88
124.999297619,34.108,30.88
126.000515461,34.046,30.88
126.999261379,34.068,30.88
128.000479698,34.088,30.88
128.999225616,34.094,30.88
130.000443459,34.07,30.88
130.999189377,34.064,30.88
132.000407219,34.094,30.878
132.999153137,34.084,30.878
134.000370979,34.068,30.878
134.999116421,34.044,30.878
136.000334263,34.066,30.878
136.999080181,34.068,30.878
138.000298023,34.036,30.878
138.999043465,34.054,30.878
140.000261307,34.078,30.878
140.999007225,34.102,30.878
142.000224113,34.082,30.878
142.998970509,34.084,30.878
144.000188351,34.09,30.878
144.998933315,34.084,30.878
146.000151157,34.068,30.878
146.998896599,34.068,30.878
148.000114441,34.094,30.878
148.998859882,34.068,30.878
150.000077724,34.076,30.878
150.998823166,34.054,30.876
152.000041008,34.046,30.876
152.998785973,34.066,30.876
154.000003815,34.068,30.876
154.998749256,34.064,30.876
155.999967098,34.092,30.876
156.998712540,34.066,30.876
157.999929905,34.054,30.876
158.998674870,34.032,30.876
159.999892235,34.086,30.876
