Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.990038395,100,15372286728.0913,4.16625,0.9375,1
1.868893623,100,15372286728.0913,4.16625,0.625,1
2.923803329,100,15372286728.0913,4.166875,-0.3125,1
3.978466511,100,15372286728.0913,4.16625,-1.25,1
4.857490540,100,15372286728.0913,4.1675,0.3125,1
5.912384510,100,15372286728.0913,4.165625,0.625,1
6.967035294,100,15372286728.0913,4.166875,0.9375,1
7.846011639,100,15372286728.0913,4.16625,0.625,1
8.900912285,100,15372286728.0913,4.165625,0.625,1
9.955763340,100,15372286728.0913,4.165625,-0.3125,1
10.834578514,100,15372286728.0913,4.16625,-0.3125,1
11.889485836,100,15372286728.0913,4.165,1.5625,1
12.944167614,100,15372286728.0913,4.1675,0.3125,1
13.998954296,100,15372286728.0913,4.16625,0,1
14.878103733,100,15372286728.0913,4.165625,0.625,1
15.932723999,100,15372286728.0913,4.165625,0.9375,1
16.987535477,100,15372286728.0913,4.165625,0.9375,1
17.866625309,100,15372286728.0913,4.16625,-0.3125,1
18.921318054,100,15372286728.0913,4.1675,0.9375,1
19.976084232,100,15372286728.0913,4.165,0,1
20.855229378,100,15372286728.0913,4.16625,0.3125,1
21.909859180,100,15372286728.0913,4.1675,1.875,1
22.964685440,100,15372286728.0913,4.1675,0.3125,1
23.843752384,100,15372286728.0913,4.165,-0.3125,1
24.898478985,100,15372286728.0913,4.166875,0.9375,1
25.953243732,100,15372286728.0913,4.16625,0.625,1
26.832332134,100,15372286728.0913,4.165625,-1.25,1
27.887023926,100,15372286728.0913,4.165625,0,1
28.941814423,100,15372286728.0913,4.16625,0,1
29.996587753,100,15372286728.0913,4.165625,-0.625,1
30.875599384,100,15372286728.0913,4.165625,-0.625,1
31.930366993,100,15372286728.0913,4.16625,0,1
32.985150814,100,15372286728.0913,4.1675,-0.625,1
33.864149570,100,15372286728.0913,4.1675,0.625,1
34.918940544,100,15372286728.0913,4.166875,0,1
35.973708153,100,15372286728.0913,4.165625,0.9375,1
36.852754593,100,15372286728.0913,4.165625,0.625,1
37.907522202,100,15372286728.0913,4.165625,0,1
38.962281227,100,15372286728.0913,4.165625,-0.3125,1
39.841333389,100,15372286728.0913,4.16625,0,1
40.896080494,100,15372286728.0913,4.166875,0,1
41.950843811,100,15372286728.0913,4.166875,-0.3125,1
42.829853058,100,15372286728.0913,4.166875,0.9375,1
43.884654522,100,15372286728.0913,4.165625,0.9375,1
44.939483166,100,15372286728.0913,4.165625,0.3125,1
45.994365215,100,15372286728.0913,4.16625,0,1
46.873238087,100,15372286728.0913,4.166875,-0.625,1
47.927988052,100,15372286728.0913,4.168125,-1.875,1
48.982963085,100,15372286728.0913,4.16625,-0.625,1
49.861811638,100,15372286728.0913,4.165625,0.625,1
50.916607380,100,15372286728.0913,4.165,-0.3125,1
51.971487522,100,15372286728.0913,4.1675,0.625,1
52.850339413,100,15372286728.0913,4.1675,-1.25,1
53.905193329,100,15372286728.0913,4.16625,0.9375,1
54.960048199,100,15372286728.0913,4.164375,-1.25,1
55.838890076,100,15372286728.0913,4.165625,0.9375,1
56.893728733,100,15372286728.0913,4.16875,-0.3125,1
57.948621750,100,15372286728.0913,4.16625,0.9375,1
58.827461243,100,15372286728.0913,4.16625,2.1875,1
59.882315159,100,15372286728.0913,4.165625,0,1
60.937211514,100,15372286728.0913,4.165625,1.5625,1
61.991867065,100,15372286728.0913,4.16625,1.25,1
62.870892048,100,15372286728.0913,4.1675,-0.3125,1
63.925705433,100,15372286728.0913,4.16625,0.3125,1
64.980438709,100,15372286728.0913,4.16625,0.3125,1
