Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,31.106,30.308
1.001132488,31.116,30.31
1.999794006,31.128,30.31
3.000927448,31.184,30.31
3.999588966,31.146,30.312
5.000722408,31.188,30.312
5.999383450,31.162,30.314
7.000517368,31.184,30.314
7.999179363,31.162,30.316
9.000313282,31.14,30.316
9.998976231,31.136,30.316
11.000109673,31.164,30.318
11.998772621,31.16,30.32
12.999907017,31.186,30.32
14.001041412,31.224,30.32
14.999704361,31.204,30.322
16.000839710,31.258,30.322
16.999502659,31.194,30.324
18.000637531,31.216,30.324
18.999300480,31.24,30.326
20.000435829,31.174,30.326
20.999099255,31.236,30.326
22.000235081,31.226,30.328
22.998898029,31.216,30.326
24.000034332,31.206,30.328
24.998698235,31.216,30.33
25.999833107,31.274,30.33
27.000969410,31.282,30.33
27.999633789,31.256,30.332
29.000769615,31.228,30.332
29.999433517,31.218,30.332
31.000569344,31.228,30.332
31.999234200,31.222,30.332
33.000370026,31.274,30.334
33.999034882,31.274,30.334
35.000171185,31.25,30.334
35.998835087,31.248,30.334
36.999971867,31.256,30.334
37.998636246,31.24,30.336
38.999773026,31.272,30.336
39.998437405,31.282,30.336
40.999574184,31.286,30.336
42.000710487,31.268,30.336
42.999375343,31.226,30.336
44.000512600,31.322,30.336
44.999176979,31.282,30.336
46.000313759,31.288,30.336
46.998978138,31.27,30.336
48.000115395,31.23,30.334
48.998780251,31.302,30.336
49.999916553,31.25,30.336
50.998581886,31.248,30.336
51.999718666,31.26,30.334
52.998383522,31.254,30.336
53.999520302,31.282,30.336
55.000657558,31.278,30.336
55.999321938,31.294,30.336
57.000459194,31.294,30.336
57.999124050,31.312,30.336
59.000261307,31.3,30.338
59.998926640,31.276,30.338
61.000062943,31.278,30.338
61.998728275,31.312,30.338
62.999865532,31.266,30.338
63.998530865,31.29,30.338
64.999668121,31.26,30.338
65.998333931,31.306,30.338
66.999471188,31.264,30.338
67.998136520,31.302,30.34
68.999274254,31.296,30.34
70.000411510,31.308,30.34
70.999077797,31.278,30.34
72.000214577,31.338,30.34
72.998880863,31.324,30.342
74.000018597,31.328,30.342
74.998684406,31.28,30.342
75.999822617,31.336,30.34
76.998488426,31.298,30.34
77.999626160,31.324,30.342
78.998292446,31.354,30.342
79.999430180,31.352,30.344
80.998096943,31.322,30.344
81.999234676,31.298,30.344
83.000373363,31.324,30.344
83.999039650,31.346,30.346
85.000178337,31.342,30.346
85.998844147,31.362,30.346
86.999982834,31.312,30.346
87.998650074,31.322,30.346
88.999788761,31.324,30.348
89.998455524,31.386,30.348
90.999593735,31.328,30.348
91.998260975,31.3,30.348
92.999399662,31.314,30.348
93.998066902,31.332,30.348
94.999205589,31.33,30.348
95.997872829,31.314,30.35
96.999011993,31.406,30.35
98.000151157,31.422,30.35
98.998818398,31.344,30.35
99.999957561,31.344,30.352
100.998625755,31.37,30.352
101.999764919,31.36,30.352
102.998433113,31.362,30.354
103.999572277,31.348,30.354
104.998239994,31.34,30.354
105.999380112,31.402,30.354
106.998047829,31.38,30.354
107.999187946,31.356,30.354
108.997855663,31.336,30.356
109.998995781,31.382,30.356
110.997664452,31.39,30.356
111.998804092,31.364,30.356
112.999944210,31.39,30.358
113.998612404,31.406,30.358
114.999752998,31.368,30.358
115.998421669,31.368,30.358
116.999561787,31.418,30.36
117.998230457,31.386,30.36
118.999371052,31.438,30.36
119.998040199,31.41,30.36
120.999180794,31.386,30.36
121.997849464,31.39,30.36
122.998990059,31.418,30.362
123.997659206,31.452,30.362
124.998799801,31.368,30.362
125.997468948,31.412,30.362
126.998609543,31.394,30.362
127.999750614,31.422,30.362
128.998420238,31.414,30.364
129.999561310,31.42,30.362
130.998230457,31.486,30.362
131.999372005,31.396,30.364
132.998041153,31.438,30.364
133.999182224,31.44,30.364
134.997851372,31.402,30.364
135.998993397,31.444,30.364
136.997662544,31.424,30.366
137.998804092,31.422,30.366
138.997473717,31.41,30.366
139.998615742,31.45,30.366
140.999756813,31.44,30.366
141.998426914,31.46,30.366
142.999568939,31.444,30.366
143.998239040,31.506,30.366
144.999380589,31.474,30.366
145.998050690,31.46,30.366
146.999192715,31.502,30.368
147.997862339,31.446,30.366
148.999004364,31.462,30.368
