Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,
0,0.1845029,0.9997627,19.8865,,,,,,
0.998661518,0.1520919,0.9930289,20.5732,,,,,,
1.999794006,0.2728441,0.9864091,19.95203,,3.71067,,0.1824073,,0.2082988
2.998455048,5.399645,1.003445,20.66245,,42.81358,,75.85123,,69.31346
3.999588966,34.61525,0.986864,22.34087,,16.00884,,29.43164,,14.36094
5.000722408,31.74306,0.9969519,24.16272,,20.84436333,,35.15509243,,27.9608996
5.99938345,9.634492,0.9812538,24.77279,,,,,,
7.000517368,0.228302,0.9921565,25.68757,,AVE =,27.98678512,,,
7.999179363,0.2174109,0.9949606,24.91382,,,,,,
9.000313282,0.08819219,0.9949642,25.35472,,,,,,
9.998976231,0.162346,0.9906643,25.06727,,,,,,
11.00010967,81.87353,1.010408,25.72219,,,,,,
11.99877262,28.89724,0.9954129,24.91475,,,,,,
12.99990702,4.2929,0.9855055,24.05534,,,,,,
13.99856949,0.169215,0.9939886,24.30742,,,,,,
14.99970436,0.1384615,0.9949448,24.10545,,,,,,
15.99836731,0.2297762,0.9944533,24.10545,,,,,,
16.99950266,3.71067,1.010289,24.05534,,,,,,
18.00063753,42.81358,1.012338,19.33561,,,,,,
18.99930048,16.00884,0.995091,17.03976,,,,,,
20.00043583,0.4649071,0.98731,16.78381,,,,,,
20.99909926,0.2622498,0.9901515,16.95118,,,,,,
22.00023508,0.33446,0.9978719,17.33907,,,,,,
22.99889803,0.1824073,0.9921705,17.07388,,,,,,
24.00003433,75.85123,0.9667198,16.34331,,,,,,
24.99869824,29.43164,0.9897414,18.46406,,,,,,
25.99983311,5.166852,0.9797653,20.25983,,,,,,
26.99849701,0.1104881,0.9983136,20.70445,,,,,,
27.99963379,0.05999186,0.9835321,19.64332,,,,,,
28.99829769,0.1072552,0.9873087,19.90624,,,,,,
29.99943352,0.2082988,0.993532,19.46173,,,,,,
31.00056934,69.31346,0.996415,23.16303,,,,,,
31.9992342,14.36094,0.9811516,25.00819,,,,,,
33.00037003,0.6015112,0.9925794,25.28836,,,,,,
33.99903488,0.2107828,0.9930124,25.61907,,,,,,
35.00017119,0.05204545,0.9964199,24.77279,,,,,,
35.99883509,0.1393029,0.9811843,25.06727,,,,,,
36.99997187,39.08852,0.9728447,25.59839,,,,,,
37.99863625,35.02884,0.9899086,25.53692,,,,,,
38.99977303,7.61125,0.9932845,24.24146,,,,,,
39.99843741,0.3442421,0.9930702,24.39861,,,,,,
40.99957418,0.2473878,0.9916536,24.44218,,,,,,
41.99823856,0.1539005,1.002092,24.82221,,,,,,
42.99937534,0.1214401,0.99207,24.54932,,,,,,
43.99804068,68.53957,0.9911415,21.12427,,,,,,
44.99917698,15.47146,0.9875177,17.50914,,,,,,
46.00031376,0.8218037,0.9954637,17.03976,,,,,,
46.99897814,0.1481867,0.9940076,17.03976,,,,,,
48.0001154,0.2936834,0.9902093,17.01794,,,,,,
48.99878025,0.2119393,0.9934976,17.35676,,,,,,
49.99991655,76.41137,0.9780684,16.64801,,,,,,
50.99858189,29.78963,0.9930356,17.83178,,,,,,
51.99971867,4.641568,1.004067,19.48616,,,,,,
52.99838352,0.1882172,0.9849814,19.67251,,,,,,
53.9995203,0.08685711,0.9916095,19.52991,,,,,,
54.99818468,0.2658892,0.9844975,19.18323,,,,,,
55.99932194,0.1466997,0.99783,19.33516,,,,,,
56.99798727,72.86677,0.9863539,22.42022,,,,,,
57.99912405,14.15116,0.9859577,24.69191,,,,,,
58.99778938,0.6845422,0.9992724,24.56421,,,,,,
59.99892664,0.2183672,0.9939946,24.8731,,,,,,
61.00006294,0.2649631,0.9949467,24.81984,,,,,,
61.99872828,0.1196548,0.9930971,25.34033,,,,,,
62.99986553,38.78246,1.020271,24.63406,,,,,,
63.99853087,32.79005,0.9875932,25.51522,,,,,,
64.99966812,12.16904,0.9888098,24.81288,,,,,,
65.99833393,0.3260241,0.9916436,24.67429,,,,,,
66.99947119,0.3596849,1.003048,24.27818,,,,,,
67.99813652,0.2473878,0.9868512,24.42183,,,,,,
68.99927425,0.2398324,0.9882565,25.2721,,,,,,
69.99793959,69.58365,1.088336,22.0696,,,,,,
70.9990778,13.97447,0.9926009,18.0225,,,,,,
71.99774265,0.5324173,0.9911321,16.88902,,,,,,
72.99888086,0.0723725,0.9911762,17.21714,,,,,,
74.0000186,0.1686887,0.987289,17.55221,,,,,,
74.99868441,0.1952607,0.9901831,16.73682,,,,,,
75.99982262,39.52796,0.996798,17.08932,,,,,,
76.99848843,36.25967,0.9920647,17.80698,,,,,,
77.99962616,11.8588,0.9980977,19.10173,,,,,,
78.99829245,0.3476887,0.9830438,19.10073,,,,,,
79.99943018,0.1540309,0.9925954,19.14666,,,,,,
80.99809694,0.1528655,0.9907385,18.60424,,,,,,
81.99923468,0.2297762,0.9897448,19.65759,,,,,,
82.99790144,81.99081,0.9907595,20.90239,,,,,,
83.99903965,28.38553,0.9859536,23.89847,,,,,,
84.99770641,2.900222,0.9903035,24.10144,,,,,,
85.99884415,0.2345682,0.9926383,24.67768,,,,,,
86.99751139,0.1778487,0.9892222,24.73081,,,,,,
87.99865007,0.1602223,0.9906721,24.51059,,,,,,
