Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,
0,0.4728403,0.9934294,28.29356,,,,,,
1.001219749,0.7866797,0.9955685,28.43194,,,,,,
1.999967575,0.3767337,0.9944712,28.72918,,0.420596,,0.335781,,0.08136547
3.001187801,4.945642,1.005686,29.16809,,36.40002,,26.9022,,7.522513
3.999935627,39.18779,1.00628,29.52766,,41.6987,,41.69835,,42.51797
5.001155376,38.25376,1.006879,34.71441,,15.38248,,18.61181,,30.73047
5.999903202,12.98684,0.9899967,38.96428,,0.8930406,,3.141685,,1.141574
7.001123428,2.011967,0.9905432,40.29725,,18.95896732,,18.1379652,,16.39877849
7.999871254,0.3274209,0.9966527,40.42157,,,,,,
9.001091957,0.2848227,0.9939647,40.09432,,AVE =,17.83190367,,,
9.999839783,0.2322166,0.9978791,40.01404,,,,,,
11.00105953,40.31024,1.002166,43.0432,,,,,,
11.99980736,39.57162,0.9945251,49.04166,,,,,,
13.00102806,13.33067,0.9788672,51.21745,,,,,,
13.99977589,0.3303062,0.9884465,51.51637,,,,,,
15.00099659,0.1380175,0.9946339,51.29029,,,,,,
15.99974537,0.1702382,0.9921526,50.75369,,,,,,
17.0009656,0.420596,0.9915524,50.6011,,,,,,
17.99971438,36.40002,0.985055,50.90531,,,,,,
19.00093556,41.6987,0.9972854,49.87923,,,,,,
19.99968433,15.38248,0.9713336,45.46796,,,,,,
21.00090551,0.8930406,0.9916148,44.42657,,,,,,
21.99965477,0.09991986,0.9935252,44.73174,,,,,,
23.00087643,0.1359152,0.9913796,44.39999,,,,,,
23.99962568,0.335781,0.9941106,44.42657,,,,,,
25.00084782,26.9022,0.973323,43.71636,,,,,,
25.99959755,41.69835,0.9990312,37.41784,,,,,,
27.00081968,18.61181,0.9908441,29.88416,,,,,,
27.99956942,3.141685,0.9939646,27.81004,,,,,,
29.00079203,0.385283,0.9893661,28.18256,,,,,,
29.99954224,0.05975936,0.990117,27.74797,,,,,,
31.00076485,0.08136547,0.9966329,28.25119,,,,,,
31.99951506,7.522513,0.9934367,28.33682,,,,,,
33.00073767,42.51797,0.994754,29.47905,,,,,,
33.99948835,30.73047,0.9930439,35.85511,,,,,,
35.00071096,1.141574,0.9861113,38.90419,,,,,,
35.99946165,0.4057285,0.9939539,39.3294,,,,,,
37.00068474,0.1769616,0.9909701,39.11563,,,,,,
37.99943543,0.2413292,0.9961694,38.45737,,,,,,
39.00065851,0.4094927,0.983883,39.39935,,,,,,
39.99941015,41.68513,0.9984042,43.61974,,,,,,
41.00063324,36.68854,0.986589,49.22551,,,,,,
41.9993844,11.09421,0.9869179,50.70394,,,,,,
43.00060749,0.08545415,0.992834,51.35839,,,,,,
43.99935961,0.09169807,0.9877956,50.76397,,,,,,
45.00058365,0.2215407,0.9928093,51.23449,,,,,,
45.99933481,0.1885678,0.9904065,50.60222,,,,,,
47.00055933,41.22158,0.9958689,51.04817,,,,,,
47.99931145,40.82928,0.9956737,49.22967,,,,,,
49.00053501,13.54637,0.9952881,45.17338,,,,,,
49.99928761,0.3484437,0.9951307,44.63195,,,,,,
51.00051308,0.4319624,0.9845493,44.65234,,,,,,
51.99926567,0.1554929,0.9994898,44.94868,,,,,,
53.00049067,0.4183083,0.9890085,44.67908,,,,,,
53.99924421,37.43836,0.9956306,43.12358,,,,,,
55.00046921,41.14125,0.9885522,35.58546,,,,,,
55.99922276,14.85356,1.003177,29.77914,,,,,,
57.0004487,0.2742652,0.9939613,28.34873,,,,,,
57.99920178,0.2037358,0.9988421,28.50286,,,,,,
59.00042772,0.1702321,0.9930776,28.42954,,,,,,
59.99918175,0.1329633,0.9965862,28.86086,,,,,,
61.00040817,27.18246,0.9877502,29.27106,,,,,,
61.9991622,42.55286,0.9881234,29.9559,,,,,,
63.00038815,19.73752,1.000548,36.72282,,,,,,
63.99914265,4.143749,0.9905356,38.06116,,,,,,
65.0003686,0.4772725,0.9938568,38.67733,,,,,,
65.9991231,0.171568,0.9966099,38.34459,,,,,,
67.00034952,0.143274,0.9945452,38.23509,,,,,,
67.99910402,6.959712,0.9931802,38.04247,,,,,,
69.00033093,42.16172,0.9887149,43.91649,,,,,,
