Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,34.178,30.896
1.001219749,34.162,30.896
1.999967575,34.166,30.898
3.001187801,34.236,30.898
3.999935627,34.158,30.898
5.001155376,34.188,30.898
5.999903202,34.196,30.898
7.001123428,34.208,30.898
7.999871254,34.182,30.898
9.001091957,34.178,30.898
9.999839783,34.166,30.898
11.001059532,34.208,30.9
11.999807358,34.224,30.9
13.001028061,34.212,30.9
13.999775887,34.174,30.9
15.000996590,34.252,30.902
15.999745369,34.238,30.902
17.000965595,34.184,30.902
17.999714375,34.234,30.902
19.000935555,34.244,30.904
19.999684334,34.238,30.904
21.000905514,34.226,30.904
21.999654770,34.202,30.906
23.000876427,34.208,30.908
23.999625683,34.252,30.908
25.000847816,34.238,30.91
25.999597549,34.27,30.91
27.000819683,34.282,30.912
27.999569416,34.274,30.912
29.000792027,34.292,30.914
29.999542236,34.252,30.914
31.000764847,34.33,30.914
31.999515057,34.278,30.914
33.000737667,34.272,30.916
33.999488354,34.264,30.916
35.000710964,34.278,30.916
35.999461651,34.322,30.916
37.000684738,34.314,30.918
37.999435425,34.284,30.918
39.000658512,34.328,30.92
39.999410152,34.308,30.92
41.000633240,34.3,30.92
41.999384403,34.354,30.92
43.000607491,34.298,30.92
43.999359608,34.342,30.922
45.000583649,34.32,30.924
45.999334812,34.356,30.924
47.000559330,34.316,30.926
47.999311447,34.356,30.926
49.000535011,34.382,30.928
49.999287605,34.376,30.928
51.000513077,34.278,30.93
51.999265671,34.344,30.93
53.000490665,34.374,30.932
53.999244213,34.352,30.932
55.000469208,34.382,30.934
55.999222755,34.364,30.936
57.000448704,34.38,30.936
57.999201775,34.424,30.936
59.000427723,34.362,30.938
59.999181747,34.39,30.938
61.000408173,34.378,30.938
61.999162197,34.412,30.94
63.000388145,34.412,30.94
63.999142647,34.396,30.942
65.000368595,34.386,30.942
65.999123096,34.434,30.942
67.000349522,34.43,30.942
67.999104023,34.414,30.944
69.000330925,34.458,30.944
69.999085903,34.426,30.946
71.000312805,34.45,30.946
71.999067783,34.414,30.946
73.000295162,34.45,30.946
73.999050617,34.434,30.948
75.000278473,34.428,30.95
75.999033451,34.48,30.95
77.000261307,34.46,30.95
77.999017239,34.486,30.952
79.000245094,34.496,30.954
79.999001980,34.476,30.954
81.000230312,34.508,30.956
81.998987198,34.504,30.956
83.000216484,34.538,30.958
83.998972893,34.532,30.958
85.000202179,34.522,30.96
85.998959541,34.524,30.96
87.000188828,34.528,30.96
87.998946667,34.544,30.962
89.000175953,34.556,30.964
89.998933792,34.528,30.964
91.000163078,34.498,30.966
91.998920918,34.562,30.966
93.000150681,34.52,30.966
93.998908520,34.54,30.968
95.000138760,34.512,30.968
95.998896599,34.58,30.97
97.000127316,34.544,30.97
97.998885155,34.56,30.97
99.000115871,34.512,30.97
99.998874187,34.558,30.972
101.000103951,34.526,30.972
101.998862743,34.58,30.972
103.000093460,34.566,30.972
103.998851776,34.61,30.974
105.000082970,34.586,30.974
105.998842239,34.58,30.976
107.000073433,34.586,30.976
107.998832703,34.588,30.978
109.000064850,34.552,30.978
109.998824120,34.6,30.98
111.000055790,34.602,30.98
111.998816013,34.646,30.982
113.000048637,34.624,30.982
113.998808384,34.68,30.982
115.000041008,34.624,30.984
115.998800755,34.654,30.984
117.000033379,34.608,30.984
117.998794079,34.62,30.986
119.000026703,34.602,30.986
119.998787403,34.616,30.986
121.000020027,34.63,30.988
121.998781204,34.598,30.988
123.000013828,34.592,30.988
123.998774052,34.668,30.988
125.000007629,34.658,30.988
125.998767853,34.636,30.988
127.000001431,34.652,30.988
127.998762608,34.674,30.99
128.999995708,34.686,30.99
129.998756886,34.7,30.99
130.999990463,34.656,30.992
131.998751640,34.61,30.992
132.999985695,34.7,30.992
133.998747349,34.664,30.994
134.999981403,34.654,30.994
135.998743057,34.682,30.996
136.999977112,34.706,30.996
137.998739719,34.73,30.996
138.999974251,34.754,30.998
139.998736858,34.698,31
140.999971390,34.732,31
141.998733997,34.744,31
142.999969482,34.722,31
143.998732090,34.678,31.002
144.999967098,34.742,31.002
145.998729706,34.718,31.004
146.999965191,34.718,31.004
147.998728275,34.728,31.004
148.999964237,34.68,31.004
149.998727322,34.758,31.006
150.999962807,34.71,31.006
151.998726368,34.7,31.008
152.999962330,34.762,31.008
153.998725891,34.8,31.008
154.999962330,34.762,31.008
155.998725414,34.772,31.008
156.999962330,34.734,31.01
157.998725891,34.814,31.01
158.999962807,34.768,31.01
