Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.889344215,100.0117,15372286728.0913,4.16625,-0.625,1
1.944036961,100.0117,15372286728.0913,4.165625,-0.3125,1
2.998805046,100.0117,15372286728.0913,4.1675,0.625,1
3.877918720,100.0117,15372286728.0913,4.1675,0,1
4.932585716,100.0117,15372286728.0913,4.16625,-0.625,1
5.987366199,100.0117,15372286728.0913,4.16625,0,1
6.866486549,100.0117,15372286728.0913,4.165625,-0.3125,1
7.921171665,100.0117,15372286728.0913,4.168125,-0.625,1
8.975982666,100.0117,15372286728.0913,4.1675,0,1
9.854967117,100.0117,15372286728.0913,4.165625,0,1
10.909759521,100.0117,15372286728.0913,4.16625,-0.625,1
11.964594841,100.0117,15372286728.0913,4.166875,1.5625,1
12.843497276,100.0117,15372286728.0913,4.165625,1.5625,1
13.898269176,100.0117,15372286728.0913,4.1675,0.3125,1
14.953200340,100.0117,15372286728.0913,4.166875,-1.25,1
15.832110882,100.0117,15372286728.0913,4.168125,-0.625,1
16.886891842,100.0117,15372286728.0913,4.165625,-0.3125,1
17.941794395,100.0117,15372286728.0913,4.165625,-0.625,1
18.996415615,100.0117,15372286728.0913,4.165625,-0.625,1
19.875530720,100.0117,15372286728.0913,4.164375,0.3125,1
20.930217743,100.0117,15372286728.0913,4.165625,-0.9375,1
21.985026360,100.0117,15372286728.0913,4.1675,1.5625,1
22.864106655,100.0117,15372286728.0913,4.1675,-0.625,1
23.918801308,100.0117,15372286728.0913,4.165625,0,1
24.973551273,100.0117,15372286728.0913,4.165625,-1.25,1
25.852706432,100.0117,15372286728.0913,4.166875,0,1
26.907364845,100.0117,15372286728.0913,4.16625,0.9375,1
27.962121487,100.0117,15372286728.0913,4.165625,-0.3125,1
28.841157913,100.0117,15372286728.0913,4.16625,0.3125,1
29.895946026,100.0117,15372286728.0913,4.164375,-0.3125,1
30.950798511,100.0117,15372286728.0913,4.16625,0.3125,1
31.829702854,100.0117,15372286728.0913,4.16625,0.625,1
32.884465694,100.0117,15372286728.0913,4.1675,-0.625,1
33.939444542,100.0117,15372286728.0913,4.16625,0,1
34.994051933,100.0117,15372286728.0913,4.166875,1.875,1
35.873034954,100.0117,15372286728.0913,4.16625,2.5,1
36.927951813,100.0117,15372286728.0913,4.165,0,1
37.982613087,100.0117,15372286728.0913,4.166875,0.3125,1
38.861725330,100.0117,15372286728.0913,4.164375,-0.3125,1
39.916397572,100.0117,15372286728.0913,4.165625,0.625,1
40.971188068,100.0117,15372286728.0913,4.165,-0.3125,1
41.850272655,100.0117,15372286728.0913,4.165625,0,1
42.904963493,100.0117,15372286728.0913,4.165625,0.9375,1
43.959754467,100.0117,15372286728.0913,4.165625,0,1
44.838853836,100.0117,15372286728.0913,4.16625,-0.9375,1
45.893531799,100.0117,15372286728.0913,4.166875,0,1
46.948310375,100.0117,15372286728.0913,4.16625,-0.9375,1
47.827321529,100.0117,15372286728.0913,4.165625,0,1
48.882132530,100.0117,15372286728.0913,4.166875,-0.625,1
49.937011242,100.0117,15372286728.0913,4.166875,0.9375,1
50.991678238,100.0117,15372286728.0913,4.166875,0.625,1
51.870675087,100.0117,15372286728.0913,4.166875,0.3125,1
52.925572872,100.0117,15372286728.0913,4.165,-0.3125,1
53.980285645,100.0117,15372286728.0913,4.16625,-0.625,1
54.859234810,100.0117,15372286728.0913,4.1675,1.25,1
55.914158344,100.0117,15372286728.0913,4.166875,-1.25,1
56.968838692,100.0117,15372286728.0913,4.1675,0.3125,1
57.847964764,100.0117,15372286728.0913,4.166875,0.9375,1
58.902588844,100.0117,15372286728.0913,4.165625,0.9375,1
59.957388878,100.0117,15372286728.0913,4.165,-0.3125,1
60.836513996,100.0117,15372286728.0913,4.165625,0.9375,1
61.891205311,100.0117,15372286728.0913,4.168125,0,1
62.945988655,100.0117,15372286728.0913,4.166875,0.9375,1
64.000863075,100.0117,15372286728.0913,4.1675,0.3125,1
64.879727840,100.0117,15372286728.0913,4.165625,-0.3125,1
65.934504986,100.0117,15372286728.0913,4.165625,0.3125,1
66.989480495,100.0117,15372286728.0913,4.1675,0.3125,1
67.868328094,100.0117,15372286728.0913,4.166875,0.9375,1
68.923196793,100.0117,15372286728.0913,4.165625,0.9375,1
69.977889061,100.0117,15372286728.0913,4.166875,-0.625,1
70.856906414,100.0117,15372286728.0913,4.165625,-0.3125,1
71.911762238,100.0117,15372286728.0913,4.165625,-0.9375,1
72.966508865,100.0117,15372286728.0913,4.16625,-0.625,1
73.845455170,100.0117,15372286728.0913,4.165,0.9375,1
74.900386810,100.0117,15372286728.0913,4.16625,0.625,1
