Time (s),W,X,Y,Z
0.000000000,-0.3856636,0.03606109,0.03583784,-0.9194056
1.001219749,-0.38411,0.03584057,0.03563624,-0.9200721
1.999967575,-0.387963,0.03661788,0.03629055,-0.9183978
3.001187801,-0.3902609,0.03556019,0.03779408,-0.9174047
3.999935627,-0.5854788,0.02684811,0.04807113,-0.8067283
5.001155376,-0.808554,0.01774606,0.05314694,-0.5828624
5.999903202,-0.9126137,0.007933824,0.05526968,-0.4008071
7.001123428,-0.9172277,0.001633679,0.04280378,-0.391773
7.999871254,-0.9172909,0.0006139902,0.04198615,-0.3917167
9.001091957,-0.9172642,-0.001016486,0.04019276,-0.3919664
9.999839783,-0.9173849,-0.001936299,0.03907438,-0.3917933
11.001059532,-0.9667913,-0.01124057,0.04228352,-0.2450061
11.999807358,-0.9910474,-0.02233039,0.04125187,0.1106904
13.001028061,-0.941592,-0.02735439,0.0360134,0.3286138
13.999775887,-0.9323127,-0.02748629,0.03123157,0.3545275
15.000996590,-0.9322512,-0.0280341,0.02823651,0.3548973
15.999745369,-0.9322833,-0.02824958,0.02633131,0.3549425
17.000965595,-0.9323249,-0.02823539,0.02522559,0.3549145
17.999714375,-0.8976908,-0.0342791,0.02226509,0.4348657
19.000935555,-0.6870697,-0.04403778,0.01490025,0.7227736
19.999684334,-0.4608043,-0.04520199,0.007440242,0.8844142
21.000905514,-0.4148156,-0.04237687,0.003266567,0.9070553
21.999654770,-0.4140549,-0.0404739,0.0004713846,0.9074954
23.000876427,-0.4142098,-0.03903248,-0.00106801,0.9074874
23.999625683,-0.4143774,-0.03830395,-0.001972999,0.9074404
25.000847816,-0.3863551,-0.03940488,-0.006543901,0.9196531
25.999597549,-0.05498321,-0.04255822,-0.01798327,0.9957258
27.000819683,0.2578295,-0.03914203,-0.02544894,0.9633129
27.999569416,0.3362727,-0.03403187,-0.02705657,0.9389665
29.000792027,0.3313737,-0.03033992,-0.02728672,0.9408262
29.999542236,0.3309781,-0.02813988,-0.02749558,0.9410278
31.000764847,0.3307062,-0.02681184,-0.02782672,0.9411524
31.999515057,0.3330162,-0.02549715,-0.02905195,0.9403371
33.000737667,0.5989116,-0.020125,-0.04069387,0.7974155
33.999488354,0.8352841,-0.01123838,-0.0453065,0.544747
35.000710964,0.9027236,-0.006418485,-0.04354399,0.4240056
35.999461651,0.8997784,-0.003034268,-0.04089143,0.4305173
37.000684738,0.8994528,-0.001093138,-0.03917287,0.431366
37.999435425,0.8995112,0.0001606421,-0.03842179,0.431313
39.000658512,0.8996119,0.001015744,-0.0376155,0.4311732
39.999410152,0.9745119,0.01204854,-0.0421768,0.2122033
41.000633240,0.9870212,0.0228179,-0.04023106,-0.1423996
41.999384403,0.9456586,0.02651438,-0.03499351,-0.3169069
43.000607491,0.9462702,0.02631163,-0.03105313,-0.3155056
43.999359608,0.9464286,0.02665977,-0.02834676,-0.3152559
45.000583649,0.9465333,0.0267193,-0.02682292,-0.3150699
45.999334812,0.9465825,0.02711732,-0.02575723,-0.3149768
47.000559330,0.8850273,0.03650238,-0.02210641,-0.4599276
47.999311447,0.6610168,0.04444063,-0.01444457,-0.7466598
49.000535011,0.4736678,0.04431127,-0.007537153,-0.8776367
49.999287605,0.4478192,0.04138063,-0.003999419,-0.8912672
51.000513077,0.4473144,0.03972727,-0.00129582,-0.8916039
51.999265671,0.4473024,0.03873036,4.495512E-05,-0.8916548
53.000490665,0.4473692,0.03797359,0.001043573,-0.8916531
53.999244213,0.3654733,0.04023803,0.007018052,-0.9281102
55.000469208,0.01006251,0.0428778,0.01896302,-0.9971601
55.999222755,-0.2505697,0.03841164,0.02492069,-0.96527
57.000448704,-0.298448,0.03376336,0.02577589,-0.9517102
57.999201775,-0.2990305,0.03037673,0.02643128,-0.9516234
59.000427723,-0.2990447,0.02829516,0.02701667,-0.9516667
59.999181747,-0.2990926,0.02732988,0.02718189,-0.9516752
61.000408173,-0.3294044,0.02510251,0.0310457,-0.9415553
61.999162197,-0.6320382,0.01962965,0.04142811,-0.7713972
63.000388145,-0.8443102,0.01177141,0.04448023,-0.530708
63.999142647,-0.8849686,0.007130705,0.04225259,-0.4600243
65.000368595,-0.8825233,0.004175812,0.03980659,-0.4649499
65.999123096,-0.8822556,0.002277579,0.03863881,-0.4655691
67.000349522,-0.8822833,0.001076275,0.037969,-0.4655761
67.999104023,-0.8833826,-0.000721485,0.03797461,-0.4634872
69.000330925,-0.9815338,-0.01292663,0.04264839,-0.1767288
69.999085903,-0.9832029,-0.02239308,0.04023949,0.1667905
71.000312805,-0.9561691,-0.02483026,0.03527652,0.2837382
71.999067783,-0.9579628,-0.02493502,0.03127814,0.2780918
73.000295162,-0.9583585,-0.0254866,0.02912138,0.2769098
73.999050617,-0.9584356,-0.02573976,0.0275489,0.2767804
75.000278473,-0.9578105,-0.02708232,0.02623958,0.2789354
75.999033451,-0.8284809,-0.039193,0.0213663,0.5552067
77.000261307,-0.5919036,-0.04438411,0.01298124,0.802583
77.999017239,-0.4881033,-0.04262276,0.007817749,0.8697729
79.000245094,-0.4922124,-0.04002108,0.004543603,0.8676016
79.999001980,-0.4924051,-0.03904803,0.002846541,0.8675437
81.000230312,-0.4925307,-0.03826588,0.00144689,0.8675107
81.998987198,-0.4919549,-0.03789597,0.0001066705,0.8678548
83.000216484,-0.2089619,-0.04357671,-0.01230639,0.9751472
83.998972893,0.1294809,-0.04137811,-0.0216332,0.9887781
85.000202179,0.245401,-0.03647139,-0.02376671,0.9667011
85.998959541,0.239838,-0.03288087,-0.0241962,0.9682142
87.000188828,0.2390464,-0.03043105,-0.02493249,0.9684714
87.998946667,0.2391593,-0.02912827,-0.02497146,0.9684826
89.000175953,0.2409603,-0.02808571,-0.02640631,0.9680288
89.998933792,0.5205178,-0.02375507,-0.0383061,0.8506805
91.000163078,0.7796798,-0.01540711,-0.04375076,0.621752
91.998920918,0.8582956,-0.0108027,-0.041991,0.5080122
93.000150681,0.85452,-0.006710191,-0.03978495,0.5145828
93.998908520,0.8542808,-0.00478749,-0.03859971,0.5150913
95.000138760,0.8543077,-0.003386833,-0.03773264,0.5151223
95.998896599,0.8543436,-0.002542626,-0.03739101,0.5150926
97.000127316,0.9508017,0.00816946,-0.0429423,0.3011527
97.998885155,0.9959056,0.01870283,-0.04185589,-0.05194109
99.000115871,0.9715082,0.02288684,-0.03703438,-0.2256193
99.998874187,0.9724461,0.02299776,-0.03306822,-0.2221569
101.000103951,0.9726711,0.02348379,-0.03045084,-0.2214951
101.998862743,0.9726893,0.02390886,-0.02891705,-0.2215746
103.000093460,0.9727053,0.02418883,-0.0278962,-0.2216054
103.998851776,0.8947982,0.03619444,-0.02455858,-0.4405116
105.000082970,0.6788597,0.04324878,-0.01677332,-0.7304966
105.998842239,0.534823,0.04272076,-0.0112122,-0.8418084
107.000073433,0.5404065,0.04025234,-0.007414178,-0.8383993
107.998832703,0.5415433,0.03871614,-0.005136771,-0.837755
109.000064850,0.5414684,0.03783358,-0.003792595,-0.8378508
109.998824120,0.5414863,0.0374115,-0.002981234,-0.8378615
111.000055790,0.3310661,0.04343889,0.007517567,-0.9407866
111.998816013,-0.02412495,0.04286341,0.01806786,-0.9969363
113.000048637,-0.2031236,0.03860461,0.02144834,-0.9764313
113.998808384,-0.1970516,0.0343609,0.02253531,-0.9778088
115.000041008,-0.196259,0.03178772,0.02304518,-0.9780432
115.998800755,-0.1964417,0.03021312,0.0235894,-0.9780436
117.000033379,-0.1963931,0.02945635,0.02392671,-0.9780681
117.998794079,-0.4183564,0.02641821,0.03568041,-0.9053366
119.000026703,-0.7122552,0.01868166,0.04248938,-0.6979727
119.998787403,-0.8285048,0.01219313,0.04236097,-0.5552157
121.000020027,-0.8319809,0.009019293,0.04001198,-0.5502301
121.998781204,-0.8320631,0.006607894,0.03851504,-0.5502469
123.000013828,-0.8320678,0.005216049,0.03756684,-0.5503203
123.998774052,-0.8320018,0.004407917,0.03723693,-0.5504495
125.000007629,-0.9099607,-0.004383557,0.0424126,-0.4083884
125.998767853,-0.9957454,-0.01520019,0.04308605,-0.05505777
127.000001431,-0.9842416,-0.0203679,0.03899582,0.1611234
127.998762608,-0.9805704,-0.02130504,0.03456011,0.1829237
128.999995708,-0.9804873,-0.02206336,0.0316455,0.1838044
129.998756886,-0.9805209,-0.02273578,0.03009708,0.1838033
130.999990463,-0.9805439,-0.02313035,0.02889816,0.1838236
131.998751640,-0.959373,-0.02970476,0.02711292,0.273155
132.999985695,-0.7980277,-0.04027938,0.02170001,0.5980686
133.998747349,-0.6036763,-0.04286117,0.01460314,0.7938214
134.999981403,-0.5701709,-0.04022709,0.01037399,0.8184175
135.998743057,-0.5689978,-0.03895161,0.007310826,0.8193281
136.999977112,-0.569052,-0.03792923,0.00559825,0.819352
137.998739719,-0.5690412,-0.03731668,0.004637924,0.8193935
138.999974251,-0.5424361,-0.03917298,0.0005185038,0.8371715
139.998736858,-0.2218847,-0.04441153,-0.01057564,0.9722708
140.999971390,0.09332476,-0.04187882,-0.01849617,0.9928859
141.998733997,0.1630229,-0.03750647,-0.02002502,0.9839937
142.999969482,0.1612987,-0.03403245,-0.02133668,0.9843765
143.998732090,0.1609872,-0.03201086,-0.02213179,0.9844776
144.999967098,0.1610619,-0.03075904,-0.02259707,0.9844949
145.998729706,0.1611335,-0.02984858,-0.02282829,0.9845058
146.999965191,0.1610755,-0.02951532,-0.02294144,0.9845228
147.998728275,0.1612468,-0.02926908,-0.02293182,0.9845023
