Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
45.000583649,-0.1932506,-0.09838186,0.04533787,-0.0656015,-0.03708061,0.9899454,-36.94086,-18.50435,-30.29744,996.9781
45.999334812,-0.06959355,-0.157618,-0.07662313,-0.06563574,-0.03561641,0.9875872,-35.81639,-18.86544,-30.36225,996.9772
47.000559330,-3.346505,-0.157618,41.08521,-0.05271597,-0.04125488,0.9936166,-38.84488,-14.14922,-29.94647,996.9761
47.999311447,-2.975534,-0.3353266,40.71933,-0.05239386,-0.03012255,0.9938378,-39.07919,-4.612863,-29.58206,996.9766
49.000535011,-0.8115358,0.02009048,13.52203,-0.06707373,-0.03663315,0.9923494,-34.07063,0.9000998,-29.64821,996.9778
49.999287605,-0.3169076,-0.09838186,0.1063184,-0.05823961,-0.03456267,0.9928236,-33.33453,1.213079,-29.65381,996.9784
51.000513077,0.0540635,-0.3945628,0.1672989,-0.06423219,-0.03265968,0.9819088,-33.34366,1.582252,-29.65683,996.9814
51.999265671,0.0540635,0.1385628,0.04533787,-0.06555295,-0.03808482,0.9966103,-33.34525,1.582834,-30.09939,996.975
53.000490665,0.115892,-0.3945628,-0.07662313,-0.06509149,-0.03947027,0.9860746,-33.71416,1.579083,-29.27596,996.9851
53.999244213,-3.16102,0.1385628,37.30442,-0.05614224,-0.04275711,0.9931264,-31.56326,2.332993,-29.29098,996.9767
55.000469208,-3.099191,-0.09838186,41.02423,-0.06083841,-0.02779274,0.9862868,-19.1354,6.114551,-29.37301,996.9795
55.999222755,-1.182507,-0.3353266,14.80262,-0.06513757,-0.03181034,1.000554,-8.371878,2.128993,-28.49871,996.9856
57.000448704,0.115892,-0.09838186,0.2282794,-0.06856523,-0.03616465,0.9909338,-6.102781,0.7287626,-27.67446,996.9878
57.999201775,0.1777205,-0.09838186,-0.01564263,-0.06309389,-0.03804374,0.9961212,-6.837362,0.3542538,-27.66835,996.9884
59.000427723,-0.1314221,0.02009048,0.1063184,-0.06903276,-0.03810179,0.9899423,-6.474638,0.7260933,-27.67292,996.9911
59.999181747,-0.06959355,-0.03914569,0.1063184,-0.0661485,-0.03227255,0.9938646,-6.476227,0.726676,-28.11547,996.988
61.000408173,-0.1932506,0.07932665,27.18166,-0.06224751,-0.06505635,0.9836378,-6.45042,-0.3802567,-28.54895,996.9811
61.999162197,-3.222848,-0.5722712,42.42678,-0.05079276,-0.04069833,0.9859774,-2.891592,-11.30995,-27.58768,996.9644
63.000388145,-1.49165,0.02009048,19.68106,-0.06018572,-0.002208116,0.9987341,-8.540342,-21.19511,-28.7471,996.9582
63.999142647,0.9196628,0.02009048,-4.040356,-0.06815641,-0.03178541,0.9876766,-11.41533,-22.6932,-28.34362,996.9551
65.000368595,0.2395491,-0.157618,-0.3815256,-0.06655907,-0.03855229,0.9908758,-11.41828,-22.69212,-29.16551,996.9587
65.999123096,-0.1314221,0.07932665,-0.07662313,-0.0661189,-0.03420727,0.9938257,-11.41669,-22.6927,-28.72295,996.961
67.000349522,-0.007765027,-0.03914569,-0.1376036,-0.0705764,-0.03329595,0.9914789,-11.04484,-22.69003,-28.72449,996.9562
67.999104023,-1.677135,0.1385628,6.753192,-0.07001993,-0.1034109,0.9852971,-10.69283,-21.94844,-29.17463,996.9623
69.000330925,-2.913706,-0.03914569,42.0609,-0.0543104,-0.03591799,0.9865685,-20.22903,-24.96967,-29.93259,996.9659
69.999085903,-2.233592,-0.157618,28.64519,-0.06367189,-0.03415304,0.9909493,-32.08963,-21.73054,-30.73301,996.9773
71.000312805,-0.4405647,-0.2168542,-1.113292,-0.06860223,-0.03374625,0.9909824,-35.43676,-19.23144,-30.7401,996.9865
71.999067783,0.1777205,-0.09838186,-0.07662313,-0.06368669,-0.03318568,0.9909687,-35.80726,-19.23461,-30.35922,996.9856
73.000295162,-0.06959355,-0.2168542,0.04533787,-0.06900799,-0.04003125,0.9889484,-35.42764,-19.60061,-30.73707,996.9822
73.999050617,-0.06959355,-0.09838186,0.04533787,-0.06413992,-0.03466283,0.994284,-35.4354,-19.23194,-30.36076,996.9972
75.000278473,-1.677135,-0.5130351,7.545939,-0.05778433,-0.09790877,0.9872552,-35.04528,-19.96761,-30.35625,997.0104
75.999033451,-2.975534,-0.3945628,42.42678,-0.05134492,-0.03493344,0.9918261,-39.63266,-12.30928,-29.51596,997.0053
77.000261307,-2.357249,-0.157618,29.37696,-0.06204013,-0.0428599,0.9950644,-38.45232,-2.453886,-30.04508,997.0009
77.999017239,-0.5642217,-0.4537989,-0.7474086,-0.06855269,-0.03760516,0.9889947,-34.44249,0.8974314,-29.64667,996.9876
79.000245094,-0.007765027,0.02009048,0.1063184,-0.06804077,-0.03857009,0.9899279,-35.19693,1.261848,-30.08917,996.9816
79.999001980,-0.007765027,-0.09838186,-0.07662313,-0.06411015,-0.03707333,0.9928032,-34.42445,0.1591711,-29.70384,996.9755
81.000230312,-0.007765027,0.07932665,0.1672989,-0.06506173,-0.04188078,0.9845936,-34.81458,0.894846,-29.70835,996.9691
81.998987198,-1.986278,-0.157618,3.643188,-0.05777875,-0.1227157,1.010635,-34.44272,0.8975143,-29.70989,996.9681
83.000216484,-3.593819,-0.2760904,42.85365,-0.05969912,-0.03603151,0.9918465,-26.10513,4.588689,-30.15383,996.9819
83.998972893,-2.419077,-0.3353266,29.255,-0.06003021,-0.04905646,0.9839469,-13.20819,4.679031,-28.56337,996.97
85.000202179,0.4250347,-0.03914569,-2.393882,-0.0690503,-0.03618023,0.9923685,-7.998659,2.131162,-28.12092,996.9691
85.998959541,0.0540635,-0.09838186,-0.1985841,-0.06605714,-0.03855513,0.9927834,-8.740784,2.125242,-27.67529,996.9695
87.000188828,-0.06959355,0.02009048,0.3502404,-0.06898063,-0.04243912,0.98699,-8.742373,2.125825,-28.11784,996.9592
87.998946667,-0.06959355,0.07932665,-0.1985841,-0.06659915,-0.03422812,0.9962153,-8.361385,1.759321,-28.11635,996.9621
89.000175953,-1.429821,-0.157618,6.753192,-0.06216816,-0.1008827,0.9876955,-8.372105,2.129076,-28.56193,996.9631
89.998933792,-2.975534,-0.3945628,41.93894,-0.05770119,-0.03555655,0.9990088,-2.644697,-6.2009,-27.25173,996.978
91.000163078,-2.604563,-0.03914569,30.29167,-0.06293178,-0.04678157,1.001676,-5.634073,-18.283,-27.96121,996.9784
91.998920918,-0.5642217,0.197799,-1.601136,-0.06574834,-0.01694501,1.022821,-9.274923,-21.56962,-28.741,996.9789
93.000150681,-0.007765027,-0.03914569,0.4112209,-0.06607933,-0.03710409,0.9928125,-8.907726,-21.26039,-27.92317,996.9777
93.998908520,-0.2550791,-0.2168542,0.1063184,-0.06769629,-0.02936459,0.9886777,-8.909315,-21.25981,-28.36573,996.9733
95.000138760,-0.1314221,0.02009048,-0.07662313,-0.06658967,-0.03376286,0.9995674,-8.893936,-21.93612,-28.73951,996.9772
95.998896599,0.115892,0.02009048,-0.01564263,-0.06808325,-0.03424329,0.99479,-9.273561,-21.57012,-28.36167,996.9795
97.000127316,-3.099191,-0.5722712,42.12188,-0.05231846,-0.03210727,1.002871,-15.47513,-24.19708,-29.95838,996.98
97.998885155,-2.72822,-0.2168542,36.81658,-0.05847347,-0.02051489,0.9892856,-28.31332,-23.91997,-29.90835,996.9805
99.000115871,-0.9351929,-0.09838186,11.93653,-0.06966114,-0.02797325,0.9939685,-33.90073,-21.06771,-29.90923,996.9668
99.998874187,-0.1314221,-0.157618,0.5941623,-0.06520024,-0.03174191,0.98814,-33.92194,-20.32828,-30.73717,996.962
101.000103951,0.0540635,-0.09838186,0.1063184,-0.06562352,-0.03610536,0.9885323,-33.90368,-21.06662,-30.73112,996.9626
101.998862743,-0.06959355,-0.03914569,0.04533787,-0.0646145,-0.03706786,0.9904181,-34.29244,-20.33145,-30.3563,996.959
103.000093460,-0.3169076,-0.09838186,-0.01564263,-0.06511834,-0.03848975,0.9837067,-34.2664,-21.43846,-30.72656,996.9454
103.998851776,-2.851877,-0.3945628,42.73169,-0.05176339,-0.03930215,0.9931734,-38.5076,-15.25451,-29.93867,996.9445
105.000082970,-2.851877,-0.09838186,37.54834,-0.05456887,-0.02041654,0.9825824,-38.7451,-5.716989,-30.45938,996.9396
105.998842239,0.2395491,-0.2760904,4.313972,-0.06311362,0.01538436,0.9594658,-36.26547,-0.5925159,-29.6901,996.942
107.000073433,-0.1314221,-0.03914569,0.5331818,-0.06610826,-0.03707251,0.9870828,-36.26229,-0.5936813,-28.80499,996.9485
107.998832703,-0.06959355,-0.09838186,0.1672989,-0.07245437,-0.0391335,0.9918491,-36.25634,-0.9616871,-29.68708,996.9439
109.000064850,-0.007765027,0.3162713,-0.07662313,-0.0680036,-0.04146428,0.9884371,-36.63869,-0.5946846,-30.0679,996.9517
109.998824120,-0.1314221,-0.2760904,0.1063184,-0.06656854,-0.03901755,0.9875238,-35.88448,-0.9590187,-29.68862,996.9491
111.000055790,-2.851877,-0.3353266,42.24384,-0.04750517,-0.02858146,0.9914562,-30.47508,3.448514,-29.30467,996.9479
111.998816013,-2.851877,-0.2168542,37.48736,-0.05831344,-0.03020165,0.9914786,-17.27771,6.128475,-29.82325,996.9488
113.000048637,0.5486917,-0.2168542,4.313972,-0.07579289,-0.01402826,0.9923687,-10.61079,2.481653,-28.11318,996.9523
113.998808384,-0.06959355,0.07932665,0.8380843,-0.06958183,-0.03424267,0.9904999,-9.88534,3.225333,-28.1223,996.9599
115.000041008,0.0540635,-0.157618,0.1672989,-0.06954242,-0.0366637,0.9909288,-10.24965,2.854076,-28.56029,996.952
115.998800755,-0.1932506,-0.03914569,0.04533787,-0.07044081,-0.04200483,0.9917814,-10.61374,2.482736,-28.93506,996.9559
117.000033379,0.1777205,-0.03914569,0.1063184,-0.06851843,-0.03906935,0.9913529,-10.93893,3.217772,-28.11794,996.9581
117.998794079,-2.975534,-0.2760904,42.60972,-0.05526466,-0.03311287,1.001433,-3.850065,-2.578716,-27.27687,996.9763
119.000026703,-2.913706,-0.6907436,37.6703,-0.0552729,-0.03025027,1.008653,-3.553345,-14.63774,-27.6206,996.9714
119.998787403,-1.120678,-0.157618,12.60732,-0.05388055,-0.0296593,0.9933771,-7.449286,-20.14162,-28.38096,996.9731
121.000020027,-0.06959355,0.02009048,0.4722014,-0.06753866,-0.03904872,0.9903933,-7.431021,-20.87996,-28.3749,996.9741
121.998781204,0.0540635,-0.2760904,0.2282794,-0.06323364,-0.03123274,0.9890953,-7.819553,-20.14487,-27.93686,996.9741
123.000013828,-0.007765027,-0.2168542,-0.07662313,-0.0621778,-0.03509996,0.9914002,-7.438564,-20.51137,-27.93537,996.9745
123.998774052,-0.007765027,-0.2760904,-0.1376036,-0.06861686,-0.03325467,0.9895597,-7.802877,-20.88263,-28.37337,996.9816
125.000007629,-2.913706,-0.2760904,41.14619,-0.05376716,-0.03691714,0.9937087,-12.14991,-23.06771,-28.33752,996.9851
125.998767853,-3.037363,-0.3945628,40.35345,-0.06361853,-0.0351625,0.9985692,-24.62933,-25.00124,-29.91439,996.9698
127.000001431,-1.05885,-0.2168542,14.13183,-0.06468574,-0.03318527,0.9881086,-32.08208,-22.09913,-31.17254,996.9716
127.998762608,0.115892,0.02009048,0.2282794,-0.06359842,-0.03756249,0.9951783,-32.84118,-21.42815,-30.79567,996.9772
128.999995708,-0.06959355,-0.03914569,-0.01564263,-0.06218744,-0.03508944,0.9894903,-32.82285,-22.10555,-30.34757,996.9733
129.998756886,0.0540635,-0.2760904,0.04533787,-0.06609912,-0.03565568,0.9933191,-32.45853,-21.73429,-29.90958,996.9697
130.999990463,-0.007765027,0.02009048,0.1063184,-0.06758273,-0.03709821,0.9875674,-32.45853,-21.73429,-29.90958,996.9628
131.998751640,-3.099191,-0.157618,37.79226,-0.05453767,-0.04953188,0.997758,-35.41714,-19.97028,-30.35471,996.9742
132.999985695,-3.408334,-0.2760904,42.42678,-0.05976089,-0.03168365,0.9928889,-39.67696,-10.46392,-29.15175,996.9659
133.998747349,-1.05885,-0.2760904,15.29046,-0.06065518,-0.04178526,0.9797978,-38.43269,-3.192729,-29.6597,996.97
134.999981403,-0.1932506,-0.09838186,-0.1376036,-0.0665969,-0.03375497,0.998135,-36.62043,-1.333028,-30.06185,996.9691
135.998743057,0.115892,-0.09838186,-0.2595646,-0.06809996,-0.03470065,0.9900057,-37.36573,-1.337782,-30.50133,996.9713
136.999977112,-0.007765027,-0.09838186,-0.07662313,-0.06907973,-0.0347213,0.9909653,-36.99846,-0.9676065,-29.24145,996.9612
137.998739719,-0.1932506,0.07932665,-0.07662313,-0.06610585,-0.03707514,0.9875603,-36.60994,-1.7027,-29.67949,996.9512
138.999974251,-0.4405647,-0.157618,26.93774,-0.06621265,-0.05747898,1.001956,-35.87535,-1.328191,-29.68559,996.9661
