Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.002472401,-2.78691,6.459572,-165.5302
1.001325130,-2.743409,6.445866,-165.2287
2.000178337,-2.818519,6.409843,-164.7702
3.001503944,-2.818597,6.495046,-147.9657
4.000357151,-2.257892,7.049906,-112.0178
5.001681328,-1.702661,7.124847,-80.5257
6.000534058,-1.786114,6.714124,-76.22348
7.001858711,-2.004925,6.44084,-76.38116
8.000711441,-2.161638,6.247508,-76.47122
9.002036095,-2.227865,6.130336,-76.49364
10.000887871,-2.674252,6.240277,-68.63953
11.002211571,-2.071371,7.149659,-8.954165
12.001063824,-1.71366,6.105459,12.13682
13.002387524,-1.705853,5.485334,10.88954
14.001238823,-1.975323,5.108132,11.08739
15.000090122,-2.087677,4.960059,10.95247
16.001413345,-2.134998,4.829548,10.94735
17.000264645,-2.578848,5.763284,60.83267
18.001587868,-1.708431,5.797497,94.24416
19.000438213,-1.707752,5.392132,99.13073
20.001761436,-1.935604,5.09826,99.2644
21.000612259,-2.075357,4.92801,99.24906
22.001935482,-2.165981,4.800764,99.21227
23.000785351,-2.788819,4.832185,105.9628
24.002108574,-1.91322,5.978681,167.4778
25.000958443,-1.575644,5.719316,-172.4575
25.999809265,-1.820503,5.279666,-172.895
27.001131535,-1.98241,5.030802,-172.9438
27.999981880,-2.116668,4.869096,-172.9767
29.001303673,-2.171254,4.770228,-173.012
30.000153542,-2.59461,5.477679,-138.9681
31.001475811,-1.565011,5.768806,-94.13725
32.000325203,-1.471662,5.45121,-84.394
33.001646996,-1.785417,5.117525,-84.67192
34.000496387,-1.962426,4.909297,-84.73744
35.001817703,-2.027614,4.797151,-84.72442
36.000667095,-2.34424,4.672061,-83.41311
37.001988411,-1.852793,5.877747,-23.00467
38.000836849,-1.470607,5.622499,2.773862
38.999686241,-1.72771,5.158644,2.659378
40.001006603,-1.93264,4.894878,2.547336
40.999855042,-2.043131,4.718765,2.524253
42.001175880,-2.131421,4.615177,2.50629
43.000024319,-2.568962,5.290326,37.1511
44.001345158,-1.641667,5.678653,81.38837
45.000193119,-1.582616,5.371037,91.25511
46.001513481,-1.870195,5.041602,91.17229
47.000361443,-2.039246,4.826107,91.15695
48.001681805,-2.129005,4.700569,91.13847
49.000529766,-2.450902,4.609186,92.08545
50.001850605,-1.916738,5.909307,152.125
51.000698566,-1.537278,5.694109,177.5136
51.999546528,-1.76188,5.216332,178.8562
53.000866413,-1.94696,4.938598,178.846
53.999714375,-2.072807,4.770517,178.8248
55.001034260,-2.146329,4.670406,178.798
55.999881268,-2.883107,4.891384,-162.6036
57.001201153,-1.63179,5.734425,-107.844
58.000048637,-1.491388,5.454842,-92.85392
59.001368523,-1.756896,5.089706,-93.57869
60.000215530,-1.944146,4.858439,-93.76522
61.001535416,-2.043967,4.735898,-93.8026
62.000381947,-2.103722,4.643301,-93.83407
63.001701355,-2.394414,5.560168,-43.39878
64.000548840,-1.600421,5.569341,-9.666588
64.999395370,-1.606819,5.189034,-4.651368
66.000714302,-1.846117,4.874717,-4.728893
66.999560833,-1.997043,4.687835,-4.761462
68.000880241,-2.084877,4.567886,-4.797316
68.999726772,-2.667354,4.566022,1.550508
70.001045227,-1.92881,5.72229,62.9035
70.999892235,-1.508361,5.493855,83.3513
72.001210690,-1.851038,5.03033,82.31077
73.000057220,-2.011151,4.790534,82.21957
74.001375675,-2.130841,4.655267,82.17719
75.000221729,-2.189658,4.559983,82.14977
76.001541138,-2.632186,5.294562,116.5567
77.000386715,-1.646157,5.631635,161.0117
78.001705647,-1.628073,5.310846,171.2512
79.000552177,-1.872706,4.980868,171.0921
79.999397755,-2.043577,4.792427,171.018
81.000716686,-2.144046,4.667539,170.9832
81.999562263,-2.425484,4.558893,171.7281
83.000881195,-1.951776,5.823159,-128.5605
83.999726772,-1.466777,5.607746,-102.2264
85.001044750,-1.719981,5.173352,-101.8399
85.999890804,-1.897655,4.888242,-101.9797
87.001208782,-2.007724,4.718026,-101.9954
88.000054836,-2.0856,4.621366,-102.0294
89.001372337,-2.826752,4.840153,-82.68626
90.000217915,-1.610487,5.608031,-27.96564
91.001535892,-1.50635,5.297529,-12.96139
92.000380993,-1.77476,4.938591,-13.65671
92.999226093,-1.945898,4.715919,-13.76734
94.000543594,-2.037897,4.583841,-13.82189
94.999388695,-2.13573,4.49683,-13.81685
96.000705719,-2.58397,5.457898,36.3317
96.999551296,-1.725583,5.556074,69.63143
98.000868320,-1.690285,5.200948,75.55545
98.999712944,-1.919239,4.887817,75.42269
100.001030445,-2.061377,4.711433,75.36244
100.999875069,-2.147472,4.599277,75.32977
102.001192093,-2.74674,4.590911,81.3337
103.000036716,-1.913431,5.803063,142.9166
104.001353741,-1.513508,5.534492,163.8087
105.000198364,-1.799423,5.106542,163.1255
105.999042988,-1.995161,4.854245,163.0477
107.000360489,-2.098516,4.704547,163.0312
107.999205112,-2.179063,4.612739,163.0064
109.000521660,-2.632063,5.274007,-163.4277
109.999366283,-1.600402,5.607514,-118.9004
111.000682831,-1.525122,5.296124,-109.4244
111.999526501,-1.813259,4.939849,-109.6768
113.000843048,-1.968942,4.761493,-109.7413
113.999687195,-2.072721,4.635185,-109.783
115.001003742,-2.37673,4.53774,-108.6953
115.999847412,-1.955336,5.753593,-48.42676
117.001163483,-1.397644,5.514067,-21.72603
118.000007629,-1.688223,5.03794,-20.98939
118.998851299,-1.888484,4.762074,-21.05375
120.000167370,-2.007692,4.59067,-21.08719
