Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.002472401,37.734,31.596
1.001325130,37.804,31.594
2.002651215,37.748,31.594
3.001503944,37.686,31.594
4.000357151,37.714,31.592
5.001681328,37.74,31.592
6.000534058,37.71,31.59
7.001858711,37.726,31.59
8.000711441,37.726,31.59
9.002036095,37.688,31.588
10.000887871,37.724,31.588
11.002211571,37.682,31.586
12.001063824,37.644,31.586
13.002387524,37.72,31.586
14.001238823,37.63,31.584
15.002562046,37.654,31.584
16.001413345,37.698,31.582
17.000264645,37.654,31.582
18.001587868,37.656,31.58
19.000438213,37.648,31.58
20.001761436,37.64,31.58
21.000612259,37.63,31.58
22.001935482,37.66,31.578
23.000785351,37.638,31.578
24.002108574,37.632,31.578
25.000958443,37.638,31.578
26.002281189,37.672,31.576
27.001131535,37.618,31.576
27.999981880,37.618,31.576
29.001303673,37.582,31.574
30.000153542,37.648,31.574
31.001475811,37.604,31.574
32.000325203,37.596,31.572
33.001646996,37.584,31.572
34.000496387,37.612,31.572
35.001817703,37.602,31.57
36.000667095,37.608,31.57
37.001988411,37.582,31.568
38.000836849,37.564,31.568
39.002158642,37.556,31.568
40.001006603,37.602,31.568
40.999855042,37.584,31.566
42.001175880,37.574,31.564
43.000024319,37.594,31.564
44.001345158,37.552,31.564
45.000193119,37.568,31.564
46.001513481,37.564,31.564
47.000361443,37.542,31.562
48.001681805,37.57,31.562
49.000529766,37.572,31.562
50.001850605,37.568,31.562
51.000698566,37.58,31.562
52.002018452,37.608,31.562
53.000866413,37.548,31.56
54.002186298,37.556,31.56
55.001034260,37.576,31.56
55.999881268,37.554,31.56
57.001201153,37.552,31.56
58.000048637,37.572,31.56
59.001368523,37.498,31.558
60.000215530,37.558,31.558
61.001535416,37.546,31.556
62.000381947,37.53,31.556
63.001701355,37.542,31.556
64.000548840,37.506,31.554
65.001867771,37.558,31.556
66.000714302,37.528,31.556
67.002033710,37.56,31.554
68.000880241,37.516,31.554
68.999726772,37.476,31.554
70.001045227,37.49,31.552
70.999892235,37.554,31.552
72.001210690,37.478,31.552
73.000057220,37.462,31.552
74.001375675,37.496,31.552
75.000221729,37.474,31.552
76.001541138,37.47,31.552
77.000386715,37.462,31.552
78.001705647,37.51,31.55
79.000552177,37.498,31.55
80.001870155,37.508,31.55
81.000716686,37.488,31.55
81.999562263,37.462,31.55
83.000881195,37.466,31.548
83.999726772,37.398,31.548
85.001044750,37.534,31.548
85.999890804,37.524,31.548
87.001208782,37.43,31.546
88.000054836,37.474,31.548
89.001372337,37.47,31.546
90.000217915,37.404,31.546
91.001535892,37.432,31.546
92.000380993,37.434,31.546
93.001698017,37.426,31.546
94.000543594,37.454,31.546
94.999388695,37.486,31.544
96.000705719,37.504,31.544
96.999551296,37.452,31.544
98.000868320,37.46,31.542
98.999712944,37.444,31.542
100.001030445,37.434,31.542
100.999875069,37.43,31.542
102.001192093,37.436,31.54
103.000036716,37.426,31.542
104.001353741,37.41,31.54
105.000198364,37.42,31.54
106.001515865,37.408,31.54
107.000360489,37.478,31.54
107.999205112,37.392,31.54
109.000521660,37.424,31.54
109.999366283,37.4,31.54
111.000682831,37.418,31.538
111.999526501,37.408,31.538
113.000843048,37.418,31.538
113.999687195,37.396,31.538
115.001003742,37.392,31.536
115.999847412,37.408,31.536
117.001163483,37.43,31.536
118.000007629,37.396,31.534
119.001323223,37.422,31.534
120.000167370,37.374,31.534
120.999010563,37.396,31.534
122.000326633,37.398,31.532
122.999169827,37.398,31.532
124.000485420,37.358,31.532
124.999329090,37.39,31.532
126.000644684,37.352,31.532
126.999487877,37.382,31.532
128.000803471,37.39,31.532
128.999646664,37.382,31.53
130.000962257,37.364,31.53
130.999805927,37.368,31.53
132.001121044,37.392,31.53
132.999964237,37.378,31.53
134.001279354,37.368,31.53
135.000122547,37.362,31.53
135.998965740,37.362,31.53
137.000281334,37.416,31.53
137.999123573,37.38,31.53
139.000439167,37.37,31.528
139.999282360,37.364,31.528
141.000597477,37.364,31.528
141.999440193,37.402,31.528
