Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.870748520,100.0117,15372286728.0913,4.17625,0.625,1
1.925594807,100.0117,15372286728.0913,4.175625,-0.625,1
2.980326653,100.0117,15372286728.0913,4.1775,0,1
3.859367847,100.0117,15372286728.0913,4.176875,0,1
4.914220333,100.0117,15372286728.0913,4.175625,-0.625,1
5.968892574,100.0117,15372286728.0913,4.175625,0.3125,1
6.848004341,100.0117,15372286728.0913,4.17625,0.9375,1
7.902725697,100.0117,15372286728.0913,4.174375,-1.25,1
8.957456589,100.0117,15372286728.0913,4.17625,-0.3125,1
9.836563587,100.0117,15372286728.0913,4.175,-0.3125,1
10.891251087,100.0117,15372286728.0913,4.175,1.25,1
11.946155071,100.0234,15372286728.0913,4.175625,-0.3125,1
13.000829697,100.0234,15372286728.0913,4.175625,-1.875,1
13.879830837,100.0234,15372286728.0913,4.17625,-0.3125,1
14.934719563,100.0234,15372286728.0913,4.178125,0,1
15.989422798,100.0234,15372286728.0913,4.17625,-4.375,1
16.868500710,100.0234,15372286728.0913,4.174375,0,1
17.923159122,100.0234,15372286728.0913,4.175625,-0.3125,1
18.977954864,100.0234,15372286728.0913,4.175,0.3125,1
19.856996059,100.0234,15372286728.0913,4.175625,-1.25,1
20.911777973,100.0234,15372286728.0913,4.175625,-0.9375,1
21.966652393,100.0234,15372286728.0913,4.175,-1.25,1
22.845530987,100.0234,15372286728.0913,4.174375,-0.625,1
23.900305748,100.0234,15372286728.0913,4.176875,0.625,1
24.955243111,100.0234,15372286728.0913,4.17625,1.25,1
25.834125519,100.0234,15372286728.0913,4.175,-1.5625,1
26.889013767,100.0234,15372286728.0913,4.175,-0.625,1
27.943659782,100.0234,15372286728.0913,4.17625,0,1
28.998451710,100.0234,15372286728.0913,4.175,0,1
29.877495289,100.0234,15372286728.0913,4.175625,0.625,1
30.932220936,100.0234,15372286728.0913,4.17625,0.625,1
31.987130165,100.0234,15372286728.0913,4.174375,0.3125,1
32.866009235,100.0234,15372286728.0913,4.175625,-0.9375,1
33.920909882,100.0234,15372286728.0913,4.175625,-0.9375,1
34.975602627,100.0234,15372286728.0913,4.175625,0,1
35.854578972,100.0234,15372286728.0913,4.174375,-2.1875,1
36.909519672,100.0234,15372286728.0913,4.175,0,1
37.964164734,100.0234,15372286728.0913,4.17625,-1.25,1
38.843270302,100.0234,15372286728.0913,4.175625,-0.3125,1
39.897966862,100.0234,15372286728.0913,4.174375,0,1
40.952750206,100.0234,15372286728.0913,4.175625,0,1
41.831712246,100.0234,15372286728.0913,4.175625,-1.25,1
42.886540890,100.0234,15372286728.0913,4.175,-0.625,1
43.941409588,100.0234,15372286728.0913,4.174375,0.625,1
44.996094227,100.0234,15372286728.0913,4.175625,0,1
45.875064373,100.0234,15372286728.0913,4.176875,-0.3125,1
46.929968834,100.0234,15372286728.0913,4.175625,0,1
47.984673500,100.0234,15372286728.0913,4.17625,0.9375,1
48.863768101,100.0234,15372286728.0913,4.174375,-0.3125,1
49.918451786,100.0234,15372286728.0913,4.17625,0.625,1
50.973227501,100.0234,15372286728.0913,4.175625,-0.3125,1
51.852260113,100.0234,15372286728.0913,4.175625,0.625,1
52.907005310,100.0234,15372286728.0913,4.175,0.625,1
53.961874008,100.0234,15372286728.0913,4.175625,-0.3125,1
54.840805531,100.0234,15372286728.0913,4.17625,0.9375,1
55.895654201,100.0234,15372286728.0913,4.174375,-1.25,1
56.950396538,100.0234,15372286728.0913,4.175625,1.5625,1
57.829350948,100.0234,15372286728.0913,4.175625,0.3125,1
58.884286880,100.0234,15372286728.0913,4.175625,1.5625,1
59.938905716,100.0234,15372286728.0913,4.175625,0.625,1
60.993733406,100.0234,15372286728.0913,4.17625,0.9375,1
61.872742653,100.0234,15372286728.0913,4.17375,0.625,1
62.927491665,100.0234,15372286728.0913,4.173125,1.25,1
63.982362747,100.0234,15372286728.0913,4.17375,0.3125,1
64.861264229,100.0234,15372286728.0913,4.174375,1.5625,1
65.916153908,100.0234,15372286728.0913,4.174375,0,1
66.970844746,100.0234,15372286728.0913,4.173125,0,1
67.849865913,100.0234,15372286728.0913,4.174375,1.5625,1
68.904736042,100.0234,15372286728.0913,4.174375,1.5625,1
69.959414482,100.0234,15372286728.0913,4.17375,-1.5625,1
70.838514328,100.0234,15372286728.0913,4.173125,0.3125,1
71.893198490,100.0234,15372286728.0913,4.174375,0.625,1
72.947968483,100.0234,15372286728.0913,4.175625,-0.3125,1
74.002891541,100.0234,15372286728.0913,4.17375,-0.625,1
74.881766319,100.0234,15372286728.0913,4.175,0.625,1
75.936658382,100.0234,15372286728.0913,4.174375,0,1
76.991334438,100.0234,15372286728.0913,4.174375,0,1
77.870322704,100.0234,15372286728.0913,4.175625,0,1
78.925241470,100.0234,15372286728.0913,4.17375,0.625,1
79.979942322,100.0234,15372286728.0913,4.175625,-1.5625,1
80.859037399,100.0234,15372286728.0913,4.174375,-0.3125,1
81.913691998,100.0234,15372286728.0913,4.17375,0.9375,1
82.968512535,100.0234,15372286728.0913,4.17375,1.25,1
83.847470760,100.0234,15372286728.0913,4.174375,0.625,1
84.902270794,100.0234,15372286728.0913,4.174375,-0.9375,1
85.957153320,100.0234,15372286728.0913,4.1775,-0.3125,1
86.836073875,100.0234,15372286728.0913,4.175,-0.3125,1
87.890875816,100.0234,15372286728.0913,4.174375,0.625,1
88.945638657,100.0234,15372286728.0913,4.175625,-0.3125,1
90.000386238,100.0234,15372286728.0913,4.175,-0.625,1
90.879528522,100.0234,15372286728.0913,4.174375,-0.3125,1
91.934195042,100.0234,15372286728.0913,4.175625,-0.3125,1
92.988961697,100.0234,15372286728.0913,4.173125,1.5625,1
93.867954254,100.0234,15372286728.0913,4.175625,0.3125,1
94.922734737,100.0234,15372286728.0913,4.174375,-0.3125,1
95.977624893,100.0234,15372286728.0913,4.174375,-0.625,1
96.856505871,100.0234,15372286728.0913,4.174375,0,1
97.911426067,100.0234,15372286728.0913,4.17375,-0.625,1
98.966156960,100.0234,15372286728.0913,4.175,0.9375,1
99.845093250,100.0234,15372286728.0913,4.175,0,1
100.899968624,100.0234,15372286728.0913,4.175,1.25,1
101.954703331,100.0234,15372286728.0913,4.17375,0.9375,1
102.833776474,100.0234,15372286728.0913,4.174375,-0.3125,1
103.888471127,100.0234,15372286728.0913,4.17375,-0.3125,1
104.943250656,100.0234,15372286728.0913,4.174375,-1.25,1
105.998132706,100.0234,15372286728.0913,4.175,0.625,1
106.877009869,100.0234,15372286728.0913,4.174375,0.3125,1
107.931924820,100.0234,15372286728.0913,4.175625,-0.625,1
108.986607075,100.0234,15372286728.0913,4.174375,-0.625,1
109.865574360,100.0234,15372286728.0913,4.17375,0,1
110.920477390,100.0234,15372286728.0913,4.174375,-0.9375,1
111.975196362,100.0234,15372286728.0913,4.175,0.9375,1
112.854275227,100.0234,15372286728.0913,4.174375,0.9375,1
113.908981323,100.0234,15372286728.0913,4.17625,-0.625,1
114.963717937,100.0234,15372286728.0913,4.173125,-0.9375,1
115.842750549,100.0234,15372286728.0913,4.175,0,1
116.897521496,100.0234,15372286728.0913,4.174375,0.3125,1
117.952430725,100.0234,15372286728.0913,4.17375,-0.3125,1
118.831305027,100.0234,15372286728.0913,4.17375,0.3125,1
119.886069298,100.0234,15372286728.0913,4.175625,0.625,1
120.940981865,100.0234,15372286728.0913,4.174375,1.875,1
121.995678425,100.0234,15372286728.0913,4.17375,-1.5625,1
122.874797821,100.0234,15372286728.0913,4.17375,-1.25,1
123.929439068,100.0234,15372286728.0913,4.174375,-0.3125,1
124.984218597,100.0234,15372286728.0913,4.17375,0,1
125.863243103,100.0234,15372286728.0913,4.175,0,1
126.918004990,100.0234,15372286728.0913,4.173125,-1.25,1
127.972927570,100.0234,15372286728.0913,4.174375,0.9375,1
128.851781368,100.0234,15372286728.0913,4.17375,-1.25,1
129.906574726,100.0234,15372286728.0913,4.173125,2.5,1
