Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT),,,,,,,,
102.0011921,42.89462,1.003448,48.86083,,,,,,,,
103.0000367,29.66068,0.9991419,40.44782,,,,,,,,
103.9988818,2.240722,0.9914108,35.73568,,,,,,,,
105.0001984,0.3427725,0.9934256,35.33211,,,,,,,,
105.999043,0.1508727,0.9917998,35.73568,,,,,,,,
107.0003605,0.1980424,0.9934379,35.68006,,,,,,,,
107.9992051,0.158382,0.9971352,35.63891,,,,,,,,
109.0005217,77.04222,0.9894943,30.25967,,,,,,,,
109.9993663,25.68023,0.9643368,27.2678,,,,,,,,
111.0006828,2.426679,0.9944348,27.66811,,,,,,,,
111.9995265,0.4771394,0.9916619,28.07353,,,,,,,,
113.000843,0.1260138,1.0033,27.85811,,,,,,,,
113.9996872,0.2068676,0.9916105,27.23656,,,,,,,,
115.0010037,16.36095,0.9986432,29.78737,,,,,,,,
115.9998474,44.83818,0.9852694,38.32002,,,,,,,,
116.9986916,10.00587,0.9840994,43.39391,,,,,,,,
118.0000076,0.5854246,0.9935933,43.53119,,,,,,,,
118.9988513,0.1652644,0.995369,44.20977,,,,,,,,
120.0001674,0.08485332,0.9904186,43.32369,,,,,,,,
120.9990106,0.08877999,0.9992797,44.00247,,,,,,,,
122.0003266,71.38785,0.9922819,45.36457,,,,,,,,
122.9991698,24.76768,0.9974557,50.18034,,,,,,,,
124.0004854,0.5672637,0.9921374,50.02919,,,,,,,,
124.9993291,0.310253,0.986678,50.39156,,,,,,,,
126.0006447,0.1215113,0.9956177,50.02717,,,,,,,,
126.9994879,0.231889,0.9915447,50.17356,,,,,,,,
128.0008035,0.6632002,0.9968737,49.40496,,,,,,,,
128.9996467,76.60244,1.000816,45.99974,,,,,,,,
129.9984899,24.75422,0.9833701,39.12917,,,,,,,,
130.9998059,0.3873157,0.9963914,37.99856,,,,,,,,
131.9986491,0.3130803,0.98527,37.36778,,,,,,,,
132.9999642,0.111163,0.9917092,37.31227,,,,,,,,
133.9988074,0.2157901,0.9932082,37.7589,,,,,,,,
135.0001225,0.09990136,0.9911731,37.93246,,,,,,,,
135.9989657,0.2045627,0.994673,38.38566,,,,,,,,
137.0002813,0.08873615,0.9907587,37.70031,,,,,,,,
137.9991236,2.68458,0.9893112,37.94028,,,,,,,,
139.0004392,3.654699,1.046648,37.57612,,,,,,,,
139.9992824,1.218077,0.9888549,37.64526,,,,,,,,
141.0005975,1.06391,0.9962667,37.74451,,,,,,,,
141.9994402,0.6462827,0.9900181,37.2269,,,,,,,,
