Time (s),X (g),Y (g),Z (g)
0.002472401,0.005249799,-0.001601306,0.0004177329
1.001325130,0.01005179,-0.01163005,0.003175062
2.002651215,0.01013858,-0.00859424,-0.002447426
3.001503944,-0.02603089,-0.02153833,-0.004559868
4.000357151,-0.001102038,-0.02772329,0.007487555
5.001681328,0.05001635,0.003304168,0.00467433
6.000534058,-0.003263392,-0.01309424,0.003992814
7.001858711,-0.001842827,-0.0124509,0.008332839
8.000711441,-0.0009387746,0.004450718,-0.008327477
9.002036095,0.004675563,0.001657782,-0.002409728
10.000887871,-0.05000984,-0.03849045,-0.008119294
11.002211571,0.03229027,0.03873713,-0.002460336
12.001063824,0.02701231,-0.04368144,-0.008783551
13.002387524,0.009542962,-0.00624435,-0.001116548
14.001238823,0.01133216,-0.004890197,9.283685E-05
15.000090122,0.0007450557,-0.006724057,-0.003376263
16.001413345,0.005161336,-0.01069609,0.0004813578
17.000264645,0.04276122,0.03302967,-0.003407051
18.001587868,0.01370957,0.02355077,0.001767191
19.000438213,0.01887632,0.01691633,-0.001204485
20.001761436,0.008133312,0.01262806,0.0009704051
21.000612259,0.002795603,0.007939637,-0.007060387
22.001935482,0.003623718,0.002120674,-0.004306483
23.000785351,0.1049948,0.06533383,-0.03264314
24.002108574,-0.0366763,0.01113017,0.00406132
25.000958443,-0.01197773,-0.0190286,-0.005893086
26.002281189,-0.01196701,0.006910447,-0.002147671
27.001131535,-0.006871459,0.006268028,-0.003912269
27.999981880,-0.007441926,0.0008278663,-0.002396608
29.001303673,-0.005122008,0.004438067,0.002067461
30.000153542,-0.0431866,-0.03912376,0.01447605
31.001475811,8.379621E-05,-0.00720505,0.04609855
32.000325203,-0.01108372,-0.01434859,-0.004571533
33.001646996,-0.008669851,-0.008131736,-0.001083137
34.000496387,-0.005638874,-0.002054534,0.002483376
35.001817703,-0.005667908,-0.002291615,-0.006257165
36.000667095,-0.0279087,-0.0236281,-0.005983998
37.001988411,0.03614468,0.003651024,-0.001390078
38.000836849,0.01654319,-0.002574351,-0.009942751
39.002158642,0.01516998,-0.005766707,-0.005137653
40.001006603,0.003252938,-0.004246249,0.0008629389
40.999855042,0.004949017,-0.001716697,0.0004368304
42.001175880,0.004182879,-0.003615292,-0.0005295494
43.000024319,0.04179056,0.03025135,-0.006913741
44.001345158,0.01292038,0.02017973,0.003008781
45.000193119,0.01639447,0.01657843,-0.00587518
46.001513481,0.005946915,0.007577739,-0.005986714
47.000361443,0.0009290762,0.008011019,-0.002080703
48.001681805,-0.0003134889,-0.0001850589,-0.002966271
49.000529766,0.062434,0.01027609,-0.01035621
50.001850605,-0.03460019,0.01827603,0.001450945
51.000698566,-0.01522521,0.01411398,-0.01111373
52.002018452,-0.0138926,0.01154252,-0.004911946
53.000866413,-0.009377606,0.005316057,-0.002499107
53.999714375,-0.003104682,0.003059261,-0.001689401
55.001034260,-0.002275641,0.003725082,-0.00268102
55.999881268,-0.0518046,-0.001328876,0.0002042712
57.001201153,-0.01657799,-0.02627879,-0.01257919
58.000048637,-0.007804444,-0.01299868,0.002064684
59.001368523,-0.006807249,-0.002069994,-0.004521794
60.000215530,-0.003060053,-0.005731606,0.001481813
61.001535416,-0.006169967,-0.002345963,-0.005475522
62.000381947,-0.001144514,-0.003462737,-2.83768E-05
63.001701355,0.01253541,-0.04313996,0.02078109
64.000548840,0.01759157,-0.006571327,-0.01020941
65.001867771,0.01263235,-0.0172258,-0.0006753445
66.000714302,0.007841215,-0.006983357,-0.001559898
66.999560833,0.007629833,-0.002952494,-0.00416141
68.000880241,0.001616951,-0.0001300939,-0.006658501
68.999726772,-0.01778748,-0.09145764,0.006891292
70.001045227,0.02696224,0.02211961,-0.003082962
70.999892235,-0.0116086,0.02401048,-0.00847041
72.001210690,0.004384653,0.01195741,0.002533632
73.000057220,0.006502766,0.003705847,-0.001282887
74.001375675,0.002859124,0.008091578,0.002444592
75.000221729,-0.0007231975,0.006704584,0.0005289185
76.001541138,-0.02273419,0.04831987,-0.00179045
77.000386715,-0.02610933,0.01413262,-0.003580947
78.001705647,-0.01711688,0.01332572,-0.002443592
79.000552177,-0.01143192,0.009545086,0.003457973
79.999397755,0.001086107,0.005974202,-0.00465717
81.000716686,-0.005602947,0.002087584,-0.001129243
81.999562263,-0.01166417,0.03366077,-0.006630276
83.000881195,-0.007881233,-0.03111512,0.008427701
83.999726772,0.000928309,-0.01702404,0.002866039
85.001044750,-0.009060287,-0.00600188,-0.001080321
85.999890804,-0.001694233,-0.01029239,0.002491532
87.001208782,-0.005601874,-0.004741321,-0.0005688553
88.000054836,-0.006476511,0.000943782,0.001723091
89.001372337,0.006393169,-0.04295895,-0.01785601
90.000217915,0.01784457,-0.01244652,-0.0004727771
91.001535892,0.01425269,-0.01518885,-0.0004364817
92.000380993,0.008246916,-0.01025145,-0.002136138
93.001698017,0.001816117,-0.005601819,0.002984465
94.000543594,0.005990425,-0.002659317,-0.00514071
94.999388695,0.002907844,-0.006845044,-0.01211688
96.000705719,0.03514863,0.04015339,-0.009050729
96.999551296,0.01771243,0.02668268,-0.005270892
98.000868320,0.01588788,0.006076715,-0.000239878
98.999712944,0.006279668,0.005505007,-0.004259956
100.001030445,0.006433661,0.004330792,-0.004836494
100.999875069,0.001878169,0.003138071,0.002782019
102.001192093,0.1024301,0.01056148,0.004807395
103.000036716,-0.01527909,0.03281758,0.005175048
104.001353741,-0.02759566,-0.02309402,-0.00873388
105.000198364,-0.007507932,0.006744884,0.0001032862
106.001515865,-0.006182398,0.005232233,0.00231494
107.000360489,-0.001832132,0.003156711,0.0001611188
107.999205112,-0.002199775,0.002673852,0.003834317
109.000521660,-0.04846202,-0.01848933,-0.005105087
109.999366283,-0.00968405,-0.0009051983,-0.0287905
111.000682831,-0.0182746,-0.007441709,0.0009604422
111.999526501,-0.00668122,-0.008225849,-0.001653652
113.000843048,-0.006171935,-0.004168555,0.009935479
113.999687195,-0.002844472,-0.005044509,-0.001663723
115.001003742,-0.03966323,0.008948668,0.004511636
115.999847412,0.01511025,-0.03313243,-0.008627175
117.001163483,0.01614505,0.008727264,-0.01019288
118.000007629,0.00837422,-0.01127429,0.0002211276
119.001323223,0.001109391,-0.008952159,0.00106562
120.000167370,0.0007585299,-0.004667671,-0.002842272
120.999010563,0.003113899,-0.0002256361,0.005966307
122.000326633,0.04903919,-0.003990634,-0.002211401
122.999169827,0.02264733,0.01630876,0.003762223
124.000485420,0.01358762,0.01207024,-0.001293077
124.999329090,0.01287228,0.008743688,-0.006670659
126.000644684,0.005993383,0.003041709,0.002310228
126.999487877,0.002315708,-0.00128854,-0.0017156
128.000803471,0.01156937,-0.004001697,0.003505799
128.999646664,-0.05736192,0.04522669,0.004829138
130.000962257,-0.01906286,0.0247587,-0.0002091294
130.999805927,-0.01019351,0.01448612,0.002943273
132.001121044,-0.003279059,0.01160252,-3.493894E-05
132.999964237,-0.003158804,0.008394413,-0.001589736
133.998807430,-0.001698475,0.003747147,-6.824333E-05
135.000122547,-0.00393037,-0.002788246,-0.002093004
135.998965740,-3.770683E-05,0.003304017,0.001389662
137.000281334,-0.0006189269,0.001547184,-0.002493713
137.999123573,0.002451288,0.002033286,-0.003937738
139.000439167,0.002811556,-0.008858579,0.05297326
139.999282360,-0.004495139,0.0003352907,-0.004399853
141.000597477,0.00246526,0.006390779,0.002948584
141.999440193,-0.001628497,0.0009540623,-0.003236288
