Time (s),X (g),Y (g),Z (g)
120.999654770,-0.002440147,-0.002773912,-0.005005121
122.000822067,0.002777519,-0.005543246,0.0006329417
122.999516487,-0.0009854785,-0.001226377,0.0007314086
124.000683784,-0.0006892658,0.001446047,0.003644884
124.999379158,-0.002046717,-0.005446746,-0.018843
126.000545502,0.02726375,0.01152832,-0.00302738
126.999240875,0.03105589,-0.01141542,-0.004617155
128.000408649,0.01515822,-0.004339981,0.0002036095
128.999104023,0.01000093,0.002765426,0.002213538
130.000271320,0.01001353,0.003097059,-0.00210309
130.998966217,0.004037412,0.002610834,0.003637016
132.000134468,-0.0002477267,0.002476529,0.002219439
132.998830318,0.000580397,0.0002776925,0.003124535
133.999997616,-0.03652846,-0.00485783,-0.003285229
135.001165390,-0.002195129,0.004467533,0.005667984
135.999861240,-0.01301347,-0.01314628,-0.0004911423
137.001029015,-0.005778417,-0.01268736,0.0006995201
137.999725342,-0.002727496,-0.003161839,0.004126847
139.000893593,-0.002495779,-0.000514131,-0.006370842
139.999589443,-0.003036652,-0.001514043,0.00314182
141.000758171,0.00435168,0.008342046,0.007673502
141.999454975,0.02295948,-0.01436301,-0.0006810427
143.000622749,0.01650202,-0.04072713,-0.00170505
143.999319553,0.01572145,0.001455769,-0.001076639
145.000487804,0.009496451,-0.00037181,0.003599524
145.999184608,0.005812497,0.0003369721,-0.00404197
147.000353813,0.0007349539,-0.0002803188,-0.004998267
147.999050140,-0.0006243752,-0.0009266213,-0.00453192
149.000219822,-0.01835865,0.001374485,-0.005290508
149.998916149,-0.002082985,-0.003009381,0.008144617
151.000085354,-0.01567151,-0.01294624,-0.003522217
151.998782635,-0.008473442,-0.007039768,0.003128648
152.999951839,-0.005588501,-0.006381459,-0.003607273
153.998649120,-0.006041732,-0.05739532,0.008225083
154.999818325,-0.009707624,-0.003008529,-0.003475904
156.000987530,-0.005208698,-0.006299833,-0.001688302
156.999685764,-0.00567143,-0.005413659,-0.003605366
158.000854969,-0.0009714784,-0.004178329,-0.005049407
158.999552727,0.002187987,-0.001210054,0.0007169843
160.000722885,-0.009905966,-0.009676572,0.0006245375
160.999420643,0.01013293,-0.0007516555,0.0007010698
162.000590324,0.00713017,0.001583491,0.001690865
162.999288559,0.00618301,-0.004480725,-0.0008204579
164.000458241,0.002108754,0.0001402367,-0.0007082224
164.999156952,0.00131188,0.005921852,-0.002409279
166.000326633,-0.001490153,0.002909568,0.00143832
166.999025345,-0.004439343,4.540943E-05,-0.0001167059
168.000195980,-0.004181314,4.469045E-05,0.0008048415
168.998894691,0.01055973,0.009683648,-0.01905173
170.000065327,0.0331114,-0.00971563,-0.01020139
170.998763561,0.01973827,-0.00472864,0.004600406
171.999934196,0.01270784,0.002485747,-0.001579463
172.998632908,0.007530182,-0.005576545,0.002051055
173.999804020,0.004393296,0.002951947,-0.004469454
174.998502731,0.003449215,0.001804512,-0.005927265
175.999673843,0.002570375,0.0005842699,-0.00213021
176.998372555,0.02497185,-0.02327288,-0.01133037
177.999543667,-0.03269194,-0.00664157,0.002960861
179.000715256,-0.01309962,-0.004964035,-0.007861078
179.999414444,-0.01077027,-0.01935397,-0.00115782
181.000585556,-0.006096791,-0.01118143,-0.0007256866
181.999284744,-0.004069381,-0.005536247,0.002164662
183.000456810,-0.00159597,-0.004461273,-0.006938577
183.999155998,-0.001196134,-0.0005807858,-0.0006742477
