Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
141.000758171,41.92381,1.00087,21.55569
141.999454975,38.0122,0.9925345,18.58515
143.000622749,4.369979,0.9924497,17.09467
143.999319553,0.2856037,0.9921445,16.90146
145.000487804,0.2033744,0.9968747,16.57181
145.999184608,0.2625176,0.9892305,16.68825
147.000353813,0.1222308,0.9882635,16.84836
147.999050140,0.1965031,0.9887339,17.12503
149.000219822,40.13478,0.9878466,17.66253
149.998916149,16.3535,1.001362,19.42303
151.000085354,1.867165,0.9896878,19.84838
151.998782635,0.3647012,0.9963758,20.32008
152.999951839,0.2791536,0.9896793,20.04684
153.998649120,9.760462,1.003774,20.43209
154.999818325,9.927871,0.9897115,21.27225
155.998515606,0.3284018,0.9873006,21.56105
156.999685764,0.188889,0.989677,21.03385
157.998383045,0.3086671,0.988281,21.5911
158.999552727,0.1068936,0.9940068,21.04606
159.998250484,30.45219,0.9951648,20.27393
160.999420643,1.117995,0.9939769,19.64909
162.000590324,0.2985436,0.9949539,19.75895
162.999288559,0.1884189,0.9925411,19.21624
164.000458241,0.156129,0.9925572,19.15468
164.999156952,28.42051,0.9908311,21.27266
166.000326633,4.383045,0.9946618,22.30592
166.999025345,0.1098716,0.9930919,22.01499
168.000195980,0.1737227,0.9940248,22.07831
168.998894691,49.42261,0.9741466,19.11679
170.000065327,27.48859,0.9830266,17.23963
170.998763561,0.9888476,0.9978082,16.75829
171.999934196,0.4142798,0.9916545,16.43347
172.998632908,0.1213916,0.9954011,16.83014
173.999804020,0.1098716,0.9887719,16.76252
174.998502731,0.2974052,0.987326,16.83408
175.999673843,0.2410668,0.991133,17.05812
176.998372555,6.3371,0.9829819,16.75628
177.999543667,53.52972,0.9960557,19.22619
178.998243332,17.49411,0.9961948,21.5555
179.999414444,2.214676,0.9920678,22.07831
180.998113632,0.2468868,0.9901823,22.11831
181.999284744,0.1884078,0.9954334,21.78434
182.997984886,0.1549805,0.9882786,21.86691
183.999155998,0.1730969,0.9925783,21.72652
185.000328064,15.15578,0.9963854,21.49079
185.999027252,53.03372,0.9802763,18.77049
187.000198841,15.09197,0.9911436,16.38583
187.998898983,0.3645539,0.9920846,16.52822
189.000071049,0.2544785,0.994,16.43696
189.998770714,0.3566567,0.9830078,17.28094
190.999942780,45.80796,0.9937129,16.79971
191.998642445,46.94757,0.9769055,19.7689
192.999815464,13.34796,0.9959368,22.4703
193.998515129,0.298243,0.9911342,21.52057
194.999687672,0.1900529,0.9935012,22.28922
195.998388290,44.90562,0.9820002,21.97245
196.999560356,47.89519,0.9921082,17.80096
197.998260975,14.39931,0.9892721,16.54893
198.999433517,0.1378112,0.9877821,16.18269
199.998134136,0.1174588,1.0026,17.28094
200.999306679,0.2750022,0.9921065,16.52822
201.998007774,0.2271207,1.00355,16.5344
202.999180317,0.2423278,0.9925507,17.05812
203.997881889,0.3059076,0.9882857,16.83408
204.999054909,0.1923215,0.9887441,17.40106
