Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
46.001333714,-0.09785013,0.112804,0.09054325,0.006912868,-0.01368813,0.9890904,16.16594,9.608679,-14.05642,1007.219
47.000021935,0.02580692,-0.0649045,-0.09239825,0.01034138,-0.01171275,0.9915002,16.16594,9.608679,-14.05642,1007.227
48.001182556,-0.09767227,-0.1240043,-0.1532602,0.00497486,-0.01327732,0.996749,15.79272,9.60651,-14.43422,1007.213
48.999871254,1.016722,0.2908987,-2.649635,0.009104555,0.006620135,0.9976039,15.36759,11.75734,-14.45033,1007.21
50.001032352,0.1511223,0.05395406,0.0944871,0.003953947,-0.01277743,0.9910339,15.75771,11.02167,-14.44581,1007.213
50.999721050,0.2129509,-0.1829906,-0.1494349,0.00293012,-0.01084756,0.9891675,14.99574,11.75467,-14.44879,1007.221
52.000882149,0.02746526,0.1724264,0.1554676,0.0058567,-0.008869342,0.9896698,15.37809,11.38767,-14.06797,1007.227
52.999571800,0.707579,0.05395406,-0.5762984,0.007335825,-0.008373123,0.9915823,15.38722,11.0185,-14.06494,1007.214
54.000733376,0.8312361,-1.071533,-49.6656,-0.00512865,-0.0003085639,0.9855992,8.597738,17.18688,-15.28966,1007.215
54.999422550,-0.2198488,-0.1829906,-21.67555,0.01875287,-0.01590885,0.9865982,-2.431488,19.62976,-14.44308,1007.219
56.000584126,1.07855,0.05395406,2.411746,0.009447996,-0.01753492,0.9918658,-6.107506,17.81932,-14.85563,1007.227
56.999273777,-0.03436326,-0.1237545,-0.0884544,0.006895157,-0.01129079,0.9929588,-6.477774,17.81607,-14.41154,1007.225
58.000435829,0.02746526,0.2908987,0.0335066,0.002437994,-0.01133104,0.9877278,-5.73406,17.82141,-14.41461,1007.228
59.001598358,0.08929379,-0.06451828,0.0335066,0.008790677,-0.007374801,0.9901624,-5.735649,17.82199,-14.85717,1007.22
60.000288486,0.707579,0.1724264,11.07098,0.00947465,0.01151726,0.9881495,-5.368105,17.82624,-16.05993,1007.211
61.001451015,-0.09619179,1.238678,41.92711,0.003450669,-0.008968316,1.000663,4.895487,19.0065,-15.28966,1007.221
62.000140667,-0.3435059,0.6463158,38.39024,-0.007347462,-0.01202639,0.9982693,13.84982,12.85526,-15.27514,1007.215
63.001303196,1.325864,0.7055519,6.863322,0.002798474,-0.0359803,0.9838897,17.71729,7.035151,-14.0414,1007.205
63.999993801,-0.1580203,-0.005282109,0.0335066,0.007845328,-0.009335426,0.9920381,17.35456,6.663309,-14.03683,1007.205
65.001157284,-0.2198488,-0.1237545,-0.0884544,0.008411613,-0.01416454,0.9919385,17.3637,6.294138,-14.03381,1007.214
65.999847889,-0.1580203,0.2908987,-0.1494349,0.00338043,-0.007940425,0.989701,16.61085,6.657972,-14.03376,1007.205
67.001010418,0.707579,0.9424967,42.04907,-0.0005210955,-0.009944551,0.9911133,16.72963,1.919686,-13.55238,1007.201
67.999701500,-0.2816774,0.9424967,36.86573,0.002128266,-0.0234281,0.9870096,11.42211,-6.48829,-13.08167,1007.196
69.000864983,0.2747794,0.1131902,8.143913,0.004079899,-0.02147578,0.9894264,4.871493,-9.857924,-13.40635,1007.195
69.999556065,0.3366079,0.1131902,0.0944871,0.009885583,-0.01271149,0.9957804,4.505658,-10.16765,-13.84484,1007.194
71.000719547,0.1511223,0.2316626,0.0335066,0.009420641,-0.01512705,0.9938242,4.862361,-9.488752,-13.40937,1007.203
71.999410629,-0.09619179,-0.06451828,-0.1494349,0.00597716,-0.01565929,0.9928761,4.490504,-9.491421,-13.40784,1007.213
73.000574589,-0.2198488,-0.1829906,-0.0884544,0.007953568,-0.01563643,0.994299,4.516378,-10.53741,-13.39927,1007.211
73.999265671,-1.394591,-1.012297,-49.84854,-0.001963561,-0.0119076,0.9920363,9.951588,-7.236808,-13.4488,1007.211
75.000429630,0.6457505,-0.4199353,-23.56595,0.004694135,-0.002983181,0.9721249,17.10149,1.922355,-13.55392,1007.219
75.999121666,0.2129509,-0.4791715,-9.784354,0.006762812,-0.004963469,0.9859232,17.3637,6.294138,-14.03381,1007.224
77.000285625,0.02746526,0.1131902,0.0944871,0.009298107,-0.009286042,0.9872563,17.34543,7.032482,-14.03986,1007.228
