Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-1.845235,7.287073,-115.5915
1.001310825,-1.829076,7.2183,-116.4519
2.000148773,-2.022316,7.253598,-115.5001
3.001459122,-2.361136,7.056926,-115.182
4.000297070,-2.401971,7.410332,-73.2427
5.001606941,-1.682089,7.603162,-21.97596
6.000444889,-1.660968,6.641988,-21.37361
6.999282837,-2.005822,6.323844,-21.28761
8.000592709,-2.139103,6.161429,-21.41816
8.999430180,-2.224387,6.057153,-21.44033
10.000740051,-2.843368,6.720379,13.75464
10.999577999,-1.119941,7.112571,113.1007
12.000887871,-0.9996743,6.57337,150.3449
12.999724865,-1.358924,6.295586,154.9573
14.001034737,-1.758341,6.146128,155.1969
14.999872208,-2.014855,6.034093,155.2133
16.001182079,-2.164673,5.96834,155.2073
17.000019550,-2.989601,6.230644,172.4355
18.001328468,-1.526216,7.009444,-89.69031
19.000165939,-0.7021943,6.362049,-38.03786
20.001475811,-1.201143,6.221105,-25.15727
21.000312328,-1.641124,6.033746,-25.52695
21.999149799,-1.87457,5.927392,-25.70985
23.000458717,-2.018805,5.827489,-25.68498
23.999296188,-2.251405,5.756139,-25.13522
25.000605583,-2.516833,6.985369,50.02705
25.999442101,-0.8972656,6.64959,129.9381
27.000751019,-1.088633,6.360434,152.6427
27.999588490,-1.544056,6.09583,152.3592
29.000897884,-1.865212,5.968698,152.2845
29.999734879,-2.078094,5.879576,152.2626
31.001043320,-2.198629,5.832055,152.2594
31.999880791,-2.873783,6.61722,-172.8396
33.001189232,-1.01135,6.891194,-73.28574
34.000025749,-0.9091178,6.290245,-35.91714
35.001335144,-1.209267,6.043796,-29.63581
36.000171661,-1.634707,5.865606,-29.65421
36.999008179,-1.89844,5.76407,-29.67068
38.000317097,-2.04098,5.692281,-29.69445
38.999152660,-2.720265,5.736193,-24.19714
40.000462055,-1.972477,6.870353,66.95075
40.999298096,-0.7928456,6.485084,132.1486
42.000606537,-1.095563,6.245036,150.2251
42.999443054,-1.582038,6.025597,150.0059
44.000751972,-1.85986,5.892711,149.9729
44.999587536,-2.051472,5.800154,149.9761
46.000896454,-2.17308,5.743631,149.9672
46.999732018,-2.831254,6.466898,-175.4641
48.001040936,-1.102464,6.727376,-76.20442
48.999876499,-0.8876281,6.131464,-38.44138
50.001185417,-1.200275,5.892038,-31.95204
51.000020981,-1.630196,5.712935,-31.97604
51.998856544,-1.882929,5.60105,-31.98644
53.000164986,-2.031521,5.52568,-31.99047
53.999000072,-2.730069,5.533346,-27.15006
55.000308037,-1.94214,6.689998,63.86716
55.999144077,-0.80374,6.280908,129.0656
57.000452042,-1.107568,6.024088,146.7416
57.999287128,-1.593711,5.804846,146.7449
59.000595093,-1.897697,5.661449,146.7588
59.999431133,-2.067732,5.570441,146.7437
61.000738144,-2.187585,5.538189,146.7389
61.999574184,-2.881558,6.263477,-178.8162
63.000881672,-1.067387,6.586631,-79.90617
63.999717236,-0.9053002,5.994545,-41.65701
65.001024723,-1.227918,5.746689,-34.90051
65.999859810,-1.672277,5.564419,-34.91243
66.998695374,-1.910829,5.449745,-34.9361
68.000002384,-2.065018,5.377193,-34.94842
68.998836994,-2.753515,5.362751,-29.81007
70.000144958,-2.003615,6.55367,61.16257
70.998979568,-0.7841582,6.123343,125.9803
72.000286579,-1.053067,5.866657,143.4654
72.999121189,-1.620506,5.634365,143.0433
74.000428677,-1.911331,5.485433,143.023
74.999263287,-2.089314,5.396702,143.0051
76.000570297,-2.191083,5.342495,143.0059
76.999404907,-2.906735,6.433701,-162.8785
78.000712395,-0.7871233,6.255455,-70.06428
78.999547005,-0.9014607,5.796177,-40.90724
80.000853539,-1.349945,5.534101,-38.38741
80.999688148,-1.719621,5.371166,-38.38895
81.998522758,-1.940289,5.257428,-38.40967
82.999829292,-2.076646,5.198781,-38.43372
83.998663902,-3.006564,5.411675,-21.32737
84.999970436,-1.687931,6.383805,77.72416
85.998804092,-0.8933678,5.871809,128.8375
87.000110626,-1.182195,5.623187,139.6612
87.998944759,-1.708943,5.395543,139.5264
89.000251293,-1.955969,5.290312,139.4701
89.999085903,-2.095282,5.204972,139.475
91.000391960,-2.367242,5.140861,140.0991
91.999226570,-2.470215,6.41856,-145.5914
93.000532150,-0.7678017,5.966556,-65.64439
93.999366283,-0.944977,5.619838,-41.58457
95.000672817,-1.434599,5.373834,-42.19645
95.999505997,-1.775857,5.199365,-42.27092
96.998340130,-1.962725,5.138516,-42.29454
97.999645710,-2.091136,5.088209,-42.30389
98.998479843,-2.931527,5.714739,-7.526808
99.999785900,-1.182266,6.232225,92.0798
100.998619080,-1.033668,5.747802,130.2708
101.999925137,-1.37961,5.474184,134.6702
102.998758316,-1.751229,5.324146,134.8911
104.000063896,-2.016372,5.21674,134.8257
104.998897552,-2.15631,5.139091,134.8194
106.000202656,-3.132508,5.382056,151.744
106.999035835,-1.613328,6.331718,-110.0458
108.000340939,-0.8020623,5.723584,-58.28056
108.999174595,-1.134585,5.459781,-45.32807
110.000479698,-1.598334,5.269624,-45.68294
110.999312878,-1.877555,5.13333,-45.76267
111.998145580,-2.046654,5.057938,-45.79935
112.999450684,-2.282783,4.984543,-45.40915
113.998283386,-2.53678,6.233926,28.88504
114.999588013,-0.8639827,5.971011,109.3737
115.998420238,-1.10063,5.619282,132.4571
116.999725819,-1.567183,5.368511,132.3363
117.998558521,-1.900947,5.212356,132.2584
118.999862671,-2.099647,5.069914,132.2702
119.998695374,-2.239103,5.068309,132.2589
121.000000000,-2.980084,5.745083,166.3149
121.998831749,-1.100409,6.187233,-94.60056
123.000136375,-0.9380653,5.631725,-55.6524
123.998968601,-1.255403,5.359455,-49.72586
125.000273228,-1.673414,5.197221,-49.7417
125.999104977,-1.928699,5.049835,-49.76881
127.000408649,-2.092271,5.009612,-49.80568
127.999240875,-2.802768,5.017092,-45.29913
128.998072624,-2.055955,6.190565,45.19403
129.999376774,-0.8404405,5.747993,111.2575
130.998208046,-1.142393,5.495187,128.9295
131.999511719,-1.644711,5.254683,128.5812
132.998342991,-1.949234,5.1237,128.4123
133.999647141,-2.15168,5.050914,128.4206
134.998478413,-2.261549,4.990532,128.4066
135.999782085,-2.919569,6.121344,-177.5854
136.998613358,-0.8435493,5.996879,-85.31201
137.999916553,-0.9390228,5.539026,-55.44474
138.998747826,-1.389822,5.290174,-53.61387
140.000051022,-1.74006,5.116332,-53.64272
140.998881817,-1.960546,5.025097,-53.65058
142.000185013,-2.097491,4.960273,-53.65876
142.999015331,-3.063966,5.174653,-36.59257
143.997846127,-1.715271,6.176015,62.18097
144.999149323,-0.9243189,5.675713,113.2234
145.997980118,-1.235095,5.462117,126.2129
146.999282360,-1.722916,5.235898,125.9274
147.998113155,-2.007436,5.105728,125.818
