Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.3677096,0.196629,-0.06897916,-0.1208145,-0.03405388,0.9869434,0.3450947,-9.134786,-26.1648,994.4604
1.001310825,-0.003261562,-0.9880944,-0.8007452,-0.1133216,-0.03405698,1.008394,0.3542271,-9.503958,-26.16178,994.459
2.000148773,-0.7452039,0.196629,-0.5568232,-0.1238326,-0.02927374,0.9889646,-0.3894863,-9.509295,-26.1587,994.4603
3.001459122,-3.280173,-0.7511498,12.85889,-0.1078643,-0.1755504,0.9744943,0.3480968,-9.50171,-27.86877,994.4599
4.000297070,-6.186114,-0.3364966,51.70346,-0.09730311,-0.02499437,0.9898707,-4.552401,-19.38321,-27.76683,994.4613
4.999135017,-5.691486,-0.8696221,50.17895,-0.1105946,-0.01283683,1.028384,-18.42191,-25.32619,-29.74733,994.4626
6.000444889,-0.9925179,-0.09955186,1.02867,-0.1075276,-0.03336523,0.9873673,-20.29191,-24.96978,-30.18522,994.4675
6.999282837,-0.3124042,0.4335737,-0.1909401,-0.09809308,-0.03711228,0.9915422,-20.28896,-24.97086,-29.36334,994.4675
8.000592709,0.1203955,0.2558652,-0.007998656,-0.1035464,-0.0385821,0.9796022,-20.66218,-24.97303,-29.74113,994.4653
8.999430180,0.1203955,0.2558652,0.1139623,-0.1000366,-0.04145142,0.9833472,-20.29191,-24.96978,-30.18522,994.4648
10.000740051,-11.1324,-0.158788,91.21882,-0.04756433,-0.05426894,0.9990603,-29.22762,-22.14095,-30.61482,994.457
10.999577999,-10.51411,-0.2772604,79.81547,-0.06607641,0.02723811,0.9945781,-34.51415,-1.317574,-30.32345,994.4514
12.000887871,-3.094688,0.01892048,25.11597,-0.1025327,-0.03907409,0.9838849,-24.67604,4.597586,-29.14817,994.4495
12.999724865,-0.3742327,-0.04031569,0.2359233,-0.1011345,-0.03468474,0.9815781,-22.90772,5.718581,-29.60724,994.457
14.001034737,-0.003261562,0.01892048,-0.06897916,-0.1029883,-0.04054861,0.9867229,-22.52355,5.350912,-28.72064,994.4548
14.999872208,-0.003261562,-0.158788,-0.1299596,-0.1025103,-0.04100091,0.9824137,-23.26886,5.346158,-29.16012,994.442
16.001182079,0.1203955,-0.2772604,0.05298184,-0.1060212,-0.03480111,0.9887635,-22.51442,4.981741,-28.71762,994.4442
17.000019550,-5.444172,-0.2772604,76.21762,-0.05391466,-0.06488616,0.976436,-17.67274,4.647842,-29.17714,994.4509
18.001328468,-10.76143,-0.6919136,97.74374,-0.0475648,-0.01662631,1.016528,-2.099588,-15.73536,-27.36453,994.4438
19.000165939,-2.847374,0.196629,24.99401,-0.1085164,-0.02814435,1.002758,-14.78222,-24.56211,-29.38917,994.4364
19.999002934,0.2440526,-0.04031569,-0.1909401,-0.101162,-0.03180109,0.9849786,-19.52834,-25.70337,-29.73969,994.4342
21.000312328,-1.054346,1.025935,0.4798453,-0.1321981,-0.03939592,0.9587198,-19.17339,-24.96286,-29.36795,994.4267
21.999149799,0.05856696,0.01892048,0.2359233,-0.0985981,-0.03520367,0.9949257,-19.17339,-24.96286,-29.36795,994.4373
23.000458717,0.1203955,0.196629,-0.7397647,-0.1069706,-0.03913539,0.9824737,-20.27982,-25.34003,-29.36031,994.4301
23.999296188,-3.83663,-0.5734413,9.504959,-0.08715983,-0.116214,1.063921,-19.17475,-24.96236,-29.74728,994.4266
25.000605583,-10.32862,-1.698928,103.11,-0.03396916,-0.03720117,1.013181,-36.01279,-15.97415,-30.63832,994.4315
25.999442101,-3.280173,-0.5142051,32.67755,-0.09306139,-0.04476375,0.9894534,-30.93816,2.03063,-29.92325,994.4279
27.000751019,-0.8688609,-0.4549689,6.638876,-0.09746161,-0.04914659,0.982225,-23.25973,4.976987,-29.15709,994.4223
27.999588490,0.1203955,-0.09955186,0.4798453,-0.09899628,-0.04244814,0.9914399,-24.01098,5.340239,-28.71449,994.417
29.000897884,0.2440526,-0.158788,0.1139623,-0.09997279,-0.04485033,0.9856665,-23.63158,4.974319,-29.15555,994.4178
29.999734879,-0.06509008,0.07815664,-0.1909401,-0.09956605,-0.04142004,0.9790476,-24.00344,4.97165,-29.15402,994.4139
31.001043320,-0.1887471,0.01892048,-0.1909401,-0.1030004,-0.04053545,0.9843355,-23.95814,5.709855,-28.71777,994.4187
31.999880791,-11.1324,-0.5142051,93.04824,-0.03857975,-0.03945191,0.9701818,-12.52555,4.683591,-28.3133,994.4294
33.001189232,-0.8070323,-1.225039,78.22997,-0.050965,0.1010217,0.9940683,-4.55081,-19.38379,-27.32428,994.4303
34.000025749,-2.352746,-0.3364966,24.75008,-0.08320738,-0.04033844,1.004295,-15.49535,-25.67612,-28.49191,994.4321
