Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
141.997713089,0.2580474,0.9970126,38.66328
142.999015331,77.43111,1.003847,41.18018
143.997846127,98.93748,0.986402,49.91043
144.999149323,27.53388,0.9957682,45.6865
145.997980118,0.4721732,0.9876468,43.5467
146.999282360,0.419078,0.9926413,43.81945
147.998113155,0.2917365,0.9911253,43.28981
148.999416351,0.1481383,0.9923838,43.52236
149.998246193,0.1211583,0.993738,42.69136
150.999548912,0.1950632,0.9949009,43.5398
151.998379230,0.1726367,0.989794,43.27543
152.999681950,1.613597,0.9357776,42.97096
153.998511791,18.51737,0.614321,42.73745
154.999814510,3.104615,0.9904645,43.20459
155.998644352,1.865379,0.983911,43.45803
156.997474194,0.9542866,0.977313,43.21154
157.998776913,0.5489015,0.9939276,43.50114
158.997606754,0.5277351,0.9862689,43.26535
159.998908997,0.1576707,0.987128,43.2297
160.997738838,0.09343762,0.9872988,43.5398
