Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.06023382,0.0236538,-0.1332727,0.01988993,-0.02462077,0.9902384,-11.45921,-5.916306,-11.28614,1008.172
0.998852253,-0.1210472,0.1414143,-0.00912223,0.01746097,-0.02802392,0.9863622,-11.46835,-5.547134,-11.28917,1008.164
2.000176430,0.2486625,0.08215171,0.05125829,0.02134927,-0.02267614,0.9926575,-10.78502,-5.542825,-10.84943,1008.17
2.999029160,0.3684626,0.2005426,33.68018,0.02297327,-0.0003908342,0.9921404,-11.86005,-4.810877,-11.73624,1008.176
4.000353813,0.3684626,0.2597788,41.97353,0.007074977,-0.02242596,0.9946451,-16.94526,5.367601,-11.35738,1008.179
4.999205589,0.4302911,0.4967235,27.58213,0.02630506,-0.02691553,0.985862,-11.9585,14.20414,-11.89357,1008.185
6.000530243,1.29589,-0.09563822,-2.29831,0.01340322,-0.01749184,0.9951892,-9.109541,16.80924,-11.92679,1008.176
6.999382019,-0.002508588,-0.03640205,0.01894937,0.01890618,-0.02701507,0.9830324,-8.728554,16.44274,-11.9253,1008.175
7.998234749,-0.1879942,0.08207028,-0.04203113,0.01988303,-0.02556444,0.9859216,-9.482759,16.80708,-12.30459,1008.186
8.999558926,-0.06433711,-0.09563822,0.1409104,0.01846916,-0.0266075,0.9954586,-9.482759,16.80708,-12.30459,1008.188
9.998410702,-0.06433711,0.08207028,-0.2249726,0.01745514,-0.02516394,0.99406,-9.110903,16.80974,-12.30612,1008.173
10.999735355,-0.1882184,-0.09554575,-0.04138043,0.01939057,-0.02509635,0.9873661,-8.729916,16.44324,-12.30464,1008.182
11.998587131,-0.06529847,-0.09451039,0.02258253,0.0164979,-0.0275872,0.9921063,-9.110903,16.80974,-12.30612,1008.178
12.999911785,0.1204011,0.02375877,0.02576291,0.02034299,-0.02266783,0.9883649,-8.367189,16.81508,-12.3092,1008.173
13.998763561,-0.003225291,-0.09509072,-0.03141413,0.0203399,-0.02076206,0.993656,-8.737684,16.81191,-11.92833,1008.174
15.000088215,0.1828827,-0.09578586,-0.02917807,0.02485968,-0.02744859,0.9906341,-9.109541,16.80924,-11.92679,1008.165
15.998939991,-0.06434686,0.02265784,-0.2707773,0.01886352,-0.02221248,0.9893367,-9.109541,16.80924,-11.92679,1008.167
17.000264168,0.1833262,-0.1550929,-0.1466831,0.0183788,-0.02317964,0.9878872,-9.109541,16.80924,-11.92679,1008.174
17.999115944,1.110236,-0.09572576,41.71546,0.01013491,-0.02962976,0.9935303,-4.366138,17.9515,-12.33494,1008.17
19.000440598,0.5537795,-0.03648959,37.26389,0.01802899,-0.03095252,0.9925087,7.466535,18.0382,-13.71155,1008.176
19.999292374,-1.672047,0.1412189,10.37148,0.02603855,-0.03858418,0.9951804,13.07691,14.3849,-12.81901,1008.177
20.998144627,0.615608,0.02274658,-0.05618013,0.02129831,-0.0216693,0.9855149,13.07691,14.3849,-12.81901,1008.174
21.999468327,0.1828083,0.02274658,0.004800373,0.02683541,-0.02552259,0.9978256,13.45631,14.01898,-13.26007,1008.175
