Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-1.154384,0.06052088,90.14111
1.001033306,-1.156848,0.05857641,90.14382
2.002066612,-1.14644,0.06072103,90.15408
3.000629425,-1.104304,1.032938,121.7779
4.001663685,-0.7871725,1.819582,162.6678
5.000226498,-0.8407468,1.684934,-174.2718
6.001260757,-0.9958821,1.023638,-174.0629
6.999824047,-1.11142,0.6286237,-174.1144
8.000859261,-1.145568,0.3883547,-174.1495
9.001894951,-0.9881553,0.2947912,-172.5405
10.000459194,-1.005752,1.33937,-133.4304
11.001495361,-0.6075199,1.948972,-91.86626
12.000059605,-0.1889379,2.078769,-50.60431
13.001096249,-0.08069708,1.923983,-12.5177
13.999660969,-0.5125074,1.451502,3.584643
15.000698090,-0.7633172,0.9344096,3.435087
16.001735687,-0.9314451,0.5986547,3.398677
17.000301361,-1.033012,0.4068331,3.370513
18.001339436,-1.092819,0.2857377,3.387351
18.999905109,-1.005629,1.146383,34.3032
20.000943661,-0.6600451,1.874891,76.03735
20.999510288,-0.2235434,2.048351,117.6914
22.000549793,-0.04740119,1.923795,157.597
23.001588345,-0.4154216,1.550292,-179.2535
24.000155926,-0.740922,0.9647852,-179.2195
25.001195431,-0.9200401,0.6004872,-179.2447
25.999763489,-1.028407,0.3867297,-179.2706
27.000803471,-1.092749,0.2530518,-179.2881
28.001843929,-1.041728,0.8996734,-155.7961
29.000412464,-0.8270958,1.771527,-114.4561
30.001452923,-0.3494432,2.093776,-72.61842
31.000022411,-0.02948219,2.037271,-31.47099
32.001063347,-0.2313784,1.726914,-2.735627
32.999632835,-0.6444108,1.130661,-0.3189856
34.000674725,-0.8474662,0.7323562,-0.3630079
35.001716614,-0.9841352,0.4991067,-0.3904763
36.000286579,-1.061944,0.3496861,-0.4079112
37.001328945,-0.9531007,0.748848,15.44159
37.999899864,-0.8097194,1.691413,56.7524
39.000942707,-0.3328415,2.046592,98.88603
39.999514103,-0.01204,1.997507,140.0072
41.000557423,-0.175551,1.739147,172.7782
42.001600742,-0.6090471,1.168021,178.7734
43.000172615,-0.8442141,0.7391429,178.7515
44.001216412,-0.9759805,0.4703526,178.7179
44.999789238,-1.060014,0.3052512,178.6913
46.000833511,-0.9085698,0.4181371,-173.7629
46.999406338,-0.9454125,1.509369,-132.3396
48.000450611,-0.4932114,2.014824,-90.40689
49.001495838,-0.09975857,2.083312,-48.8989
50.000069141,-0.08495334,1.860039,-13.40454
51.001114368,-0.5393836,1.35358,-2.684673
51.999688625,-0.792128,0.8882227,-2.714122
53.000734329,-0.9369954,0.5958154,-2.754432
53.999309063,-1.0447,0.4180938,-2.796288
55.000355721,-0.825403,0.3319765,-1.712581
56.001401901,-0.9165863,1.385112,37.51274
56.999977589,-0.5277659,1.956745,79.07136
58.001023769,-0.1109036,2.048702,120.9043
58.999599934,-0.03077523,1.867854,159.1946
60.000647068,-0.4924164,1.403245,175.216
