Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.936568737,100,15372286728.0913,4.16875,-0.9375,1
1.991456985,100,15372286728.0913,4.1675,0.625,1
2.870406151,100,15372286728.0913,4.168125,0.9375,1
3.925158501,100,15372286728.0913,4.166875,0.9375,1
4.980041981,100,15372286728.0913,4.168125,0.625,1
5.858910084,100,15372286728.0913,4.1675,0.625,1
6.913717747,100,15372286728.0913,4.16875,0,1
7.968512535,100,15372286728.0913,4.166875,0.625,1
8.847600937,100,15372286728.0913,4.166875,0.9375,1
9.902277946,100,15372286728.0913,4.169375,-1.25,1
10.957051754,100,15372286728.0913,4.1675,-0.3125,1
11.836216927,100,15372286728.0913,4.168125,0.3125,1
12.890846252,100,15372286728.0913,4.169375,0.9375,1
13.945634365,100,15372286728.0913,4.168125,-0.3125,1
15.000416279,100,15372286728.0913,4.16625,0.625,1
15.879524708,100,15372286728.0913,4.166875,-0.3125,1
16.934227943,100,15372286728.0913,4.1675,0.625,1
17.988996029,100,15372286728.0913,4.166875,0.625,1
18.868120193,100,15372286728.0913,4.16625,0,1
19.922763348,100,15372286728.0913,4.1675,-0.3125,1
20.977548122,100,15372286728.0913,4.168125,-0.625,1
21.856661797,100,15372286728.0913,4.168125,-0.3125,1
22.911445141,100,15372286728.0913,4.168125,-0.3125,1
23.966137409,100,15372286728.0913,4.166875,0.3125,1
24.845134258,100,15372286728.0913,4.168125,0,1
25.900057793,100,15372286728.0913,4.1675,0.9375,1
26.954709053,100,15372286728.0913,4.1675,-0.3125,1
27.833664417,100,15372286728.0913,4.1675,0.625,1
28.888556957,100,15372286728.0913,4.1675,-1.25,1
29.943251133,100,15372286728.0913,4.168125,-0.3125,1
30.998101711,100,15372286728.0913,4.1675,0.625,1
31.877074242,100,15372286728.0913,4.168125,-0.9375,1
32.931907654,100,15372286728.0913,4.1675,0,1
33.986649990,100,15372286728.0913,4.16875,0,1
34.865605354,100,15372286728.0913,4.1675,0,1
35.920512199,100,15372286728.0913,4.1675,-1.5625,1
36.975193977,100,15372286728.0913,4.166875,-0.3125,1
37.854164600,100,15372286728.0913,4.1675,-0.3125,1
38.909055710,100,15372286728.0913,4.1675,0,1
39.963871956,100,15372286728.0913,4.165625,0.3125,1
40.842751980,100,15372286728.0913,4.166875,2.1875,1
41.897536278,100,15372286728.0913,4.1675,0.9375,1
42.952476978,100,15372286728.0913,4.1675,1.5625,1
43.831352234,100,15372286728.0913,4.16875,-0.9375,1
44.886105537,100,15372286728.0913,4.1675,-1.25,1
45.940987110,100,15372286728.0913,4.166875,-0.9375,1
46.995864868,100,15372286728.0913,4.1675,-0.625,1
47.874673367,100,15372286728.0913,4.1675,0.3125,1
48.929495335,100,15372286728.0913,4.16625,0.625,1
49.984376907,100,15372286728.0913,4.1675,0,1
50.863222599,100,15372286728.0913,4.1675,0,1
51.918023586,100,15372286728.0913,4.168125,-0.3125,1
52.972969532,100,15372286728.0913,4.16875,0.625,1
53.851799011,100,15372286728.0913,4.16875,0.625,1
54.906600475,100,15372286728.0913,4.1675,-1.5625,1
55.961457252,100,15372286728.0913,4.166875,-0.625,1
56.840415955,100,15372286728.0913,4.16625,0.625,1
