Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
0.000000000,0.1819731,0.9806272,26.38975
1.001033306,0.1498204,0.994474,26.4064
1.999595165,0.878345,0.9896763,26.63323
3.000629425,40.89173,0.9874044,26.56151
4.001663685,41.62412,0.990205,25.11845
5.000226498,2.506505,0.9878064,22.86529
6.001260757,0.7323958,0.9873281,22.7782
6.999824047,0.4624484,0.9935078,22.49179
8.000859261,0.120923,0.9887148,22.7782
8.999423504,20.57789,0.976608,22.54168
10.000459194,41.08215,0.995472,19.75544
11.001495361,41.44517,0.9816935,16.83236
12.000059605,41.32022,0.9831064,19.12111
13.001096249,29.66639,0.9854942,21.21595
13.999660969,3.265038,0.9882384,22.80911
15.000698090,0.2271528,0.9873388,22.33564
16.001735687,0.2113886,0.9887592,22.64052
17.000301361,0.03801338,0.9835297,22.80911
18.001339436,1.073712,0.9940359,22.47682
18.999905109,41.31347,0.9874752,24.26101
20.000943661,41.93067,0.9802486,26.11858
20.999510288,41.01778,0.9839986,26.31936
22.000549793,34.86364,0.9873545,24.54837
23.001588345,6.311277,0.9945009,22.67525
24.000155926,0.208832,0.9868125,23.00866
25.001195431,0.120923,0.9863449,22.9404
25.999763489,0.2510983,0.9939982,22.47054
27.000803471,0.03801338,0.989672,22.74578
27.999372005,40.94658,0.9906452,21.45543
29.000412464,41.3872,0.9859479,17.24849
30.001452923,42.16811,0.993054,17.5768
31.000022411,38.15667,0.996403,20.17724
32.001063347,16.14821,0.990725,21.85592
32.999632835,0.4760927,0.9925796,22.08182
34.000674725,0.2202743,0.9920589,22.76354
34.999244690,0.03801338,0.993549,22.11662
36.000286579,0.0325386,0.985387,22.54852
37.001328945,40.65323,0.9823948,23.44102
37.999899864,41.80291,0.9945278,25.68713
39.000942707,41.99474,0.9773719,26.62046
39.999514103,41.62262,0.9949652,25.36317
41.000557423,20.83103,0.9917608,23.44001
41.999129295,0.5303156,0.9848998,23.25029
43.000172615,0.2883451,0.9868369,22.97793
44.001216412,0.2012532,0.9935102,22.97793
44.999789238,0.1496858,0.9977965,22.73213
46.000833511,37.84302,0.9949197,22.25404
46.999406338,42.8435,0.9973779,18.73034
48.000450611,42.72748,0.9783056,16.97109
48.999023914,41.19675,0.9898071,18.79202
50.000069141,28.0193,0.999238,21.69598
51.001114368,0.9761704,0.9887225,22.47845
51.999688625,0.3696352,0.9920704,22.13069
53.000734329,0.2656028,0.9916096,22.45631
53.999309063,0.180655,0.9849466,23.00563
55.000355721,23.8218,1.048587,22.72967
55.998929977,41.49609,0.9859255,24.66752
56.999977589,41.87163,0.9918265,26.14249
58.001023769,42.0513,0.9878698,25.88443
58.999599934,29.73151,0.9877946,24.6482
60.000647068,2.883914,0.9925948,23.49805
60.999223232,0.319533,0.9873036,22.91419
62.000271797,0.1467129,0.9935076,23.51812
62.998847485,0.1566182,0.9815688,23.21861
63.999896049,0.5303156,0.9901689,22.92122
65.000944614,42.0495,1.005054,20.58711
65.999522209,42.3649,0.9892763,17.82843
67.000570774,42.36643,0.9869202,17.30702
67.999148369,32.8378,0.9873273,20.25253
69.000197887,10.2741,0.9940726,22.50771
69.998775482,0.2453028,0.9930294,22.06471
70.999825478,0.1498195,0.987301,21.79644
72.000875473,0.3114899,1.001637,21.65882
72.999454021,0.2751283,0.991161,21.85156
74.000504494,41.50143,0.9997276,23.4449
74.999083996,42.29744,0.9863996,25.49105
76.000134945,42.17028,0.9916584,26.66536
76.998714447,38.02299,0.9858928,25.56752
77.999765873,15.22823,1.004652,23.81565
79.000817776,0.4169305,0.991592,23.03621
79.999397278,0.2726665,0.9877853,23.21511
81.000449181,0.2487151,0.9915884,23.51812
81.999030113,0.2801099,0.9882806,23.81126
83.000082493,41.02647,0.9911291,21.73253
83.998663902,42.47516,0.9994899,18.6597
84.999716282,42.29651,0.9806155,16.34647
86.000769615,40.95051,0.9916762,19.02316
86.999351025,19.97207,1.004702,21.88016
88.000404835,0.19247,0.9854418,21.67306
88.998986721,0.1787068,0.9844401,21.62572
90.000040531,0.2074794,0.9920692,21.4707
90.998622417,0.08945062,0.9959216,21.49129
91.999677181,38.32642,0.9877856,21.92813
93.000731945,41.92172,0.9899613,24.62661
93.999314785,41.63541,0.9969613,25.77073
95.000369549,42.48279,0.994013,26.37309
95.998953342,27.59485,1.001618,24.4364
97.000008583,0.8517043,0.9926305,23.81126
97.998592854,0.1698085,0.992121,23.59683
98.999648094,0.2249736,0.991137,23.00121
100.000703812,0.1633196,0.9868041,23.84159
100.999288559,22.60786,0.9683427,23.51436
102.000344753,41.92159,0.9983095,20.43543
102.998929501,42.05777,0.9960781,17.02988
103.999986172,42.71565,0.9869788,17.71745
104.998571396,29.20766,0.9944784,20.68675
105.999628544,2.598572,0.9849692,21.9419
107.000685692,0.2811392,0.9921101,21.68854
107.999270916,0.1542874,0.9882579,22.15859
109.000329018,0.2294133,0.9930264,21.72941
109.998915195,1.470853,0.9858935,22.09099
110.999973774,41.68433,0.9925721,23.59617
111.998559952,42.47694,0.9769837,25.63105
112.999618053,41.0096,0.987552,26.46814
114.000677109,34.4921,0.9945716,25.2962
114.999263763,8.019339,0.990154,23.82576
116.000323296,0.250923,0.9911007,23.84159
116.998910427,0.2017579,0.9925535,23.82576
117.999970436,0.2031937,0.9892284,23.30309
118.998557568,0.2533846,0.9939651,23.50981
119.999617577,41.38461,0.9883682,21.78849
121.000677586,42.53445,0.993032,17.96934
121.999266148,42.29651,1.007844,16.98901
123.000326633,37.71823,1.001201,19.05492
123.998915195,13.55877,0.956259,21.21595
124.999975681,0.5039815,0.9891996,21.43682
125.998565197,0.1549988,0.9935199,22.02631
126.999625683,0.0325386,0.984454,21.81476
127.998215675,0.1062047,0.9882526,21.78317
128.999276638,41.33349,0.9852338,22.58859
130.000338554,41.9914,0.9969966,24.79476
130.998928547,42.3679,0.9916784,26.66511
131.999990463,41.56227,0.990809,25.62561
132.998580933,19.06756,0.9754135,24.04077
133.999642849,0.2781411,0.9882342,23.5247
134.998234272,0.09627312,0.9916095,24.14433
135.999296665,0.1467129,0.9896819,24.16549
137.000359535,0.2980524,0.9958802,23.64457
137.998950481,41.02397,0.978909,22.9531
139.000013828,42.54126,0.9860892,19.30872
139.998605251,42.47622,0.995473,17.22658
