Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
44.999098778,3.046584,0.264367,-38.83585,-0.06790052,-0.04680845,0.9926275,-28.02502,-25.39629,-28.8225,995.1516
45.997926712,1.377214,-0.1502862,-12.18737,-0.08098565,-0.0300506,0.9877765,-21.71978,-27.19723,-28.83326,995.1516
46.999226570,-0.4776421,0.08665846,2.569907,-0.0728021,-0.04595745,0.9998323,-19.5238,-25.70503,-28.47525,995.1481
47.998054028,-0.2303281,0.1458946,-0.1742155,-0.08132963,-0.04068346,0.9847001,-19.14417,-26.07104,-28.8531,995.145
48.999353886,-0.0448425,-0.3872309,0.374609,-0.07390873,-0.04155917,0.9889427,-20.99455,-26.45347,-28.9056,995.1467
49.998181820,0.2643001,0.08665846,-0.113235,-0.08226842,-0.04074884,0.9937767,-19.8758,-26.44662,-28.02511,995.1556
50.999481678,0.5116143,0.08665846,-18.77327,-0.06899268,-0.04242596,0.9846026,-19.13368,-26.44071,-28.47074,995.1556
51.998308659,1.068071,0.1458946,-9.016388,-0.07313785,-0.05945291,0.9895357,-12.53718,-24.91702,-28.06771,995.1542
52.999608517,-0.106671,0.264367,0.374609,-0.07976671,-0.04551035,0.9869832,-12.182,-24.17659,-27.63275,995.1525
53.998436451,0.07881456,-0.09105004,0.06970652,-0.07935854,-0.03922798,0.9894946,-11.8026,-24.54251,-28.07381,995.1564
54.999736786,-0.1684995,-0.03181387,0.008726023,-0.07738148,-0.04110826,0.9851491,-11.80878,-24.17442,-27.25495,995.1525
55.998564720,2.36647,0.3828393,-18.83425,-0.07646672,-0.03435821,0.9919651,-9.966232,-23.48426,-27.26819,995.1581
56.999864578,0.07881456,0.3828393,1.167356,-0.07796064,-0.03388707,0.990072,-6.72716,-21.61483,-27.2969,995.1529
