Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
96.930684566,100.0117,15372286728.0913,4.16375,0,1
97.985645294,100.0117,15372286728.0913,4.166875,0.3125,1
98.864494801,100.0117,15372286728.0913,4.164375,-0.625,1
99.919353485,100.0117,15372286728.0913,4.165625,0.625,1
100.974089146,100.0117,15372286728.0913,4.163125,0,1
101.853043079,100.0117,15372286728.0913,4.1625,-0.625,1
102.907937050,100.0117,15372286728.0913,4.165,-0.3125,1
103.962622643,100.0117,15372286728.0913,4.164375,0,1
104.841718197,100.0117,15372286728.0913,4.164375,-2.1875,1
105.896404743,100.0117,15372286728.0913,4.16375,-0.3125,1
106.951200008,100.0117,15372286728.0913,4.16625,-0.625,1
107.830304146,100.0117,15372286728.0913,4.16375,0.3125,1
108.884982109,100.0117,15372286728.0913,4.164375,0.625,1
109.939765930,100.0117,15372286728.0913,4.165,0.625,1
110.994676590,100.0117,15372286728.0913,4.16625,1.25,1
111.873575687,100.0117,15372286728.0913,4.165,-0.3125,1
112.928474426,100.0117,15372286728.0913,4.16375,-1.25,1
113.983117104,100.0117,15372286728.0913,4.165625,0.9375,1
114.862246513,100.0117,15372286728.0913,4.16375,0.625,1
115.916913509,100.0117,15372286728.0913,4.164375,0.3125,1
116.971716404,100.0117,15372286728.0913,4.16375,0.625,1
117.850771427,100.0117,15372286728.0913,4.165625,0.9375,1
118.905465126,100.0117,15372286728.0913,4.165,0.625,1
119.960247517,100.0117,15372286728.0913,4.165625,1.875,1
120.839250565,100.0117,15372286728.0913,4.16375,-1.25,1
121.894060135,100.0117,15372286728.0913,4.16375,-0.3125,1
122.948924065,100.0117,15372286728.0913,4.1625,1.875,1
123.827837467,100.0117,15372286728.0913,4.163125,0.9375,1
124.882623196,100.0117,15372286728.0913,4.16375,0.625,1
125.937378407,100.0117,15372286728.0913,4.165625,-0.625,1
126.992159367,100.0117,15372286728.0913,4.165,0.625,1
127.871287346,100.0117,15372286728.0913,4.16625,1.875,1
128.925940514,100.0117,15372286728.0913,4.165,0.625,1
129.980759621,100.0117,15372286728.0913,4.16375,0.9375,1
130.859736443,100.0117,15372286728.0913,4.165625,-0.3125,1
131.914507866,100.0117,15372286728.0913,4.164375,-0.3125,1
132.969414234,100.0117,15372286728.0913,4.165,-0.625,1
133.848282337,100.0117,15372286728.0913,4.164375,-0.625,1
134.903099537,100.0117,15372286728.0913,4.165,-0.625,1
135.958016872,100.0117,15372286728.0913,4.163125,0.9375,1
136.836860180,100.0117,15372286728.0913,4.164375,0.625,1
137.891819954,100.0117,15372286728.0913,4.165,-1.5625,1
138.946458817,100.0117,15372286728.0913,4.165625,0.3125,1
139.825478554,100.0117,15372286728.0913,4.16375,0,1
140.880239487,100.0117,15372286728.0913,4.165,-0.3125,1
141.935058594,100.0117,15372286728.0913,4.164375,-0.3125,1
142.989931107,100.0117,15372286728.0913,4.165625,2.1875,1
143.868792534,100.0117,15372286728.0913,4.165625,-0.3125,1
144.923582554,100.0117,15372286728.0913,4.164375,-1.25,1
145.978511333,100.0117,15372286728.0913,4.16375,0.625,1
146.857364178,100.0117,15372286728.0913,4.165,0.3125,1
147.912294388,100.0117,15372286728.0913,4.165,-0.625,1
