Time (s),Roll (deg),Pitch (deg),Yaw (deg)
138.997669697,-2.430829,4.217805,-112.6836
139.998969555,-2.855836,4.327976,-106.4739
140.997796535,-2.466799,5.357797,-59.19492
141.999095917,-1.885055,5.377457,-28.58223
142.997923374,-1.940231,4.961206,-25.63531
143.999222279,-2.186533,4.644011,-25.37476
144.998049736,-2.277328,4.47842,-25.31236
145.996877193,-2.384199,4.342658,-25.39904
146.998176098,-2.41024,4.281943,-25.33286
147.997003555,-2.409932,4.243146,-25.29181
148.998302937,-2.053669,4.151524,-31.45894
149.997129917,-1.218159,3.02505,-84.0714
150.998429298,-1.44456,3.080623,-109.0228
151.997256279,-1.905939,3.496941,-111.2729
152.998555660,-2.155762,3.776145,-111.589
153.997383118,-2.232216,3.958138,-111.3879
154.998682022,-2.317868,4.067518,-111.4461
155.997509480,-2.769753,4.427932,-98.5295
156.998808861,-2.42392,5.219513,-56.42799
157.997635365,-1.791263,5.391144,-21.6749
158.998934746,-1.836018,5.022482,-14.12108
159.997761726,-2.102648,4.687521,-14.41394
160.999061108,-2.289752,4.4355,-14.42117
161.997888088,-2.375574,4.326333,-14.40932
162.996715069,-2.401027,4.271425,-14.39285
163.998013973,-2.12543,4.073894,-20.26722
164.996841431,-1.839752,3.215441,-57.53219
165.998140812,-1.952206,3.315801,-71.00455
166.996967793,-2.234193,3.691984,-72.09492
167.998267174,-2.330964,3.860631,-72.15453
168.997093678,-2.391303,4.041227,-72.00323
169.998393536,-2.198277,3.778604,-83.61917
170.997220039,-2.422781,3.76551,-90.72356
171.998519421,-2.423853,3.938575,-90.30379
172.997345924,-2.419795,4.073208,-90.19521
173.998645306,-2.46221,4.129591,-90.18557
174.997471809,-2.681126,4.21366,-86.04047
175.998771191,-2.402362,4.816969,-64.04583
176.997597694,-2.276698,4.429182,-63.86729
177.998897076,-2.24649,4.867254,-64.445
178.997723579,-2.050889,4.748523,-65.50407
179.996550083,-1.961255,3.937722,-81.09171
180.997849464,-2.096003,3.578169,-100.9544
181.996675968,-2.286852,3.820329,-102.3078
182.997974396,-2.307431,3.983178,-102.2868
183.996801376,-2.772705,4.381171,-87.31355
184.998099804,-2.278318,5.360711,-38.57528
185.996926308,-1.686291,5.345897,-14.51945
186.998224735,-1.939675,4.893848,-14.17727
187.997051239,-2.118725,4.619293,-14.14536
188.998350620,-2.210759,4.441401,-14.12482
189.997177124,-2.276788,4.336652,-14.08066
190.998476028,-2.321207,4.303527,-14.0308
191.997302532,-2.342905,4.22491,-14.05871
192.998600960,-1.800097,3.855825,-29.93825
193.997427464,-1.381259,2.860157,-81.43221
194.998726845,-1.43698,3.176784,-100.6439
195.997553349,-1.900865,3.589501,-100.847
196.996379375,-2.116154,3.869194,-100.9627
197.997678757,-2.216581,4.010605,-101.0701
198.996505260,-2.273652,4.079422,-100.8873
199.997803688,-2.30381,4.120705,-100.7805
200.996630192,-2.791019,4.548369,-85.35268
201.997929096,-1.950778,5.489134,-33.61479
202.996755600,-1.604406,5.251621,-13.74327
203.998054028,-1.923142,4.783326,-14.35704
204.996880531,-2.097559,4.531221,-14.3773
205.998179436,-2.217015,4.38165,-14.36514
206.997005939,-1.494858,3.705345,-40.5414
207.998305321,-1.268502,3.027698,-86.78332
208.997130871,-1.793052,3.186111,-102.5083
209.998430252,-1.974663,3.630757,-101.3579
210.997256279,-2.147207,3.865285,-101.146
211.998555660,-2.758028,4.833247,-63.10581
212.997381210,-1.84058,5.318631,-21.94904
213.996208191,-1.765201,4.976452,-14.51305
214.997506618,-2.050667,4.653874,-14.30761
215.996332645,-2.178417,4.465852,-14.27439
216.997631550,-2.257121,4.313667,-14.24594
217.996457577,-2.294003,4.153952,-14.15106
218.997756004,-1.060872,4.639481,-13.72395
219.996582985,-1.318057,4.691259,-14.14337
