Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
46.999867916,0.6045879,0.3252357,14.95844,0.02537383,-0.02794037,0.9934867,10.32935,-7.236303,-11.80656,1007.995
47.998707771,0.2954452,-0.03018137,12.64118,0.02301146,-0.03569665,0.9895232,7.008671,-8.367335,-12.16298,1008.001
49.000020504,0.7282449,0.0290548,-1.140409,0.01960447,-0.03721993,0.9928527,4.135271,-9.866008,-11.31695,1008.01
49.998860359,-0.199183,-0.08941755,-0.04275976,0.02098466,-0.02948167,0.9972984,4.43443,-9.49403,-11.76381,1008.011
50.997700214,-0.0136974,0.2067633,0.07920124,0.0203843,-0.02366414,0.9935976,4.13232,-9.864926,-12.13883,1007.997
51.999012947,-0.07552592,0.1475271,-0.04275976,0.01846019,-0.02850012,0.9877803,4.43443,-9.49403,-11.76381,1007.999
52.997852325,0.8519019,0.0290548,2.213519,0.02433229,-0.02361316,0.9954888,3.752693,-9.498922,-11.76099,1008.008
53.999164581,0.6664164,0.0290548,14.95844,0.01955459,-0.03240944,0.9977247,1.532274,-9.884687,-11.30618,1008.006
54.998004436,-0.32284,-0.1486537,14.65354,0.01802451,-0.03189883,0.9886695,-3.242838,-9.917851,-12.10833,1008.012
55.999316692,-0.4464971,0.2659995,14.7755,0.02206443,-0.03289942,1.00582,-7.731153,-8.842857,-11.71962,1008.001
56.998156548,0.1099597,0.08829096,14.89746,0.01483789,-0.02075189,0.9764929,-10.7155,-5.910969,-11.28922,1007.995
57.999469280,0.3572738,0.3844718,14.95844,0.02248957,-0.03376961,0.9895644,-13.02265,-2.972524,-12.12608,1007.994
58.998309135,-0.07552592,0.3844718,15.0804,0.0201285,-0.03153967,1.01684,-15.71408,0.638485,-11.76573,1008.003
59.999621391,-0.07552592,0.799125,14.7755,0.02402022,-0.02904923,1.01496,-15.80983,4.636681,-10.91339,1007.998
60.998461723,0.04813112,0.799125,14.83648,0.02728897,-0.02499701,0.9916258,-14.81752,9.445585,-12.22178,1007.995
61.999773502,-0.2610115,-0.3855984,14.65354,0.01988745,-0.03127649,0.9690936,-13.40162,12.34811,-12.25163,1007.995
62.998613358,-0.199183,-0.3855984,14.53158,0.01116232,-0.03489276,0.9857791,-10.55267,14.95321,-12.28485,1007.995
63.997453213,-0.5083256,-0.2078899,14.65354,0.01853502,-0.03571584,0.9804725,-6.907158,17.93327,-12.32443,1008.003
64.998765945,-0.0136974,0.2067633,12.64118,0.02286314,-0.02507148,0.9926019,-3.279619,19.00666,-13.23323,1008.006
65.997605801,-0.2610115,-0.2078899,0.3231232,0.02194016,-0.02895892,0.9930062,-1.789013,19.01617,-12.35427,1007.991
66.998918533,-0.07552592,0.08829096,-0.04275976,0.0189494,-0.02658666,0.9930689,-1.036167,18.65233,-12.35432,1008
67.997758389,-0.0136974,0.0290548,0.07920124,0.02237842,-0.02603863,0.9911523,-1.799734,19.38592,-12.79985,1008.002
68.999070644,-0.1373544,-0.1486537,-0.1037403,0.0228998,-0.0265383,0.9954375,-1.808867,19.75509,-12.80288,1008.008
69.997910976,-0.5083256,-0.08941755,12.5802,0.01541539,-0.02321524,0.9859913,-1.0453,19.02151,-12.35735,1007.998
70.999223232,0.6045879,0.1475271,14.40962,0.02093736,-0.0251496,1.001206,3.043534,19.05144,-12.81682,1007.998
71.998063087,-0.2610115,0.6214165,14.7755,0.01806358,-0.03336829,0.9919826,7.478845,17.66786,-12.82342,1007.993
72.999375820,-0.199183,0.2659995,14.89746,0.02099257,-0.0313927,0.9929624,10.47951,16.58228,-13.2692,1008.007
73.998215675,-0.199183,0.5029442,14.83648,0.02906429,-0.03766543,1.012375,13.47775,13.27947,-12.36891,1008.013
74.999527454,-0.6319826,0.3844718,15.01942,0.02000091,-0.03187597,0.9900925,15.78956,10.03446,-12.35142,1008.014
75.998367786,0.1717882,0.3252357,14.7755,0.01723259,-0.03164896,1.028314,16.99781,6.350252,-11.94645,1008.01
76.999679565,0.2954452,0.3844718,14.83648,0.02903331,-0.02281836,0.9529803,17.07847,3.089233,-11.91973,1008.019
77.998519421,0.1717882,-0.6225431,14.65354,0.01554482,-0.02811257,0.9968759,16.41695,-0.2386494,-11.88943,1008.017
78.997359276,0.2954452,-0.03018137,15.14138,0.01317495,-0.02825102,1.015031,13.88549,-3.149174,-11.85496,1008.02
79.998671055,-0.07552592,-0.08941755,15.14138,0.01004819,-0.02287666,0.9970086,11.38294,-7.228743,-11.81092,1008.008
80.997511387,0.2954452,-0.2671261,13.61687,0.02242606,-0.03132226,0.9843609,8.497459,-8.357161,-11.7898,1008.01
81.998823166,1.470187,-0.08941755,-0.2257012,0.01882241,-0.05124887,0.9901882,4.814057,-9.860034,-12.14165,1008.007
82.997663021,0.2954452,-0.1486537,0.01822074,0.0238553,-0.02601556,0.9911453,4.806287,-9.491362,-11.76534,1008.004
