Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.000000000,-1.477169,-1.211087,-13.63057
0.998839378,-1.48167,-1.213588,-13.62771
2.000150204,-1.476692,-1.216241,-13.62929
2.998989582,-1.456746,-1.218063,-13.56915
4.000300884,-1.438556,-0.9190943,-1.923658
4.999140263,-1.431226,-0.6794009,12.51012
6.000452042,-1.40319,-0.5379662,27.14542
6.999291420,-1.353606,-0.4591216,41.73842
8.000603199,-1.315752,-0.4388068,56.2337
8.999442577,-1.291701,-0.430269,70.65787
9.998281956,-1.283191,-0.4221786,85.25533
10.999594212,-1.266276,-0.426065,99.91915
11.998433590,-1.285021,-0.4222581,114.7008
12.999745369,-1.289532,-0.4109689,129.5775
13.998585224,-1.288451,-0.3979159,144.2848
14.999897480,-1.313754,-0.4133447,158.103
15.998737335,-1.432262,-0.6007351,163.7442
17.000049591,-1.491601,-0.8362488,163.698
17.998889923,-1.512621,-0.9828985,163.6643
19.000201702,-1.527481,-1.070849,163.6265
19.999041557,-1.468987,-1.073954,165.028
21.000354290,-1.489927,-0.7695261,178.9913
21.999194145,-1.474175,-0.5637478,-166.541
23.000506878,-1.429772,-0.4465064,-151.8984
23.999347210,-1.372988,-0.3842136,-137.2763
24.998187065,-1.324506,-0.3439707,-122.707
25.999499798,-1.293707,-0.3204626,-107.9922
26.998339653,-1.261205,-0.3192159,-93.23165
27.999652386,-1.243036,-0.3172038,-78.38979
28.998492718,-1.232056,-0.3212127,-63.43323
29.999805450,-1.220943,-0.3301114,-48.52443
30.998645782,-1.237712,-0.3363836,-33.71822
31.999958515,-1.256539,-0.380226,-20.60712
32.998798370,-1.380227,-0.645793,-18.6042
34.000111580,-1.423556,-0.8652419,-18.62965
34.998952389,-1.452407,-0.99178,-18.6556
36.000264168,-1.459085,-1.06746,-18.67758
36.999104977,-1.41278,-0.9493986,-12.43096
38.000417233,-1.425128,-0.7023289,2.189424
38.999258041,-1.389674,-0.5378443,16.82618
39.998097897,-1.348552,-0.4596049,31.34064
40.999410629,-1.318286,-0.423456,45.94497
41.998250484,-1.304837,-0.4062854,60.46606
42.999563217,-1.282714,-0.399641,75.32719
43.998403549,-1.275182,-0.3985129,90.1723
44.999715328,-1.272441,-0.3865864,105.0967
45.998555183,-1.265001,-0.3836215,120.0248
46.999867916,-1.270879,-0.3819067,134.9375
47.998707771,-1.286071,-0.3812916,149.3305
49.000020504,-1.430247,-0.4832968,159.4252
49.998860359,-1.468466,-0.772655,159.0107
51.000172138,-1.509995,-0.9442016,158.9728
