Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
143.998564720,14.96537,1.027949,20.8544
144.997403145,15.22519,0.9846674,19.70608
145.998714447,15.10791,1.003735,18.73176
146.997553825,15.14721,0.9983682,17.12106
147.998864651,12.09881,1.003819,16.67439
148.997703552,0.2323675,0.9921472,16.37261
149.999014854,0.155761,0.9903545,16.73566
150.997853279,0.2386575,0.9912699,16.16029
151.996691704,0.09227736,0.9912058,15.99248
152.998003006,14.28794,0.9992692,15.86221
153.996841908,14.77985,0.9926221,15.59564
154.998153210,14.89906,0.9735981,15.39804
155.996991634,15.20309,0.9966572,16.23294
156.998301983,14.8443,0.9979166,16.89119
157.997140884,14.61744,0.9950516,18.29728
158.998452187,14.8979,0.9673254,19.34589
159.997290611,15.21788,1.012218,20.15711
160.998600960,15.29328,0.9691795,20.84114
161.997439861,15.08919,1.009454,21.73869
162.998750210,14.83927,0.9987514,22.09355
163.997589111,12.58461,0.9874757,22.33063
164.996427536,2.186844,0.989262,23.06598
165.997737885,0.2323675,0.9883681,23.06598
166.996576786,0.216555,0.9854531,23.37427
167.997887135,0.1202329,0.9917103,22.69487
168.996725082,1.673807,0.9994072,23.06598
169.998035908,15.08292,0.9888164,23.34999
170.996873856,14.4767,1.003813,23.57076
171.998184204,14.30648,0.9859335,23.09178
172.997022152,14.59861,0.9821619,23.42793
173.998332500,14.79289,1.001662,23.52517
174.997170448,15.08141,0.9725485,22.98675
175.998480320,14.85384,0.9735991,21.82217
176.997318268,15.4688,0.9720492,21.22848
177.998629093,15.20325,1.017433,19.96427
178.997466087,15.21004,0.9800212,19.02971
179.996304035,14.90102,0.9959757,17.31956
180.997613907,12.29017,0.9868854,16.95576
181.996451855,0.482152,0.9854953,16.42362
182.997762203,0.05348081,0.9912244,16.39397
183.996599674,0.274933,0.9860052,15.71783
184.997910023,0.1217803,0.9970701,15.42736
185.996747494,12.83072,0.9931166,16.30812
186.998057842,14.65614,0.9854224,15.24775
187.996895790,14.71543,0.980689,15.23982
188.998205662,14.593,0.9863748,15.55705
189.997043610,14.961,0.9945726,16.04833
190.998353481,15.0371,1.004511,17.32827
191.997191429,14.88684,0.9873241,18.73491
192.998501778,14.78069,1.026188,19.33479
193.997339249,15.03503,0.9888813,20.68963
194.996177197,14.90851,0.9720529,22.32962
195.997487545,14.85087,0.9859613,21.42019
196.996325493,14.59689,0.9983153,22.87554
197.997635365,8.434341,0.9916879,23.14852
198.996473312,0.3636795,0.9917588,23.073
199.997783661,0.0918884,0.987918,22.70356
200.996621609,0.1092717,0.9931515,22.83001
201.997931480,0.0918884,0.9883236,22.45491
202.996769428,14.14998,0.9966224,23.34457
203.998080254,14.59348,0.9887235,23.53145
204.996917248,14.79198,0.9896976,24.31451
205.998228073,14.96342,0.9807178,23.85511
206.997065544,14.77783,0.9793009,23.154
207.998375893,14.48835,0.9949976,22.74757
208.997213840,14.90183,1.015067,22.08962
209.996050835,15.03557,0.9958887,21.36232
210.997361183,14.97888,1.01454,20.87967
211.996199131,14.84732,1.019442,19.50605
212.997509003,14.84571,0.9827529,17.88685
213.996346951,12.60905,0.9850339,17.63289
214.997656822,0.7181182,0.991723,17.03248
215.996494770,0.2699009,0.9917378,16.852
216.997804642,0.2483823,0.9921888,16.66798
217.996641636,0.6199064,0.9890664,16.45739
218.997952461,12.28128,0.9841077,16.34233
219.996789455,14.22849,0.9912341,15.57668
220.998100281,14.90525,0.9862504,15.35568
221.996937275,14.96006,0.9835632,16.13627
222.995775223,14.72987,0.9863903,16.81984
223.997085094,14.77572,0.979335,17.62081
224.995923042,14.72987,1.012283,19.0781
225.997233868,14.87352,0.9677363,19.71977
226.996071815,15.03656,0.9767846,21.09406
227.997381687,14.92997,0.9970284,22.05869
228.996220112,14.84292,0.9977934,21.98423
229.997529984,14.05723,0.99085,22.4611
230.996367931,7.548193,0.9880502,22.82986
231.997678757,0.08334912,0.9893603,22.93103
232.996516705,0.1318223,0.9907667,22.52636
233.997827053,0.1542085,0.9902267,22.87
234.996665478,0.2015748,0.9936706,22.77545
235.997975349,14.90001,0.9907168,22.9393
236.996814251,14.59492,0.9811854,23.49303
237.995652199,14.59563,0.9980062,23.3327
238.996962547,14.53204,0.9715794,23.33391
239.995800495,14.29746,0.9961311,23.53816
240.997111320,14.97672,0.9960697,22.65171
241.995949268,14.34909,0.9582356,22.50746
242.997259617,14.92177,1.008825,21.54624
243.996097565,14.73122,0.9770995,21.31409
244.997407913,15.02949,0.9699045,19.68568
245.996246815,14.90451,1.014537,19.00267
246.997557163,12.58948,0.9808779,17.2014
247.996395111,0.3354725,0.9912499,16.87863
248.997705936,0.1721351,0.9970156,17.35589
249.996543884,0.1873922,0.9869884,16.9034
250.997854233,0.2528099,0.9979123,17.00691
251.996692657,10.3102,0.9989845,16.58102
252.995530605,14.53623,0.9942735,16.29976
253.996841908,14.6617,0.9945654,15.09585
254.995679855,14.96139,0.993589,16.05663
255.996990681,14.84715,0.9916942,16.30172
256.995829105,15.03562,1.00466,16.6219
257.997139931,14.74433,0.9926237,17.64032
258.995978355,14.84881,1.009871,19.31734
259.997288704,14.71855,0.9663443,19.92029
260.996127605,14.73814,0.9508039,21.03608
261.997438908,14.60407,0.9906907,21.34949
262.996277332,14.71534,0.97652,22.30927
263.997587681,12.21745,0.9897704,22.07334
264.996426582,0.5920402,1.005641,22.73986
265.997737885,0.2853466,0.986464,23.05997
266.996576309,0.0918884,0.9931777,22.89493
267.995414734,0.08585668,0.9930909,22.15309
268.996725559,13.59638,0.9978362,23.11249
269.995563984,14.10918,0.9883969,23.67284
270.996875286,14.43201,0.9998752,23.89209
271.995713234,14.65519,0.9955673,23.7942
272.997024536,14.77596,0.9754277,23.88305
273.995862961,15.0218,0.9687449,23.55155
274.997173786,14.90248,1.011862,22.65796
275.996012211,15.21562,1.015157,22.67074
276.997322559,14.41652,0.9592117,21.44295
277.996161461,14.51458,1.004105,20.32315
278.997471809,14.72408,0.9684807,18.98301
279.996310711,13.19586,0.9941058,17.74251
280.995149136,1.081728,0.9978643,16.70405
281.996459484,0.08334912,0.9964959,16.53588
282.995298386,0.1873922,0.990722,17.10887
283.996608734,0.1678235,0.9993978,17.31989
284.995447636,1.546933,1.002627,17.16573
285.996758938,15.4508,0.9908117,16.86457
286.995597363,15.02127,0.9954428,15.57668
287.996907711,14.90339,0.9907365,15.03773
288.995746613,14.6078,0.9864784,15.64693
289.997057915,14.77916,0.9931808,16.86341
290.995896339,14.41647,1.007145,17.36504
291.997206688,14.73203,0.9835634,18.19533
292.996045589,14.72526,1.019851,19.71977
293.997356892,14.96219,0.9582615,20.27792
294.996195316,14.85786,0.9833706,21.72894
295.995033741,15.02828,0.9916561,21.77429
296.996345043,12.5407,1.002156,22.85642
297.995183945,0.2266992,0.9913854,22.98244
298.996494770,0.1820291,0.9864492,22.1954
299.995334148,0.2361206,0.9945916,22.69135
300.996644974,0.05410112,0.9883973,23.13614
301.995483875,12.764,0.9826558,22.76944
302.996795177,14.22713,0.9845655,22.7595
303.995634079,14.59466,0.9793088,23.8072
304.996944427,14.71487,0.981183,23.63527
305.995783806,14.06339,1.015165,22.79642
306.997094154,13.88906,0.9874972,23.83998
307.995933056,14.42059,0.9970495,23.809
308.997243881,14.72033,0.9617214,22.87476
309.996082783,15.04293,1.003333,21.74339
310.994921207,15.20693,0.9602584,21.22578
311.996232510,14.89821,1.009271,20.00423
312.995070934,15.02882,1.007011,18.37814
313.996382236,9.472342,0.9849476,18.19178
314.995221138,0.4286887,0.9878526,17.60717
315.996532440,0.1866625,1.000418,17.69307
316.995370865,0.09152455,0.9974797,17.57936
317.996682167,0.1031702,0.998895,17.57936
318.995520592,13.92432,0.9959003,17.14179
319.996831894,14.65482,0.9954332,15.75305
320.995670319,14.55008,1.001933,15.42956
321.996981621,14.95925,0.9830593,15.13247
322.995820999,14.68672,0.9964275,15.85597
323.997132301,14.60123,1.010921,16.41087
324.995970726,14.71823,0.9998186,17.41255
325.994810104,14.85016,1.02338,19.02464
326.996121407,14.87936,0.9625377,19.76977
327.994960785,14.62141,0.9545199,20.3912
328.996271610,14.67986,0.9951147,21.83348
329.995110989,12.66616,0.9906669,22.37213
330.996422291,3.950326,0.9688737,22.17582
331.995261669,0.2397695,0.9936925,22.53403
332.996573448,0.1939685,0.992608,22.31581
333.995412827,0.1451694,0.9916689,22.59439
334.996724129,0.2029388,0.9940737,22.85642
335.995563030,0.2986928,0.9878338,22.68413
336.996875286,0.08947989,0.9874101,22.53403
337.995714188,0.1081999,0.9978998,22.0399
338.994553566,0.1461201,0.98695,22.40651
339.995865345,0.1470238,0.9873448,22.31581
340.994704723,0.2482711,0.9859927,22.10801
341.996016502,0.3444711,0.9893146,22.10801
342.994855881,0.1796014,0.9917139,22.10801
343.996167660,0.1200833,0.9935711,22.31581
344.995007038,0.203617,0.9902582,22.10801
345.996318817,0.03391315,0.9965433,22.53476
346.995158195,0.1023059,0.9936459,22.25465
347.996469975,0.08083412,0.9950883,22.10801
348.995309353,0.1434739,0.9978946,22.38912
349.996621132,0.09001768,0.9903059,23.0175
350.995461464,0.132036,0.9874101,22.10801
351.996773243,0.02924163,0.988332,22.53403
352.995612621,0.1351566,0.9879565,22.96432
353.994452477,0.09620234,0.9950328,22.59439
