Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,37.25,31.5
0.998839378,37.308,31.502
2.000150204,37.292,31.502
2.998989582,37.282,31.502
4.000300884,37.29,31.502
4.999140263,37.282,31.504
6.000452042,37.31,31.504
6.999291420,37.27,31.504
8.000603199,37.32,31.506
8.999442577,37.302,31.506
10.000754356,37.3,31.506
10.999594212,37.302,31.506
12.000905991,37.372,31.506
12.999745369,37.332,31.508
13.998585224,37.358,31.508
14.999897480,37.286,31.508
15.998737335,37.33,31.508
17.000049591,37.302,31.51
17.998889923,37.338,31.51
19.000201702,37.326,31.51
19.999041557,37.36,31.51
21.000354290,37.302,31.51
21.999194145,37.354,31.51
23.000506878,37.33,31.51
23.999347210,37.386,31.512
25.000658989,37.368,31.512
25.999499798,37.328,31.512
26.998339653,37.32,31.512
27.999652386,37.334,31.512
28.998492718,37.366,31.514
29.999805450,37.336,31.514
30.998645782,37.334,31.514
31.999958515,37.352,31.514
32.998798370,37.366,31.514
34.000111580,37.38,31.514
34.998952389,37.296,31.514
36.000264168,37.32,31.514
36.999104977,37.314,31.514
38.000417233,37.342,31.514
38.999258041,37.328,31.514
40.000570774,37.356,31.514
40.999410629,37.31,31.512
41.998250484,37.356,31.512
42.999563217,37.332,31.512
43.998403549,37.35,31.512
44.999715328,37.37,31.512
45.998555183,37.342,31.512
46.999867916,37.368,31.512
47.998707771,37.35,31.512
49.000020504,37.322,31.512
49.998860359,37.334,31.51
51.000172138,37.312,31.51
51.999012947,37.284,31.51
53.000324726,37.318,31.51
53.999164581,37.35,31.51
55.000477314,37.298,31.512
55.999316692,37.318,31.51
56.998156548,37.298,31.51
57.999469280,37.374,31.51
58.998309135,37.296,31.51
59.999621391,37.358,31.51
60.998461723,37.368,31.51
61.999773502,37.34,31.51
62.998613358,37.298,31.51
63.999926090,37.302,31.51
64.998765945,37.324,31.51
66.000078201,37.344,31.51
66.998918533,37.308,31.51
68.000230789,37.362,31.51
68.999070644,37.368,31.51
69.997910976,37.324,31.51
70.999223232,37.372,31.51
71.998063087,37.342,31.51
72.999375820,37.312,31.51
73.998215675,37.342,31.51
74.999527454,37.296,31.51
75.998367786,37.348,31.51
76.999679565,37.392,31.51
77.998519421,37.322,31.51
78.999832153,37.326,31.508
79.998671055,37.368,31.508
80.999983788,37.328,31.51
81.998823166,37.328,31.51
83.000134945,37.296,31.508
83.998974800,37.35,31.508
84.997814655,37.322,31.508
85.999126911,37.294,31.508
86.997966766,37.304,31.508
87.999278545,37.324,31.508
88.998117924,37.306,31.508
89.999430180,37.27,31.508
90.998269558,37.32,31.508
91.999581337,37.262,31.508
92.998421669,37.336,31.508
93.999733448,37.298,31.508
94.998573303,37.34,31.508
95.999885082,37.338,31.508
96.998724937,37.362,31.508
97.997564316,37.334,31.508
98.998876095,37.39,31.508
99.997716427,37.336,31.508
100.999028206,37.314,31.508
101.997868061,37.284,31.508
102.999179840,37.314,31.508
103.998019218,37.334,31.508
104.999330997,37.366,31.508
105.998170376,37.286,31.508
106.999482155,37.334,31.508
107.998322010,37.354,31.506
108.999633312,37.358,31.506
109.998473167,37.338,31.506
110.999784470,37.338,31.506
111.998623848,37.27,31.506
112.997463226,37.334,31.506
113.998775005,37.304,31.506
114.997614384,37.3,31.506
115.998925686,37.34,31.506
116.997764587,37.286,31.506
117.999076843,37.27,31.506
118.997916222,37.336,31.506
119.999227047,37.278,31.506
120.998066425,37.276,31.506
121.999378204,37.306,31.504
122.998217583,37.282,31.506
123.999528885,37.302,31.506
124.998368263,37.288,31.506
125.999679565,37.284,31.506
126.998518467,37.296,31.506
127.997357845,37.294,31.506
128.998669624,37.312,31.506
129.997509003,37.304,31.506
130.998820782,37.27,31.506
131.997660160,37.312,31.506
132.998971462,37.29,31.506
133.997810841,37.356,31.506
134.999122620,37.298,31.506
135.997961998,37.298,31.506
136.999273777,37.308,31.504
137.998113155,37.336,31.504
138.999424458,37.266,31.504
139.998263359,37.338,31.504
140.997102737,37.298,31.504
141.998414040,37.356,31.504
142.997253418,37.326,31.504
143.998564720,37.29,31.504
144.997403145,37.316,31.502
145.998714447,37.29,31.504
146.997553825,37.29,31.502
147.998864651,37.274,31.502
148.997703552,37.33,31.502
149.999014854,37.29,31.502
150.997853279,37.296,31.502
151.999164581,37.284,31.502
152.998003006,37.276,31.502
153.999314308,37.252,31.502
154.998153210,37.294,31.5
155.996991634,37.304,31.5
156.998301983,37.314,31.5
157.997140884,37.328,31.5
158.998452187,37.302,31.5
159.997290611,37.284,31.5
160.998600960,37.29,31.5
161.997439861,37.234,31.5
162.998750210,37.288,31.5
163.997589111,37.312,31.5
164.998899460,37.27,31.5
165.997737885,37.32,31.5
166.999048710,37.298,31.498
167.997887135,37.298,31.498
168.999197960,37.278,31.498
169.998035908,37.254,31.498
170.996873856,37.296,31.496
171.998184204,37.286,31.496
172.997022152,37.288,31.496
173.998332500,37.262,31.496
174.997170448,37.284,31.496
175.998480320,37.278,31.496
176.997318268,37.25,31.496
177.998629093,37.282,31.496
178.997466087,37.25,31.496
179.998776913,37.252,31.496
180.997613907,37.282,31.494
181.998924732,37.296,31.494
182.997762203,37.224,31.494
183.996599674,37.27,31.494
184.997910023,37.27,31.494
185.996747494,37.262,31.496
186.998057842,37.268,31.496
187.996895790,37.302,31.496
188.998205662,37.268,31.496
189.997043610,37.274,31.496
190.998353481,37.236,31.496
191.997191429,37.322,31.496
192.998501778,37.24,31.496
193.997339249,37.224,31.496
194.998649597,37.234,31.496
195.997487545,37.256,31.496
196.998797417,37.246,31.496
197.997635365,37.236,31.496
198.996473312,37.278,31.496
199.997783661,37.274,31.496
200.996621609,37.236,31.496
201.997931480,37.334,31.496
202.996769428,37.306,31.496
203.998080254,37.266,31.496
204.996917248,37.24,31.496
205.998228073,37.266,31.496
206.997065544,37.222,31.496
207.998375893,37.236,31.496
208.997213840,37.318,31.496
209.998523712,37.228,31.496
210.997361183,37.24,31.496
211.998671532,37.268,31.496
212.997509003,37.24,31.496
213.996346951,37.236,31.496
214.997656822,37.242,31.496
215.996494770,37.246,31.496
216.997804642,37.252,31.496
217.996641636,37.266,31.496
218.997952461,37.276,31.496
219.996789455,37.24,31.496
220.998100281,37.264,31.496
221.996937275,37.214,31.496
222.998248100,37.252,31.496
223.997085094,37.272,31.496
224.998395920,37.262,31.496
225.997233868,37.296,31.496
226.998543739,37.28,31.498
227.997381687,37.228,31.498
228.996220112,37.186,31.498
229.997529984,37.304,31.498
230.996367931,37.278,31.498
231.997678757,37.268,31.498
232.996516705,37.242,31.498
233.997827053,37.26,31.498
234.996665478,37.308,31.498
235.997975349,37.288,31.498
236.996814251,37.28,31.498
237.998124599,37.278,31.498
238.996962547,37.244,31.498
239.998273373,37.262,31.498
240.997111320,37.294,31.498
241.998421669,37.27,31.498
242.997259617,37.284,31.498
243.996097565,37.276,31.498
244.997407913,37.316,31.498
245.996246815,37.27,31.498
246.997557163,37.292,31.498
247.996395111,37.286,31.498
