Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.1011898,-0.008399092,-0.0201213,-0.045791,-0.04546351,0.9868117,-19.66568,5.307845,-27.2146,1007.597
1.001061916,0.0380279,-0.1277831,-0.01715854,-0.04082176,-0.04686399,0.9915338,-19.64606,4.569002,-26.82921,1007.599
1.999652863,-0.02392909,0.04990622,0.04617022,-0.04522074,-0.04791896,0.9948777,-20.77371,4.93125,-27.64952,1007.594
3.000715256,0.1610378,-0.1279655,0.1097053,-0.04080988,-0.04640136,0.9953633,-19.64742,4.569502,-27.20855,1007.606
3.999306679,-0.1482097,-0.01083444,-0.1321556,-0.03986419,-0.0453923,0.9906034,-20.03,4.936587,-27.65259,1007.615
5.000370026,0.09856613,0.1662498,-0.06986414,-0.04237247,-0.04252604,0.9901959,-20.02841,4.936005,-27.21004,1007.613
5.998960972,0.2230745,-0.1297806,0.8434982,-0.038749,-0.05360475,0.9913883,-19.65519,4.938173,-26.83224,1007.616
7.000024796,-1.567799,-0.1885198,34.18119,-0.03197992,-0.04622875,0.9891139,-11.53142,2.410707,-26.0225,1007.62
8.001089096,-1.320485,-0.3069921,33.20551,-0.03509663,-0.03515813,0.990784,-3.994501,-6.581521,-25.97862,1007.617
8.999680996,-0.4548854,-0.247756,14.60645,-0.03357692,-0.04041344,0.9830306,-4.538994,-14.58608,-25.53068,1007.606
10.000745296,0.1633998,0.1076611,-0.3947472,-0.0379222,-0.04342946,0.9911103,-5.25531,-15.69893,-25.51853,1007.616
10.999338150,-0.08391429,0.04842491,-0.02886422,-0.03734611,-0.04874489,0.9914785,-4.520729,-15.32442,-25.52463,1007.628
12.000403404,0.03974277,0.04842491,-0.1508252,-0.0452727,-0.04405742,0.9963878,-5.273575,-14.96059,-25.52458,1007.632
12.998996258,-0.02208576,-0.07004744,0.03211628,-0.03838075,-0.04347399,0.9977972,-5.646793,-14.96276,-25.90237,1007.623
14.000061512,-2.557055,-0.8993539,54.85358,-0.02023092,-0.07267538,0.9923452,-8.455921,-19.35061,-27.05575,1007.615
15.001126766,-2.742541,0.1076611,29.24178,-0.0375951,-0.03277818,0.9908444,-21.49852,-26.02724,-28.21164,1007.609
15.999721050,0.3488854,0.3446058,-1.91926,-0.05078158,-0.008775653,0.9880491,-28.46566,-24.97012,-27.74946,1007.586
