Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.000000000,28.836,29.838
1.001061916,28.86,29.84
1.999652863,28.802,29.84
3.000715256,28.85,29.844
3.999306679,28.862,29.846
5.000370026,28.85,29.848
6.001432896,28.822,29.848
7.000024796,28.908,29.85
8.001089096,28.886,29.852
8.999680996,28.9,29.854
10.000745296,28.942,29.856
10.999338150,28.89,29.858
12.000403404,28.918,29.86
13.001467705,28.908,29.862
14.000061512,28.938,29.864
15.001126766,28.976,29.864
15.999721050,28.94,29.866
17.000787258,28.984,29.868
17.999382019,29.012,29.87
19.000448704,28.984,29.872
20.001515388,29.02,29.874
21.000111103,29.002,29.876
22.001178265,29.004,29.878
22.999774933,29.004,29.88
24.000843048,29.002,29.884
24.999440193,29.114,29.886
26.000509262,29.078,29.888
26.999106407,29.154,29.89
28.000176430,29.118,29.892
29.001246929,29.106,29.896
29.999845505,29.17,29.898
31.000916958,29.134,29.9
31.999516010,29.098,29.902
33.000587940,29.17,29.904
33.999187946,29.168,29.908
35.000260830,29.19,29.91
36.001333237,29.194,29.912
36.999934673,29.228,29.914
38.001007557,29.184,29.916
38.999609470,29.226,29.918
40.000682831,29.262,29.92
40.999285221,29.304,29.922
42.000360012,29.302,29.924
42.998962402,29.284,29.926
44.000037670,29.254,29.928
45.001112938,29.356,29.93
45.999717236,29.306,29.932
47.000792980,29.318,29.934
47.999397755,29.332,29.936
49.000473976,29.332,29.938
49.999078751,29.324,29.942
51.000155926,29.368,29.944
51.998761654,29.332,29.946
52.999840260,29.38,29.948
54.000918388,29.398,29.952
54.999525547,29.482,29.954
56.000604630,29.458,29.954
56.999212265,29.432,29.952
58.000291824,29.464,29.954
58.998899937,29.452,29.956
59.999979973,29.446,29.96
61.001060486,29.45,29.962
61.999669075,29.508,29.964
63.000750065,29.474,29.966
63.999359608,29.536,29.968
65.000440121,29.496,29.97
65.999050140,29.532,29.972
67.000131130,29.486,29.972
67.998741150,29.516,29.974
68.999822617,29.504,29.974
70.000904560,29.534,29.976
70.999515057,29.494,29.976
72.000597000,29.568,29.978
72.999207497,29.546,29.98
74.000289917,29.496,29.98
74.998900414,29.594,29.982
75.999983788,29.542,29.982
76.998594284,29.542,29.984
77.999677658,29.544,29.986
79.000761032,29.558,29.986
79.999372959,29.576,29.988
81.000456810,29.568,29.99
