Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.927207470,99.03516,15372286728.0913,4.199375,-159.6875,1
1.981968880,99.03516,15372286728.0913,4.2,-159.6875,1
2.861091614,99.03516,15372286728.0913,4.200625,-158.125,1
3.915741920,99.03516,15372286728.0913,4.200625,-156.875,1
4.970568657,99.04688,15372286728.0913,4.2,-157.8125,1
5.849619389,99.04688,15372286728.0913,4.200625,-156.875,1
6.904339313,99.04688,15372286728.0913,4.20125,-158.75,1
7.959104061,99.04688,15372286728.0913,4.199375,-159.6875,1
8.838232517,99.04688,15372286728.0913,4.199375,-158.75,1
9.892884731,99.04688,15372286728.0913,4.2,-156.5625,1
10.947674751,99.04688,15372286728.0913,4.199375,-159.0625,1
12.002461910,99.04688,15372286728.0913,4.2,-156.5625,1
12.881630897,99.04688,15372286728.0913,4.199375,-157.1875,1
13.936244488,99.04688,15372286728.0913,4.200625,-155,1
14.991006374,99.04688,15372286728.0913,4.199375,-156.5625,1
15.870129108,99.04688,15372286728.0913,4.2,-158.4375,1
16.924842358,99.04688,15372286728.0913,4.2,-160.625,1
17.979593754,99.05859,15372286728.0913,4.2,-155.9375,1
18.858725548,99.05859,15372286728.0913,4.199375,-156.5625,1
19.913366795,99.05859,15372286728.0913,4.2,-155.9375,1
20.968176365,99.05859,15372286728.0913,4.2,-157.5,1
21.847256184,99.05859,15372286728.0913,4.20125,-156.5625,1
22.901993275,99.05859,15372286728.0913,4.201875,-156.875,1
23.956751347,99.05859,15372286728.0913,4.2,-156.5625,1
24.835827827,99.05859,15372286728.0913,4.200625,-157.5,1
25.890613079,99.05859,15372286728.0913,4.199375,-160,1
26.945303917,99.05859,15372286728.0913,4.2,-156.5625,1
28.000070572,99.05859,15372286728.0913,4.2,-156.875,1
28.879199028,99.05859,15372286728.0913,4.2,-152.8125,1
29.933909893,99.05859,15372286728.0913,4.200625,-156.5625,1
30.988680840,99.05859,15372286728.0913,4.20125,-157.8125,1
31.867736816,99.07031,15372286728.0913,4.2,-156.5625,1
32.922439098,99.07031,15372286728.0913,4.2,-155.625,1
33.977259159,99.07031,15372286728.0913,4.199375,-157.1875,1
34.856349945,99.07031,15372286728.0913,4.2,-159.375,1
35.911160946,99.07031,15372286728.0913,4.19875,-159.375,1
36.965776920,99.07031,15372286728.0913,4.200625,-156.5625,1
37.844894886,99.07031,15372286728.0913,4.2,-154.375,1
38.899678230,99.07031,15372286728.0913,4.2,-156.875,1
39.954371929,99.07031,15372286728.0913,4.2,-155.9375,1
40.833335876,99.07031,15372286728.0913,4.200625,-155.9375,1
41.888251305,99.07031,15372286728.0913,4.199375,-155.625,1
42.942926407,99.07031,15372286728.0913,4.2,-156.875,1
43.997719288,99.07031,15372286728.0913,4.199375,-154.375,1
44.876808643,99.08203,15372286728.0913,4.20125,-155,1
45.931481838,99.08203,15372286728.0913,4.2,-152.1875,1
46.986332417,99.08203,15372286728.0913,4.2,-151.25,1
47.865391731,99.08203,15372286728.0913,4.2,-157.1875,1
48.920186996,99.08203,15372286728.0913,4.199375,-153.125,1
49.974851608,99.08203,15372286728.0913,4.198125,-152.5,1
50.853920937,99.08203,15372286728.0913,4.20125,-151.875,1
51.908768654,99.08203,15372286728.0913,4.201875,-155.3125,1
52.963407516,99.08203,15372286728.0913,4.196875,-153.125,1
53.842435837,99.08203,15372286728.0913,4.200625,-152.5,1
54.897299290,99.08203,15372286728.0913,4.2,-152.1875,1
55.952008247,99.08203,15372286728.0913,4.2,-156.875,1
56.830965996,99.08203,15372286728.0913,4.201875,-154.6875,1
57.885908127,99.09375,15372286728.0913,4.200625,-152.8125,1
58.940593243,99.09375,15372286728.0913,4.2,-152.1875,1
59.995332718,99.09375,15372286728.0913,4.2,-150.9375,1
60.874446392,99.09375,15372286728.0913,4.19875,-153.125,1
61.929264545,99.09375,15372286728.0913,4.199375,-152.1875,1
62.983919144,99.09375,15372286728.0913,4.2,-151.5625,1
63.863018513,99.09375,15372286728.0913,4.200625,-152.1875,1
64.917832375,99.09375,15372286728.0913,4.200625,-151.5625,1
65.972499847,99.09375,15372286728.0913,4.2,-152.1875,1
66.851468086,99.09375,15372286728.0913,4.200625,-152.1875,1
67.906351089,99.09375,15372286728.0913,4.2,-152.1875,1
68.961030006,99.09375,15372286728.0913,4.200625,-152.1875,1
69.840057373,99.09375,15372286728.0913,4.199375,-153.4375,1
70.894922256,99.09375,15372286728.0913,4.20125,-152.8125,1
71.949660301,99.10547,15372286728.0913,4.2,-150.3125,1
72.828637123,99.10547,15372286728.0913,4.199375,-152.5,1
73.883513927,99.10547,15372286728.0913,4.2,-150.625,1
74.938220024,99.10547,15372286728.0913,4.199375,-151.875,1
75.992964745,99.10547,15372286728.0913,4.199375,-152.8125,1
76.872093677,99.10547,15372286728.0913,4.2,-153.125,1
77.926860332,99.10547,15372286728.0913,4.200625,-153.4375,1
78.981547356,99.10547,15372286728.0913,4.2,-150.9375,1
79.860543728,99.10547,15372286728.0913,4.199375,-152.8125,1
80.915431023,99.10547,15372286728.0913,4.2,-151.875,1
